DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2020-08-28 00:00:00;0;7;1;1;4;0;4;0;0;0;0;0;0
2020-08-28 00:15:00;0;9;4;4;5;3;3;0;0;0;0;0;0
2020-08-28 00:30:00;0;3;4;4;6;1;7;0;0;0;0;0;0
2020-08-28 00:45:00;1;4;2;3;6;4;4;0;0;0;0;0;0
2020-08-28 01:00:00;2;4;0;0;6;0;6;0;0;0;0;0;0
2020-08-28 01:15:00;0;3;0;0;1;1;1;0;0;0;0;0;0
2020-08-28 01:30:00;0;4;3;3;4;2;3;0;0;0;0;0;0
2020-08-28 01:45:00;1;2;2;1;4;2;3;0;0;0;0;0;0
2020-08-28 02:00:00;0;0;0;0;4;2;3;0;0;0;0;0;0
2020-08-28 02:15:00;1;2;1;1;3;1;3;0;0;0;0;0;0
2020-08-28 02:30:00;0;1;1;1;0;2;1;0;0;0;0;0;0
2020-08-28 02:45:00;0;3;2;1;3;0;2;0;0;0;0;0;0
2020-08-28 03:00:00;0;3;0;0;5;2;4;0;0;0;0;0;0
2020-08-28 03:15:00;0;2;2;2;3;2;2;0;0;0;0;0;0
2020-08-28 03:30:00;3;1;2;2;3;0;3;0;0;0;0;0;0
2020-08-28 03:45:00;0;2;0;0;6;2;3;0;0;0;0;0;0
2020-08-28 04:00:00;0;0;3;3;4;6;2;0;0;0;0;0;0
2020-08-28 04:15:00;1;1;3;3;4;0;2;0;0;0;0;0;0
2020-08-28 04:30:00;3;6;7;7;3;1;2;0;0;0;0;0;0
2020-08-28 04:45:00;3;18;17;18;21;1;20;0;0;0;0;0;0
2020-08-28 05:00:00;7;25;51;51;21;6;23;0;0;0;0;0;0
2020-08-28 05:15:00;9;60;114;118;51;14;53;0;0;0;0;0;0
2020-08-28 05:30:00;12;86;118;117;51;25;55;0;0;0;0;0;0
2020-08-28 05:45:00;9;79;75;71;75;66;73;0;0;0;0;0;0
2020-08-28 06:00:00;3;36;28;29;58;67;61;0;0;0;0;0;0
2020-08-28 06:15:00;7;37;25;25;41;29;42;0;0;0;0;0;0
2020-08-28 06:30:00;8;50;37;37;53;25;55;0;0;0;0;0;0
2020-08-28 06:45:00;12;49;35;37;46;17;46;0;0;0;0;0;0
2020-08-28 07:00:00;6;44;29;29;38;13;39;0;0;0;0;0;0
2020-08-28 07:15:00;6;53;38;40;50;19;47;0;0;0;0;0;0
2020-08-28 07:30:00;7;49;29;29;43;17;48;0;0;0;0;0;0
2020-08-28 07:45:00;13;45;31;30;52;22;48;0;0;0;0;0;0
2020-08-28 08:00:00;7;42;21;20;32;22;33;0;0;0;0;0;0
2020-08-28 08:15:00;3;30;26;26;30;10;30;0;0;0;0;0;0
2020-08-28 08:30:00;6;35;20;20;34;14;36;0;0;0;0;0;0
2020-08-28 08:45:00;3;42;26;26;28;14;24;0;0;0;0;0;0
2020-08-28 09:00:00;7;42;17;18;33;21;34;0;0;0;0;0;0
2020-08-28 09:15:00;2;33;25;24;30;11;29;0;0;0;0;0;0
2020-08-28 09:30:00;4;36;17;18;24;21;24;0;0;0;0;0;0
2020-08-28 09:45:00;1;28;11;11;30;20;31;0;0;0;0;0;0
2020-08-28 10:00:00;3;33;17;17;25;20;25;0;0;0;0;0;0
2020-08-28 10:15:00;0;39;16;16;31;15;33;0;0;0;0;0;0
2020-08-28 10:30:00;7;36;17;19;28;21;27;0;0;0;0;0;0
2020-08-28 10:45:00;4;34;23;24;31;17;31;0;0;0;0;0;0
2020-08-28 11:00:00;0;39;17;20;38;23;37;0;0;0;0;0;0
2020-08-28 11:15:00;2;41;20;21;43;24;45;0;0;0;0;0;0
2020-08-28 11:30:00;5;40;15;14;34;22;34;0;0;0;0;0;0
2020-08-28 11:45:00;5;39;21;20;33;23;34;0;0;0;0;0;0
2020-08-28 12:00:00;5;50;23;23;44;45;43;0;0;0;0;0;0
2020-08-28 12:15:00;2;51;33;34;29;22;31;0;0;0;0;0;0
