DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2020-03-14 00:00:00;5;0;7;2;0;0
2020-03-14 00:15:00;11;0;5;0;0;0
2020-03-14 00:30:00;3;0;5;0;0;0
2020-03-14 00:45:00;8;0;9;0;0;0
2020-03-14 01:00:00;11;0;8;1;0;0
2020-03-14 01:15:00;9;0;5;0;0;0
2020-03-14 01:30:00;9;0;6;0;0;0
2020-03-14 01:45:00;6;0;5;1;0;0
2020-03-14 02:00:00;4;0;5;2;0;0
2020-03-14 02:15:00;6;0;4;0;0;0
2020-03-14 02:30:00;6;0;4;0;0;0
2020-03-14 02:45:00;7;0;4;0;0;0
2020-03-14 03:00:00;3;0;7;0;0;0
2020-03-14 03:15:00;6;0;2;0;0;0
2020-03-14 03:30:00;5;0;12;0;0;0
2020-03-14 03:45:00;2;1;4;1;0;0
2020-03-14 04:00:00;6;0;5;0;0;0
2020-03-14 04:15:00;5;0;4;0;0;0
2020-03-14 04:30:00;4;0;2;0;0;0
2020-03-14 04:45:00;2;0;10;1;0;0
2020-03-14 05:00:00;2;3;7;1;0;0
2020-03-14 05:15:00;11;4;21;3;1;2
2020-03-14 05:30:00;19;4;23;9;3;2
2020-03-14 05:45:00;65;4;33;64;7;9
2020-03-14 06:00:00;63;0;17;86;7;1
2020-03-14 06:15:00;26;5;13;21;2;0
2020-03-14 06:30:00;10;3;25;12;0;0
2020-03-14 06:45:00;16;0;21;2;0;0
2020-03-14 07:00:00;8;0;14;3;0;0
2020-03-14 07:15:00;5;2;22;1;0;0
2020-03-14 07:30:00;19;1;24;2;0;0
2020-03-14 07:45:00;12;1;21;2;0;0
2020-03-14 08:00:00;15;0;24;2;0;0
2020-03-14 08:15:00;16;0;26;3;4;0
2020-03-14 08:30:00;20;0;30;0;0;0
2020-03-14 08:45:00;23;0;26;1;0;0
2020-03-14 09:00:00;11;0;20;1;0;0
2020-03-14 09:15:00;15;0;27;1;0;0
2020-03-14 09:30:00;26;0;40;0;0;0
2020-03-14 09:45:00;23;0;47;0;5;2
2020-03-14 10:00:00;29;2;33;1;0;0
2020-03-14 10:15:00;38;2;30;1;0;0
2020-03-14 10:30:00;39;1;41;1;0;2
2020-03-14 10:45:00;34;1;32;0;0;0
2020-03-14 11:00:00;41;1;36;0;0;8
2020-03-14 11:15:00;36;0;29;2;0;0
2020-03-14 11:30:00;43;1;26;0;0;2
2020-03-14 11:45:00;41;0;36;1;0;3
2020-03-14 12:00:00;45;1;33;2;0;0
2020-03-14 12:15:00;29;1;23;4;4;0
2020-03-14 12:30:00;52;0;24;1;0;1
2020-03-14 12:45:00;39;0;34;1;0;0
2020-03-14 13:00:00;37;2;25;1;1;0
2020-03-14 13:15:00;29;0;34;1;2;0
2020-03-14 13:30:00;34;1;30;1;0;0
2020-03-14 13:45:00;37;0;34;2;0;4
2020-03-14 14:00:00;41;0;33;2;3;0
2020-03-14 14:15:00;43;0;24;7;0;0
2020-03-14 14:30:00;49;1;24;12;1;2
2020-03-14 14:45:00;29;0;30;3;0;0
2020-03-14 15:00:00;32;1;29;2;3;0
2020-03-14 15:15:00;28;0;31;0;0;0
2020-03-14 15:30:00;26;2;29;1;0;0
2020-03-14 15:45:00;27;0;28;3;0;0
2020-03-14 16:00:00;31;0;29;1;1;0
2020-03-14 16:15:00;31;1;28;1;34;1
2020-03-14 16:30:00;36;1;17;1;2;0
2020-03-14 16:45:00;24;2;33;6;0;0
2020-03-14 17:00:00;32;3;20;4;0;0
2020-03-14 17:15:00;33;2;36;3;0;2
2020-03-14 17:30:00;19;0;24;0;0;0
2020-03-14 17:45:00;32;0;26;1;1;0
2020-03-14 18:00:00;32;0;22;2;0;2
2020-03-14 18:15:00;34;0;28;0;0;3
2020-03-14 18:30:00;24;0;19;1;0;0
2020-03-14 18:45:00;17;1;15;2;0;0
2020-03-14 19:00:00;29;0;18;0;0;0
2020-03-14 19:15:00;20;0;24;2;0;0
2020-03-14 19:30:00;22;1;23;0;0;0
2020-03-14 19:45:00;19;0;19;1;0;0
2020-03-14 20:00:00;18;1;25;0;0;0
2020-03-14 20:15:00;20;0;13;1;0;0
2020-03-14 20:30:00;13;0;12;0;0;0
2020-03-14 20:45:00;11;1;13;0;0;0
2020-03-14 21:00:00;18;0;16;0;0;0
2020-03-14 21:15:00;16;0;11;0;0;0
2020-03-14 21:30:00;7;0;10;0;0;0
2020-03-14 21:45:00;11;0;6;1;0;0
2020-03-14 22:00:00;19;0;9;0;0;0
2020-03-14 22:15:00;17;0;16;0;0;0
2020-03-14 22:30:00;11;0;11;0;0;0
2020-03-14 22:45:00;6;0;7;0;0;0
2020-03-14 23:00:00;12;1;7;1;0;0
2020-03-14 23:15:00;7;0;8;0;0;0
2020-03-14 23:30:00;9;0;7;0;0;0
2020-03-14 23:45:00;7;0;7;0;0;0
