DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2020-05-24 00:00:00;1;0;3;0;0;0
2020-05-24 00:15:00;8;0;6;0;0;0
2020-05-24 00:30:00;5;0;7;1;0;0
2020-05-24 00:45:00;6;1;4;1;0;0
2020-05-24 01:00:00;7;0;7;0;0;0
2020-05-24 01:15:00;5;0;6;0;0;0
2020-05-24 01:30:00;0;0;4;0;0;0
2020-05-24 01:45:00;7;0;3;0;0;0
2020-05-24 02:00:00;1;0;0;0;0;0
2020-05-24 02:15:00;3;0;6;0;0;0
2020-05-24 02:30:00;2;0;2;0;0;0
2020-05-24 02:45:00;2;1;2;1;0;0
2020-05-24 03:00:00;2;0;3;0;0;0
2020-05-24 03:15:00;2;0;1;0;0;0
2020-05-24 03:30:00;1;0;0;0;0;0
2020-05-24 03:45:00;0;0;1;0;0;0
2020-05-24 04:00:00;1;0;3;0;0;0
2020-05-24 04:15:00;1;0;1;0;0;0
2020-05-24 04:30:00;2;0;5;0;0;0
2020-05-24 04:45:00;0;1;1;0;0;0
2020-05-24 05:00:00;0;0;5;0;0;0
2020-05-24 05:15:00;3;0;1;0;0;0
2020-05-24 05:30:00;0;0;4;0;0;0
2020-05-24 05:45:00;1;0;6;4;0;0
2020-05-24 06:00:00;5;0;2;0;0;0
2020-05-24 06:15:00;2;0;3;0;0;0
2020-05-24 06:30:00;8;1;3;1;0;0
2020-05-24 06:45:00;6;0;5;1;0;0
2020-05-24 07:00:00;6;0;2;0;0;0
2020-05-24 07:15:00;5;0;5;0;0;0
2020-05-24 07:30:00;9;0;6;0;0;0
2020-05-24 07:45:00;7;0;3;0;0;0
2020-05-24 08:00:00;4;0;3;0;0;0
2020-05-24 08:15:00;5;0;3;0;0;0
2020-05-24 08:30:00;1;0;5;0;0;0
2020-05-24 08:45:00;6;1;11;1;0;0
2020-05-24 09:00:00;9;1;8;1;0;0
2020-05-24 09:15:00;11;0;22;0;0;0
2020-05-24 09:30:00;15;0;19;0;0;0
2020-05-24 09:45:00;14;0;18;0;0;0
2020-05-24 10:00:00;13;0;12;0;0;0
2020-05-24 10:15:00;13;0;18;0;0;0
2020-05-24 10:30:00;13;0;20;0;0;0
2020-05-24 10:45:00;25;0;18;0;0;0
2020-05-24 11:00:00;24;0;13;0;0;0
2020-05-24 11:15:00;28;3;17;1;0;0
2020-05-24 11:30:00;28;1;20;0;0;0
2020-05-24 11:45:00;18;0;24;2;0;0
2020-05-24 12:00:00;28;0;19;2;0;0
2020-05-24 12:15:00;24;0;14;0;0;0
2020-05-24 12:30:00;30;0;18;0;0;0
2020-05-24 12:45:00;13;0;15;1;0;0
2020-05-24 13:00:00;28;0;26;0;0;0
2020-05-24 13:15:00;18;0;27;0;0;0
2020-05-24 13:30:00;27;0;20;0;0;0
2020-05-24 13:45:00;18;0;21;2;0;0
2020-05-24 14:00:00;32;0;30;0;0;0
2020-05-24 14:15:00;27;1;35;2;0;0
2020-05-24 14:30:00;31;0;21;0;0;0
2020-05-24 14:45:00;24;2;25;0;0;0
2020-05-24 15:00:00;23;1;23;1;0;0
2020-05-24 15:15:00;34;1;24;0;0;0
2020-05-24 15:30:00;32;3;30;1;0;0
2020-05-24 15:45:00;31;2;28;0;0;0
2020-05-24 16:00:00;23;0;25;0;0;0
2020-05-24 16:15:00;29;1;27;2;0;0
2020-05-24 16:30:00;35;0;34;0;0;0
2020-05-24 16:45:00;27;0;32;2;0;0
2020-05-24 17:00:00;18;1;26;1;0;0
2020-05-24 17:15:00;23;1;32;2;0;0
2020-05-24 17:30:00;37;1;31;1;0;0
2020-05-24 17:45:00;29;0;33;0;0;0
2020-05-24 18:00:00;22;0;39;0;0;0
2020-05-24 18:15:00;19;0;29;0;0;0
2020-05-24 18:30:00;27;1;29;0;0;0
2020-05-24 18:45:00;24;0;18;0;0;0
2020-05-24 19:00:00;23;1;23;1;0;0
2020-05-24 19:15:00;23;0;21;0;0;0
2020-05-24 19:30:00;19;0;20;0;0;0
2020-05-24 19:45:00;22;0;15;0;0;0
2020-05-24 20:00:00;22;0;24;0;0;0
2020-05-24 20:15:00;12;0;16;0;0;0
2020-05-24 20:30:00;17;0;17;0;0;0
2020-05-24 20:45:00;15;0;13;0;0;0
2020-05-24 21:00:00;19;1;14;0;0;0
2020-05-24 21:15:00;8;3;12;1;0;0
2020-05-24 21:30:00;8;1;18;0;0;0
2020-05-24 21:45:00;12;1;16;2;0;0
2020-05-24 22:00:00;15;0;18;2;0;0
2020-05-24 22:15:00;7;0;9;1;0;0
2020-05-24 22:30:00;6;0;10;3;0;0
2020-05-24 22:45:00;6;1;7;1;0;0
2020-05-24 23:00:00;5;0;2;0;0;0
2020-05-24 23:15:00;8;0;3;0;0;0
2020-05-24 23:30:00;6;0;5;0;0;0
2020-05-24 23:45:00;4;1;5;1;0;0
