DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2020-05-14 00:00:00;2;3;2;0;0;0;2;1;0;0
2020-05-14 00:15:00;1;3;2;1;2;0;0;0;0;0
2020-05-14 00:30:00;2;5;1;0;0;0;2;2;0;0
2020-05-14 00:45:00;3;3;3;2;1;1;0;3;0;0
2020-05-14 01:00:00;3;3;4;0;0;0;0;1;0;0
2020-05-14 01:15:00;4;9;4;1;0;0;1;1;0;0
2020-05-14 01:30:00;1;2;1;0;1;0;0;1;0;0
2020-05-14 01:45:00;5;4;1;2;0;0;0;0;0;0
2020-05-14 02:00:00;3;5;1;2;1;0;0;1;0;0
2020-05-14 02:15:00;2;4;2;0;0;0;0;1;0;0
2020-05-14 02:30:00;3;4;1;2;0;0;1;1;0;0
2020-05-14 02:45:00;2;4;3;1;0;0;0;2;0;0
2020-05-14 03:00:00;2;4;2;1;0;0;1;1;0;0
2020-05-14 03:15:00;2;3;1;1;0;0;0;0;0;0
2020-05-14 03:30:00;3;3;2;3;1;0;0;1;0;0
2020-05-14 03:45:00;3;5;4;2;0;0;0;0;0;0
2020-05-14 04:00:00;2;3;2;2;1;0;1;0;0;0
2020-05-14 04:15:00;6;5;4;1;2;0;0;3;0;0
2020-05-14 04:30:00;10;6;3;0;3;0;0;2;0;0
2020-05-14 04:45:00;8;6;11;1;4;0;9;4;0;0
2020-05-14 05:00:00;28;16;30;9;44;2;73;59;0;0
2020-05-14 05:15:00;67;11;95;10;12;3;33;22;0;0
2020-05-14 05:30:00;136;14;124;8;2;8;9;9;0;0
2020-05-14 05:45:00;63;7;71;3;5;3;6;7;0;0
2020-05-14 06:00:00;46;21;42;4;8;1;6;22;0;0
2020-05-14 06:15:00;42;23;58;3;2;1;3;13;0;0
2020-05-14 06:30:00;49;40;78;5;0;1;2;3;0;0
2020-05-14 06:45:00;61;36;59;2;2;0;4;12;0;0
2020-05-14 07:00:00;50;28;67;6;2;4;7;5;0;0
2020-05-14 07:15:00;56;35;57;1;3;4;6;3;0;0
2020-05-14 07:30:00;44;42;85;7;4;2;6;7;4;31
2020-05-14 07:45:00;49;47;73;6;3;4;4;3;1;0
2020-05-14 08:00:00;50;29;72;1;4;9;7;9;1;0
2020-05-14 08:15:00;45;35;63;7;1;1;8;13;0;0
2020-05-14 08:30:00;42;54;66;3;4;2;4;3;0;0
2020-05-14 08:45:00;28;42;52;5;3;4;10;9;0;0
2020-05-14 09:00:00;33;33;37;4;0;3;8;4;1;0
2020-05-14 09:15:00;25;31;42;2;1;2;14;8;3;1
2020-05-14 09:30:00;35;33;63;4;9;8;9;6;1;0
2020-05-14 09:45:00;32;49;43;3;8;3;10;8;1;3
2020-05-14 10:00:00;33;35;45;5;6;8;10;7;2;0
2020-05-14 10:15:00;39;61;48;6;3;6;6;9;0;1
2020-05-14 10:30:00;25;42;57;4;7;2;15;8;1;0
2020-05-14 10:45:00;46;54;43;7;3;4;10;9;1;0
2020-05-14 11:00:00;34;43;68;6;7;6;8;9;1;3
2020-05-14 11:15:00;40;39;58;6;6;8;13;8;2;0
2020-05-14 11:30:00;30;40;62;5;6;3;10;15;3;0
2020-05-14 11:45:00;35;32;56;4;3;5;17;13;1;0
2020-05-14 12:00:00;25;41;72;8;7;3;17;9;1;5
2020-05-14 12:15:00;38;50;54;7;5;2;10;12;7;5
2020-05-14 12:30:00;40;56;42;2;8;1;5;14;0;0
2020-05-14 12:45:00;26;39;55;7;5;2;11;10;0;0
2020-05-14 13:00:00;38;44;65;3;8;4;10;13;1;0
2020-05-14 13:15:00;50;50;62;10;14;7;22;24;0;7
2020-05-14 13:30:00;83;51;83;8;44;1;116;50;1;0
2020-05-14 13:45:00;52;54;107;9;15;3;74;30;4;0
2020-05-14 14:00:00;76;57;140;11;19;4;38;44;0;0
2020-05-14 14:15:00;66;64;61;9;14;4;33;31;2;19
2020-05-14 14:30:00;47;75;72;7;10;7;43;24;1;0
2020-05-14 14:45:00;33;61;56;10;9;5;28;16;0;1
2020-05-14 15:00:00;36;48;83;7;9;1;29;23;0;0
2020-05-14 15:15:00;28;72;55;6;10;5;43;24;1;0
2020-05-14 15:30:00;50;71;75;10;7;5;26;16;2;1
2020-05-14 15:45:00;28;46;65;5;9;3;23;16;0;0
2020-05-14 16:00:00;33;57;61;6;9;3;19;18;1;0
2020-05-14 16:15:00;33;58;59;3;11;2;20;11;0;3
2020-05-14 16:30:00;49;64;84;2;1;3;24;19;2;2
2020-05-14 16:45:00;37;62;53;5;4;1;23;17;2;16
2020-05-14 17:00:00;41;62;76;4;8;5;24;16;1;0
2020-05-14 17:15:00;40;61;60;7;11;4;23;13;1;0
2020-05-14 17:30:00;43;47;62;6;8;9;16;14;1;0
2020-05-14 17:45:00;33;36;65;10;7;4;19;10;1;0
2020-05-14 18:00:00;38;52;79;3;6;2;14;7;4;0
2020-05-14 18:15:00;31;35;42;4;3;1;7;7;2;2
2020-05-14 18:30:00;30;41;58;10;4;2;10;11;9;1
2020-05-14 18:45:00;35;34;52;9;3;1;8;11;3;3
2020-05-14 19:00:00;23;34;62;2;4;2;17;14;3;2
2020-05-14 19:15:00;33;37;48;3;6;3;6;5;0;0
2020-05-14 19:30:00;21;20;40;5;5;4;7;12;0;10
2020-05-14 19:45:00;20;23;47;3;3;1;2;6;1;0
2020-05-14 20:00:00;16;19;47;4;1;0;2;6;3;2
2020-05-14 20:15:00;19;25;25;3;4;0;4;7;0;0
2020-05-14 20:30:00;22;15;16;3;2;1;2;7;0;0
2020-05-14 20:45:00;16;11;30;7;2;2;10;12;0;0
2020-05-14 21:00:00;37;16;29;6;40;5;112;48;0;0
2020-05-14 21:15:00;98;25;70;7;13;3;17;13;0;0
2020-05-14 21:30:00;100;13;65;3;8;3;2;13;0;0
2020-05-14 21:45:00;27;18;20;4;6;2;4;11;0;0
2020-05-14 22:00:00;19;32;25;8;3;0;26;15;0;2
