DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2020-11-09 00:00:00;0;0;0;0;0;0;0;0;0;0
2020-11-09 00:15:00;5;6;0;1;0;0;0;1;0;0
2020-11-09 00:30:00;1;0;2;0;0;0;1;1;0;0
2020-11-09 00:45:00;4;4;2;1;1;0;1;3;0;0
2020-11-09 01:00:00;3;2;2;0;0;0;0;0;0;0
2020-11-09 01:15:00;4;4;0;1;1;0;0;0;0;0
2020-11-09 01:30:00;0;0;1;1;0;0;0;1;0;0
2020-11-09 01:45:00;2;1;2;0;0;0;0;0;0;0
2020-11-09 02:00:00;1;1;0;0;0;0;0;0;0;0
2020-11-09 02:15:00;0;0;0;0;0;0;0;0;0;0
2020-11-09 02:30:00;1;3;1;1;0;0;0;0;0;0
2020-11-09 02:45:00;2;2;0;1;0;0;0;1;0;0
2020-11-09 03:00:00;2;2;1;2;0;0;0;0;0;0
2020-11-09 03:15:00;0;0;1;1;0;0;1;1;0;0
2020-11-09 03:30:00;2;2;1;0;0;0;0;0;0;0
2020-11-09 03:45:00;4;5;2;3;0;0;0;1;0;0
2020-11-09 04:00:00;6;4;2;3;0;0;0;0;0;0
2020-11-09 04:15:00;8;4;3;0;0;0;0;0;0;0
2020-11-09 04:30:00;12;7;6;1;0;0;1;0;0;0
2020-11-09 04:45:00;24;5;18;5;0;0;0;2;0;0
2020-11-09 05:00:00;48;8;30;5;0;2;1;4;0;0
2020-11-09 05:15:00;108;13;119;16;0;7;0;10;0;0
2020-11-09 05:30:00;140;21;122;24;1;16;9;12;0;0
2020-11-09 05:45:00;79;16;66;9;3;3;13;6;0;0
2020-11-09 06:00:00;37;15;52;13;2;1;21;13;0;0
2020-11-09 06:15:00;51;20;70;10;2;0;7;9;0;0
2020-11-09 06:30:00;61;33;74;15;0;2;4;11;0;2
2020-11-09 06:45:00;70;40;83;12;0;2;5;14;0;0
2020-11-09 07:00:00;47;31;76;13;6;2;4;8;0;0
2020-11-09 07:15:00;54;44;71;19;2;5;10;11;0;0
2020-11-09 07:30:00;75;80;100;12;4;9;16;12;0;17
2020-11-09 07:45:00;58;55;105;13;6;8;11;10;0;0
2020-11-09 08:00:00;51;59;87;15;1;7;12;15;0;0
2020-11-09 08:15:00;52;50;77;18;6;5;17;7;0;0
2020-11-09 08:30:00;42;67;76;15;9;3;7;7;2;2
2020-11-09 08:45:00;42;46;49;11;1;4;7;10;3;0
2020-11-09 09:00:00;36;43;62;12;6;6;9;11;0;0
2020-11-09 09:15:00;24;42;52;10;4;8;16;8;1;0
2020-11-09 09:30:00;33;57;57;7;6;3;12;13;0;0
2020-11-09 09:45:00;35;54;51;16;5;3;15;12;2;0
2020-11-09 10:00:00;30;34;53;5;4;5;19;9;0;0
2020-11-09 10:15:00;33;44;39;13;0;0;12;12;2;0
2020-11-09 10:30:00;36;38;60;10;3;3;12;7;1;0
2020-11-09 10:45:00;25;33;60;8;5;4;10;9;3;0
2020-11-09 11:00:00;37;53;59;12;9;6;19;13;1;0
2020-11-09 11:15:00;28;40;96;8;3;5;12;10;0;0
2020-11-09 11:30:00;27;35;67;10;12;4;17;10;0;1
2020-11-09 11:45:00;28;62;65;12;12;5;20;11;1;0
2020-11-09 12:00:00;37;62;62;14;11;3;25;21;0;0
2020-11-09 12:15:00;40;51;69;9;9;3;21;14;2;0
2020-11-09 12:30:00;38;48;65;8;14;6;20;13;2;0
2020-11-09 12:45:00;49;45;66;11;6;3;12;14;4;16
2020-11-09 13:00:00;71;59;105;10;10;4;22;14;4;1
2020-11-09 13:15:00;99;51;111;18;10;6;24;10;0;0
