DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DC1);9(DC2);10(DDRES1);11(DDRES2);12(TAFGA);13(TAFGC);14(TAFGC2);15(RES1)
2019-08-28 00:00:00;7;1;3;3;3;1;2;1;5;0;0;0;0;0;0
2019-08-28 00:15:00;4;4;7;3;3;1;1;0;10;0;0;0;0;0;0
2019-08-28 00:30:00;2;3;5;2;2;0;0;0;4;0;0;0;0;0;0
2019-08-28 00:45:00;5;3;5;1;1;1;1;0;4;0;0;0;0;0;0
2019-08-28 01:00:00;2;0;1;2;2;0;0;0;2;0;0;0;0;0;0
2019-08-28 01:15:00;3;0;1;0;0;0;0;1;9;0;0;0;0;0;0
2019-08-28 01:30:00;6;1;2;2;2;2;1;0;4;0;0;0;0;0;0
2019-08-28 01:45:00;5;1;7;3;3;1;1;1;5;0;0;0;0;0;0
2019-08-28 02:00:00;4;1;2;1;1;0;0;0;1;0;0;0;0;0;0
2019-08-28 02:15:00;3;0;3;3;3;1;1;0;2;0;0;0;0;0;0
2019-08-28 02:30:00;6;2;7;1;1;0;0;0;2;0;0;0;0;0;0
2019-08-28 02:45:00;3;1;5;3;3;2;2;0;4;0;0;0;0;0;0
2019-08-28 03:00:00;4;0;4;2;2;0;0;0;5;0;0;0;0;0;0
2019-08-28 03:15:00;3;0;2;1;1;1;1;0;3;0;0;0;0;0;0
2019-08-28 03:30:00;4;2;5;4;4;2;2;0;3;0;0;0;0;0;0
2019-08-28 03:45:00;4;1;3;1;1;0;0;0;4;0;0;0;0;0;0
2019-08-28 04:00:00;5;4;9;4;4;1;1;0;3;0;0;0;0;0;0
2019-08-28 04:15:00;2;0;5;3;3;0;1;0;5;0;0;0;0;0;0
2019-08-28 04:30:00;9;3;11;3;3;1;0;0;9;0;0;0;0;0;0
2019-08-28 04:45:00;8;13;15;3;4;1;1;0;2;0;0;0;0;0;0
2019-08-28 05:00:00;10;28;26;2;2;1;1;1;9;0;0;0;0;0;0
2019-08-28 05:15:00;7;69;66;7;7;1;2;0;9;0;0;0;0;0;0
2019-08-28 05:30:00;27;62;63;7;7;6;2;3;46;0;0;0;0;0;0
2019-08-28 05:45:00;31;46;50;36;46;9;8;2;85;0;0;1;0;0;0
2019-08-28 06:00:00;47;47;43;41;47;16;12;4;60;0;0;0;1;0;0
2019-08-28 06:15:00;36;60;65;35;37;10;9;0;57;0;0;0;0;0;0
2019-08-28 06:30:00;68;86;86;26;27;6;5;2;74;0;0;0;0;0;0
2019-08-28 06:45:00;61;75;76;24;26;7;8;2;126;0;0;0;1;0;0
2019-08-28 07:00:00;78;56;57;14;16;4;3;2;119;0;0;0;1;0;0
2019-08-28 07:15:00;84;69;68;18;19;7;7;5;111;0;0;0;0;0;0
2019-08-28 07:30:00;87;46;51;25;27;8;9;2;104;0;0;0;1;0;0
2019-08-28 07:45:00;65;49;48;27;29;12;13;8;125;0;0;1;0;0;0
2019-08-28 08:00:00;62;39;45;19;19;6;7;6;103;0;0;1;0;0;0
2019-08-28 08:15:00;60;33;33;17;20;11;12;7;117;0;0;0;0;0;0
2019-08-28 08:30:00;75;35;40;21;20;8;7;4;82;0;0;0;0;0;0
2019-08-28 08:45:00;72;25;33;29;26;18;17;6;90;0;0;1;1;0;0
2019-08-28 09:00:00;54;24;27;13;15;16;16;6;70;0;0;2;0;0;0
2019-08-28 09:15:00;71;14;25;20;18;14;14;7;69;0;0;2;0;0;0
2019-08-28 09:30:00;81;25;37;22;20;16;14;2;77;0;0;0;0;0;0
2019-08-28 09:45:00;70;20;25;26;35;19;21;4;84;0;0;4;0;0;0
2019-08-28 10:00:00;76;21;36;33;34;12;10;4;81;0;0;0;0;0;0
2019-08-28 10:15:00;74;24;26;26;27;16;16;8;58;0;0;3;0;0;0
2019-08-28 10:30:00;86;28;31;27;28;15;14;3;70;0;0;1;0;0;0
2019-08-28 10:45:00;87;24;32;23;25;20;19;5;76;0;0;1;0;0;0
2019-08-28 11:00:00;86;28;28;27;27;17;15;5;66;0;0;0;0;0;0
2019-08-28 11:15:00;63;26;31;22;19;13;12;8;68;0;0;0;0;0;0
2019-08-28 11:30:00;92;20;27;28;29;19;18;7;64;0;0;0;0;0;0
2019-08-28 11:45:00;79;34;38;19;16;18;20;6;84;0;0;0;0;0;0
2019-08-28 12:00:00;84;36;38;38;40;21;19;7;85;0;0;2;0;0;0
2019-08-28 12:15:00;71;21;34;37;41;18;20;6;85;0;0;0;1;0;0
2019-08-28 12:30:00;80;28;36;35;39;20;19;4;99;0;0;0;0;0;0
2019-08-28 12:45:00;113;38;40;27;31;10;12;6;73;0;0;0;0;0;0
2019-08-28 13:00:00;94;33;36;33;37;18;21;5;73;0;0;2;0;0;0
2019-08-28 13:15:00;77;47;49;36;41;19;22;5;76;0;0;2;0;0;0
2019-08-28 13:30:00;68;67;64;38;41;19;20;6;75;0;0;0;1;0;0
2019-08-28 13:45:00;64;75;72;24;28;17;18;5;76;0;0;2;1;0;0
2019-08-28 14:00:00;87;42;48;42;48;18;21;1;67;0;0;0;0;0;0
2019-08-28 14:15:00;78;32;30;105;115;27;33;6;78;0;0;0;0;0;0
2019-08-28 14:30:00;109;25;33;80;95;29;29;3;55;0;0;2;0;0;0
2019-08-28 14:45:00;91;24;34;59;65;31;28;3;74;0;0;1;0;0;0
2019-08-28 15:00:00;121;29;31;57;71;26;29;3;64;0;0;0;0;0;0
2019-08-28 15:15:00;108;31;33;85;99;30;33;3;75;0;0;2;0;0;0
2019-08-28 15:30:00;158;28;37;67;71;22;25;6;74;0;0;0;0;0;0
2019-08-28 15:45:00;136;33;29;47;56;24;31;5;61;0;0;2;1;0;0
2019-08-28 16:00:00;159;22;34;60;68;28;32;7;87;0;0;0;0;0;0
2019-08-28 16:15:00;155;27;41;54;59;30;30;5;82;0;0;1;0;0;0
2019-08-28 16:30:00;148;29;37;54;63;34;37;1;80;0;0;4;2;0;0
2019-08-28 16:45:00;146;23;26;57;58;29;33;7;83;0;0;3;0;0;0
2019-08-28 17:00:00;153;32;35;37;42;24;27;1;73;0;0;1;0;0;0
2019-08-28 17:15:00;137;34;36;37;43;23;26;3;82;0;0;1;0;0;0
2019-08-28 17:30:00;144;29;37;49;54;19;23;9;69;0;0;2;2;0;0
2019-08-28 17:45:00;119;35;33;30;33;21;25;0;59;0;0;0;0;0;0
2019-08-28 18:00:00;123;31;37;35;38;17;17;2;74;0;0;0;0;0;0
2019-08-28 18:15:00;93;18;17;32;35;19;20;3;76;0;0;0;0;0;0
2019-08-28 18:30:00;83;20;26;17;19;12;12;0;67;0;0;2;0;0;0
2019-08-28 18:45:00;74;21;22;21;21;17;16;3;59;0;0;4;1;0;0
2019-08-28 19:00:00;104;19;24;17;16;11;13;1;50;0;0;0;0;0;0
2019-08-28 19:15:00;56;14;23;22;22;10;12;2;54;0;0;0;0;0;0
2019-08-28 19:30:00;40;20;19;16;16;16;17;1;42;0;0;0;0;0;0
2019-08-28 19:45:00;50;15;21;12;13;11;12;4;47;0;0;0;1;0;0
2019-08-28 20:00:00;47;15;22;15;15;4;4;1;49;0;0;0;0;0;0
2019-08-28 20:15:00;55;23;27;14;13;10;6;2;44;0;0;0;0;0;0
2019-08-28 20:30:00;39;11;18;6;6;7;4;0;33;0;0;1;0;0;0
2019-08-28 20:45:00;28;21;21;6;6;8;7;3;38;0;0;0;0;0;0
2019-08-28 21:00:00;19;27;28;7;7;5;6;5;37;0;0;0;0;0;0
2019-08-28 21:15:00;23;41;41;6;5;1;1;1;33;0;0;0;0;0;0
2019-08-28 21:30:00;21;24;23;10;12;6;6;4;35;0;0;0;0;0;0
2019-08-28 21:45:00;24;8;14;43;51;15;11;0;34;0;0;0;0;0;0
2019-08-28 22:00:00;22;7;12;80;90;18;21;0;36;0;0;0;0;0;0
2019-08-28 22:15:00;21;8;16;17;16;7;7;0;27;0;0;0;0;0;0
2019-08-28 22:30:00;23;6;7;9;9;3;4;1;28;0;0;0;0;0;0
2019-08-28 22:45:00;13;4;9;6;6;4;4;1;19;0;0;0;0;0;0
2019-08-28 23:00:00;20;3;7;4;4;4;3;0;12;0;0;0;0;0;0
