DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DC1);9(DC2);10(DDRES1);11(DDRES2);12(TAFGA);13(TAFGC);14(TAFGC2);15(RES1)
2019-11-14 00:00:00;3;0;0;1;1;1;1;0;8;0;0;0;0;0;0
2019-11-14 00:15:00;3;5;8;2;2;2;1;0;6;0;0;0;0;0;0
2019-11-14 00:30:00;1;2;3;2;2;3;3;1;4;0;0;0;0;0;0
2019-11-14 00:45:00;0;3;5;4;4;4;4;0;9;0;0;0;0;0;0
2019-11-14 01:00:00;2;0;1;1;1;1;0;0;4;0;0;0;0;0;0
2019-11-14 01:15:00;2;2;3;3;3;3;2;0;5;0;0;0;0;0;0
2019-11-14 01:30:00;2;1;1;1;1;0;0;0;3;0;0;0;0;0;0
2019-11-14 01:45:00;9;0;2;2;2;1;1;0;1;0;0;0;0;0;0
2019-11-14 02:00:00;2;0;2;0;0;2;2;0;2;0;0;0;0;0;0
2019-11-14 02:15:00;4;1;2;3;2;1;1;0;2;0;0;0;0;0;0
2019-11-14 02:30:00;7;1;6;1;1;1;1;0;5;0;0;0;0;0;0
2019-11-14 02:45:00;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2019-11-14 03:00:00;3;1;3;2;2;0;0;0;4;0;0;0;0;0;0
2019-11-14 03:15:00;2;2;3;2;2;1;1;0;2;0;0;0;0;0;0
2019-11-14 03:30:00;1;1;2;1;1;1;1;0;2;0;0;0;0;0;0
2019-11-14 03:45:00;5;2;5;4;4;4;4;1;4;0;0;0;0;0;0
2019-11-14 04:00:00;6;4;6;2;2;1;1;0;2;0;0;0;0;0;0
2019-11-14 04:15:00;6;3;5;3;3;2;0;0;4;0;0;0;0;0;0
2019-11-14 04:30:00;7;5;11;6;6;4;3;1;6;0;0;0;0;0;0
2019-11-14 04:45:00;10;17;20;3;3;3;2;3;8;0;0;0;0;0;0
2019-11-14 05:00:00;11;44;47;3;3;1;0;2;12;0;0;0;2;0;0
2019-11-14 05:15:00;16;141;132;9;8;5;3;7;20;0;0;0;0;0;0
2019-11-14 05:30:00;27;93;95;8;7;8;8;9;74;0;0;0;0;0;0
2019-11-14 05:45:00;41;63;62;72;80;21;21;4;87;0;0;2;0;0;0
2019-11-14 06:00:00;67;74;65;84;92;25;29;4;70;0;0;0;2;0;0
2019-11-14 06:15:00;54;84;85;38;36;19;19;0;68;0;0;0;0;0;0
