DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DC1);9(DC2);10(DDRES1);11(DDRES2);12(TAFGA);13(TAFGC);14(TAFGC2);15(RES1)
2020-01-30 00:00:00;4;1;1;1;1;0;0;1;2;0;0;0;0;0;0
2020-01-30 00:15:00;6;1;1;1;1;0;0;0;5;0;0;0;0;0;0
2020-01-30 00:30:00;6;1;3;5;4;3;2;0;7;0;0;0;0;0;0
2020-01-30 00:45:00;2;0;4;6;5;4;3;0;3;0;0;0;0;0;0
2020-01-30 01:00:00;1;1;1;1;1;0;0;0;5;0;0;0;0;0;0
2020-01-30 01:15:00;2;2;4;2;2;1;1;0;9;0;0;0;0;0;0
2020-01-30 01:30:00;4;1;0;1;1;2;2;0;2;0;0;0;0;0;0
2020-01-30 01:45:00;3;1;1;0;0;0;0;0;2;0;0;0;0;0;0
2020-01-30 02:00:00;2;0;1;2;1;2;2;0;2;0;0;0;0;0;0
2020-01-30 02:15:00;5;1;4;1;1;1;0;0;1;0;0;0;0;0;0
2020-01-30 02:30:00;7;3;4;3;3;3;2;0;2;0;0;0;0;0;0
2020-01-30 02:45:00;6;2;4;1;1;0;0;1;3;0;0;0;0;0;0
2020-01-30 03:00:00;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2020-01-30 03:15:00;4;0;1;2;2;2;1;0;5;0;0;0;0;0;0
2020-01-30 03:30:00;1;0;2;3;2;3;3;0;4;0;0;0;0;0;0
2020-01-30 03:45:00;5;0;1;3;3;1;0;1;4;0;0;0;0;0;0
2020-01-30 04:00:00;4;2;2;5;5;4;1;1;4;0;0;0;0;0;0
2020-01-30 04:15:00;10;3;8;4;4;2;1;0;5;0;0;0;0;0;0
2020-01-30 04:30:00;6;5;6;5;4;3;3;3;11;0;0;0;0;0;0
2020-01-30 04:45:00;13;18;25;4;4;5;4;4;4;0;0;0;0;0;0
2020-01-30 05:00:00;10;55;60;3;3;0;0;5;25;0;0;0;0;0;0
2020-01-30 05:15:00;14;127;114;9;9;2;1;4;23;0;0;0;0;0;0
2020-01-30 05:30:00;34;95;98;8;8;12;11;12;77;0;0;0;0;0;0
2020-01-30 05:45:00;55;56;52;77;87;20;26;4;90;0;0;1;0;0;0
2020-01-30 06:00:00;61;61;55;82;93;24;30;3;61;0;0;0;0;0;0
2020-01-30 06:15:00;51;83;77;33;42;18;17;4;90;0;0;1;0;0;0
2020-01-30 06:30:00;88;91;93;35;38;9;7;3;123;0;0;0;0;0;0
2020-01-30 06:45:00;88;76;73;25;27;5;6;4;129;0;0;0;0;0;0
2020-01-30 07:00:00;117;62;60;17;19;6;7;6;146;0;0;0;3;0;0
2020-01-30 07:15:00;124;71;69;21;28;5;4;9;154;0;0;0;0;0;0
2020-01-30 07:30:00;114;90;89;23;25;17;18;14;141;0;0;0;4;0;0
2020-01-30 07:45:00;115;71;71;25;29;13;14;11;155;0;0;1;5;0;0
2020-01-30 08:00:00;103;53;53;17;23;15;19;10;153;0;0;0;1;0;0
2020-01-30 08:15:00;87;54;54;29;33;13;14;13;147;0;0;1;1;0;0
2020-01-30 08:30:00;73;23;28;30;32;15;14;9;119;0;0;0;2;0;0
2020-01-30 08:45:00;106;42;39;28;32;20;20;7;107;0;0;0;0;0;0
2020-01-30 09:00:00;80;28;28;17;17;19;19;9;92;0;0;0;1;0;0
2020-01-30 09:15:00;96;34;35;26;28;14;13;6;91;0;0;0;1;0;0
2020-01-30 09:30:00;88;30;31;24;27;23;25;7;78;0;0;0;0;0;0
2020-01-30 09:45:00;96;23;26;34;34;18;17;6;81;0;0;0;0;0;0
2020-01-30 10:00:00;82;23;24;26;26;22;21;5;76;0;0;0;0;0;0
2020-01-30 10:15:00;80;30;29;34;31;19;20;4;85;0;0;0;3;0;0
2020-01-30 10:30:00;102;22;26;35;43;15;14;8;89;0;0;0;1;0;0
2020-01-30 10:45:00;96;22;23;25;26;9;10;9;84;0;0;1;1;0;0
2020-01-30 11:00:00;99;30;26;29;35;23;27;10;75;0;0;0;0;0;0
2020-01-30 11:15:00;89;40;35;36;38;30;35;12;87;0;0;0;0;0;0
2020-01-30 11:30:00;99;37;41;30;33;22;25;4;107;0;0;2;0;0;0
2020-01-30 11:45:00;102;36;35;37;37;21;19;5;96;0;0;2;0;0;0
2020-01-30 12:00:00;108;35;36;22;24;22;24;10;70;0;0;0;2;0;0
2020-01-30 12:15:00;81;24;25;40;43;23;22;9;83;0;0;0;6;0;0
2020-01-30 12:30:00;72;31;28;32;38;21;26;5;104;0;0;0;2;0;0
2020-01-30 12:45:00;86;35;35;34;38;15;14;13;99;0;0;0;0;0;0
2020-01-30 13:00:00;88;44;45;42;45;17;18;10;97;0;0;0;0;0;0
2020-01-30 13:15:00;107;64;57;27;29;22;27;10;83;0;0;0;0;0;0
2020-01-30 13:30:00;97;91;93;26;28;23;26;13;92;0;0;0;0;0;0
2020-01-30 13:45:00;101;59;57;34;37;23;24;16;83;0;0;1;1;0;0
2020-01-30 14:00:00;116;48;42;82;91;52;57;8;101;0;0;0;0;0;0
2020-01-30 14:15:00;104;26;26;164;175;67;73;11;86;0;0;0;0;0;0
2020-01-30 14:30:00;128;28;29;141;149;63;68;8;74;0;0;1;4;0;0
2020-01-30 14:45:00;105;35;34;62;76;31;41;5;90;0;0;0;3;0;0
2020-01-30 15:00:00;124;36;37;71;76;28;31;2;90;0;0;1;1;0;0
2020-01-30 15:15:00;133;40;39;91;98;45;51;9;74;0;0;3;0;0;0
2020-01-30 15:30:00;195;39;36;72;79;42;49;6;94;0;0;2;1;0;0
2020-01-30 15:45:00;184;52;51;65;70;37;39;4;91;0;0;0;2;0;0
2020-01-30 16:00:00;202;37;34;80;90;40;45;5;111;0;0;3;1;0;0
2020-01-30 16:15:00;165;41;37;61;68;40;47;6;95;0;0;0;0;0;0
2020-01-30 16:30:00;185;43;46;80;85;42;50;8;114;0;0;3;2;0;0
2020-01-30 16:45:00;207;38;38;55;60;35;34;8;88;0;0;2;4;0;0
2020-01-30 17:00:00;172;43;40;53;61;34;37;8;99;0;0;3;0;0;0
2020-01-30 17:15:00;193;39;37;43;46;44;50;3;105;0;0;0;1;0;0
2020-01-30 17:30:00;182;31;29;55;62;30;29;3;86;0;0;3;2;0;0
2020-01-30 17:45:00;146;24;23;45;57;32;36;5;86;0;0;0;0;0;0
2020-01-30 18:00:00;133;33;34;39;45;24;24;8;101;0;0;0;1;0;0
2020-01-30 18:15:00;133;22;24;44;48;15;15;1;73;0;0;0;1;0;0
2020-01-30 18:30:00;118;27;25;25;29;17;22;4;87;0;0;0;0;0;0
2020-01-30 18:45:00;97;19;19;17;19;16;15;8;87;0;0;0;0;0;0
2020-01-30 19:00:00;101;30;31;23;26;16;19;9;54;0;0;0;0;0;0
2020-01-30 19:15:00;65;14;13;20;20;9;9;5;55;0;0;0;0;0;0
2020-01-30 19:30:00;53;25;24;17;17;10;14;2;58;0;0;0;0;0;0
2020-01-30 19:45:00;51;20;16;13;14;10;11;4;49;0;0;0;0;0;0
2020-01-30 20:00:00;43;18;17;20;18;11;11;3;44;0;0;0;0;0;0
2020-01-30 20:15:00;26;18;19;10;11;5;5;0;27;0;0;0;0;0;0
2020-01-30 20:30:00;30;6;10;13;13;10;8;3;41;0;0;0;0;0;0
2020-01-30 20:45:00;34;22;21;10;8;6;5;6;28;0;0;0;0;0;0
2020-01-30 21:00:00;26;71;71;9;9;3;3;1;42;0;0;0;0;0;0
2020-01-30 21:15:00;22;61;61;5;5;4;4;4;47;0;0;0;0;0;0
2020-01-30 21:30:00;31;34;33;12;12;7;7;6;51;0;0;0;0;0;0
2020-01-30 21:45:00;16;12;12;84;87;11;11;1;23;0;0;1;0;0;0
2020-01-30 22:00:00;33;5;8;81;92;42;47;2;19;0;0;0;0;0;0
2020-01-30 22:15:00;20;5;8;39;40;16;17;1;27;0;0;0;0;0;0
2020-01-30 22:30:00;20;8;9;11;12;8;7;0;27;0;0;0;0;0;0
2020-01-30 22:45:00;7;7;6;3;3;3;3;0;25;0;0;0;0;0;0
2020-01-30 23:00:00;25;8;10;3;3;3;3;0;19;0;0;0;0;0;0
2020-01-30 23:15:00;5;4;4;3;3;1;1;1;11;0;0;0;0;0;0
2020-01-30 23:30:00;7;4;4;0;0;1;1;1;8;0;0;0;0;0;0
2020-01-30 23:45:00;6;3;6;3;3;3;2;1;8;0;0;0;0;0;0
