DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DC1);9(DC2);10(DDRES1);11(DDRES2);12(TAFGA);13(TAFGC);14(TAFGC2);15(RES1)
2020-05-18 00:00:00;6;2;2;0;0;0;0;0;2;0;0;0;0;0;0
2020-05-18 00:15:00;5;1;3;1;1;2;1;1;1;0;0;0;0;0;0
2020-05-18 00:30:00;1;1;2;2;2;0;0;0;5;0;0;0;0;0;0
2020-05-18 00:45:00;3;6;8;2;2;0;0;0;5;0;0;0;0;0;0
2020-05-18 01:00:00;3;2;2;2;2;1;0;1;2;0;0;0;0;0;0
2020-05-18 01:15:00;2;1;2;1;1;1;1;0;4;0;0;0;0;0;0
2020-05-18 01:30:00;4;0;1;1;1;0;0;0;5;0;0;0;0;0;0
2020-05-18 01:45:00;3;0;1;2;2;1;1;0;2;0;0;0;0;0;0
2020-05-18 02:00:00;5;2;5;2;2;1;1;0;2;0;0;0;0;0;0
2020-05-18 02:15:00;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-05-18 02:30:00;3;1;3;2;2;2;1;0;2;0;0;0;0;0;0
2020-05-18 02:45:00;6;1;3;0;0;0;0;0;2;0;0;0;0;0;0
2020-05-18 03:00:00;2;0;2;2;2;0;0;0;5;0;0;0;0;0;0
2020-05-18 03:15:00;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
2020-05-18 03:30:00;5;1;2;2;2;0;0;0;3;0;0;0;0;0;0
2020-05-18 03:45:00;3;0;0;3;3;1;1;0;2;0;0;0;0;0;0
2020-05-18 04:00:00;2;0;0;2;2;1;1;0;2;0;0;0;0;0;0
2020-05-18 04:15:00;8;2;4;3;3;2;1;0;5;0;0;0;0;0;0
2020-05-18 04:30:00;8;6;12;2;2;2;2;0;5;0;0;0;0;0;0
2020-05-18 04:45:00;12;12;16;2;2;1;0;0;10;0;0;0;0;0;0
2020-05-18 05:00:00;8;32;34;2;2;1;1;2;7;0;0;0;0;0;0
2020-05-18 05:15:00;14;88;74;4;4;3;2;7;20;0;0;0;0;0;0
2020-05-18 05:30:00;35;78;83;12;11;2;2;3;38;0;0;0;0;0;0
2020-05-18 05:45:00;25;26;30;9;10;1;0;3;59;0;0;0;0;0;0
2020-05-18 06:00:00;30;28;27;5;6;2;1;2;42;0;0;0;1;0;0
2020-05-18 06:15:00;58;42;35;11;13;4;4;1;41;0;0;0;0;0;0
2020-05-18 06:30:00;54;58;61;26;28;1;0;5;85;0;0;0;0;0;0
2020-05-18 06:45:00;70;53;45;18;19;2;2;3;95;0;0;0;0;0;0
2020-05-18 07:00:00;80;33;37;13;12;4;4;9;73;0;0;0;1;0;0
2020-05-18 07:15:00;106;36;36;13;16;11;10;6;92;0;0;0;0;0;0
2020-05-18 07:30:00;104;42;47;23;27;7;7;6;90;0;0;2;2;0;0
2020-05-18 07:45:00;85;46;46;21;29;10;10;11;102;0;0;0;0;0;0
2020-05-18 08:00:00;75;36;36;12;13;11;11;5;74;0;0;0;0;0;0
2020-05-18 08:15:00;76;30;28;19;25;11;14;7;64;0;0;0;1;0;0
2020-05-18 08:30:00;63;25;29;19;18;11;12;7;77;0;0;0;2;0;0
2020-05-18 08:45:00;73;23;20;22;26;11;10;2;74;0;0;0;0;0;0
2020-05-18 09:00:00;81;18;19;21;21;21;20;3;68;0;0;1;0;0;0
2020-05-18 09:15:00;83;30;32;22;25;12;15;4;81;0;0;0;0;0;0
2020-05-18 09:30:00;80;16;31;25;26;12;14;7;73;0;0;0;0;0;0
2020-05-18 09:45:00;106;19;25;35;40;18;17;5;68;0;0;0;1;0;0
2020-05-18 10:00:00;75;18;17;30;33;11;11;4;71;0;0;0;0;0;0
2020-05-18 10:15:00;72;26;27;28;29;20;22;9;85;0;0;0;0;0;0
2020-05-18 10:30:00;96;16;17;28;28;17;14;4;83;0;0;0;3;0;0
2020-05-18 10:45:00;97;28;27;25;25;18;18;5;73;0;0;0;1;0;0
2020-05-18 11:00:00;94;19;21;30;31;16;19;5;91;0;0;17;1;0;0
2020-05-18 11:15:00;102;25;27;32;35;24;24;6;82;0;0;0;0;0;0
2020-05-18 11:30:00;99;41;39;35;34;13;15;7;98;0;0;0;0;0;0
2020-05-18 11:45:00;111;38;39;36;42;13;16;2;83;0;0;1;1;0;0
2020-05-18 12:00:00;90;25;28;40;42;22;23;3;84;0;0;0;0;0;0
2020-05-18 12:15:00;89;28;35;28;27;20;20;3;86;0;0;0;0;0;0
2020-05-18 12:30:00;96;23;23;28;28;12;14;4;78;0;0;0;0;0;0
2020-05-18 12:45:00;93;29;33;28;34;15;18;2;75;0;0;1;2;0;0
2020-05-18 13:00:00;84;34;34;32;33;14;15;3;96;0;0;1;0;0;0
2020-05-18 13:15:00;72;66;68;36;43;12;17;3;85;0;0;1;1;0;0
2020-05-18 13:30:00;91;79;75;23;24;19;16;6;92;0;0;1;4;0;0
2020-05-18 13:45:00;93;57;49;40;44;20;25;8;96;0;0;0;2;0;0
2020-05-18 14:00:00;95;41;41;45;53;21;23;9;82;0;0;0;1;0;0
2020-05-18 14:15:00;112;38;33;146;159;49;51;4;72;0;0;0;2;0;0
2020-05-18 14:30:00;123;37;38;105;113;41;39;3;73;0;0;2;3;0;0
2020-05-18 14:45:00;99;26;27;61;71;29;33;3;74;0;0;0;1;0;0
2020-05-18 15:00:00;117;19;21;51;50;17;18;3;87;0;0;3;4;0;0
2020-05-18 15:15:00;124;25;28;61;68;23;27;3;94;0;0;2;4;0;0
2020-05-18 15:30:00;116;30;30;47;47;22;22;4;77;0;0;1;3;0;0
2020-05-18 15:45:00;118;28;33;50;53;24;23;2;87;0;0;0;1;0;0
2020-05-18 16:00:00;122;34;28;41;47;17;19;2;78;0;0;0;6;0;0
2020-05-18 16:15:00;120;27;33;37;39;27;31;4;97;0;0;0;3;0;0
2020-05-18 16:30:00;158;43;40;42;46;23;23;5;108;0;0;1;3;0;0
2020-05-18 16:45:00;112;28;28;36;39;17;20;2;103;0;0;4;0;0;0
2020-05-18 17:00:00;105;26;28;39;43;20;25;4;121;0;0;1;1;0;0
2020-05-18 17:15:00;141;31;31;38;47;21;24;6;97;0;0;0;1;0;0
2020-05-18 17:30:00;109;24;26;40;39;16;17;4;74;0;0;0;0;0;0
2020-05-18 17:45:00;118;30;35;34;37;20;20;4;96;0;0;4;3;0;0
2020-05-18 18:00:00;102;32;28;17;18;17;17;2;70;0;0;0;1;0;0
2020-05-18 18:15:00;78;41;34;27;27;19;18;5;87;0;0;14;0;0;0
2020-05-18 18:30:00;87;22;25;25;29;10;14;2;71;0;0;0;0;0;0
2020-05-18 18:45:00;56;18;19;18;23;10;10;2;51;0;0;0;0;0;0
2020-05-18 19:00:00;57;12;11;19;20;10;10;4;60;0;0;0;1;0;0
2020-05-18 19:15:00;53;17;21;20;19;11;9;5;57;0;0;1;0;0;0
2020-05-18 19:30:00;37;23;26;15;16;13;13;1;40;0;0;0;0;0;0
2020-05-18 19:45:00;35;25;19;16;17;10;9;4;32;0;0;1;1;0;0
2020-05-18 20:00:00;40;11;21;17;15;8;7;5;43;0;0;0;3;0;0
2020-05-18 20:15:00;34;9;11;4;5;2;3;4;30;0;0;0;2;0;0
2020-05-18 20:30:00;31;10;13;8;8;4;3;2;40;0;0;1;0;0;0
2020-05-18 20:45:00;27;20;18;5;5;5;6;4;22;0;0;0;0;0;0
2020-05-18 21:00:00;20;36;34;6;6;2;2;2;19;0;0;0;0;0;0
2020-05-18 21:15:00;17;35;34;8;8;7;5;2;26;0;0;0;0;0;0
2020-05-18 21:30:00;19;38;36;15;15;5;5;2;16;0;0;0;0;0;0
2020-05-18 21:45:00;20;15;16;51;62;12;11;2;15;0;0;0;0;0;0
2020-05-18 22:00:00;19;7;11;74;83;17;16;4;15;0;0;0;1;0;0
2020-05-18 22:15:00;12;8;12;24;21;8;6;1;9;0;0;0;0;0;0
2020-05-18 22:30:00;10;4;4;8;7;4;4;0;15;0;0;0;0;0;0
2020-05-18 22:45:00;12;7;7;4;4;2;2;0;10;0;0;0;0;0;0
2020-05-18 23:00:00;15;5;7;6;6;5;4;0;6;0;0;0;0;0;0
2020-05-18 23:15:00;9;3;3;2;2;1;1;0;6;0;0;0;0;0;0
2020-05-18 23:30:00;5;5;8;6;6;3;3;1;9;0;0;0;0;0;0
2020-05-18 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
