DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DC1);9(DC2);10(DDRES1);11(DDRES2);12(TAFGA);13(TAFGC);14(TAFGC2);15(RES1)
2020-10-29 00:00:00;1;1;2;6;6;3;2;0;0;0;0;0;0;0;0
2020-10-29 00:15:00;3;2;4;4;4;2;2;0;5;0;0;0;0;0;0
2020-10-29 00:30:00;0;2;3;1;1;0;0;0;5;0;0;0;0;0;0
2020-10-29 00:45:00;1;1;1;2;2;1;1;0;6;0;0;0;0;0;0
2020-10-29 01:00:00;1;0;0;4;4;1;0;0;5;0;0;0;0;0;0
2020-10-29 01:15:00;1;0;1;5;5;1;1;0;9;0;0;0;0;0;0
2020-10-29 01:30:00;3;0;2;1;0;1;1;0;4;0;0;0;0;0;0
2020-10-29 01:45:00;2;1;1;2;2;1;0;0;3;0;0;0;0;0;0
2020-10-29 02:00:00;3;0;1;2;2;1;1;0;0;0;0;0;0;0;0
2020-10-29 02:15:00;6;0;4;2;3;1;1;0;2;0;0;0;0;0;0
2020-10-29 02:30:00;2;1;1;1;1;0;1;0;3;0;0;0;0;0;0
2020-10-29 02:45:00;2;0;2;1;1;1;1;0;2;0;0;0;0;0;0
2020-10-29 03:00:00;3;1;3;3;3;1;1;0;2;0;0;0;0;0;0
2020-10-29 03:15:00;2;0;0;1;1;1;1;0;2;0;0;0;0;0;0
2020-10-29 03:30:00;1;2;5;2;2;0;0;0;3;0;0;0;0;0;0
2020-10-29 03:45:00;5;1;3;1;1;0;0;0;3;0;0;0;0;0;0
2020-10-29 04:00:00;2;1;3;1;1;0;0;0;5;0;0;0;0;0;0
2020-10-29 04:15:00;5;4;7;3;3;0;0;0;2;0;0;0;0;0;0
2020-10-29 04:30:00;10;7;11;6;7;3;3;1;7;0;0;0;0;0;0
2020-10-29 04:45:00;8;16;21;4;2;2;2;7;11;0;0;0;0;0;0
2020-10-29 05:00:00;11;41;36;2;2;4;4;6;11;0;0;0;0;0;0
2020-10-29 05:15:00;22;110;115;7;9;4;3;13;25;0;0;0;0;0;0
2020-10-29 05:30:00;13;81;76;19;21;10;9;8;55;0;0;0;0;0;0
2020-10-29 05:45:00;49;40;44;60;66;25;28;8;65;0;0;0;0;0;0
2020-10-29 06:00:00;47;49;44;85;94;26;27;2;46;0;0;0;0;0;0
2020-10-29 06:15:00;60;50;54;39;45;16;17;5;55;0;0;0;0;0;0
2020-10-29 06:30:00;77;56;50;34;31;6;6;10;97;0;0;0;0;0;0
2020-10-29 06:45:00;90;47;47;31;33;5;3;9;103;0;0;0;0;0;0
2020-10-29 07:00:00;113;41;38;13;12;12;13;8;72;0;0;1;0;0;0
2020-10-29 07:15:00;135;38;43;14;15;7;5;17;100;0;0;0;0;0;0
2020-10-29 07:30:00;124;62;61;31;32;11;12;25;95;0;0;0;0;0;0
2020-10-29 07:45:00;100;41;45;20;24;16;17;13;107;0;0;0;2;0;0
2020-10-29 08:00:00;97;42;43;24;30;14;14;11;108;0;0;0;1;0;0
2020-10-29 08:15:00;92;45;47;27;26;17;22;18;102;0;0;1;1;0;0
2020-10-29 08:30:00;94;35;40;28;31;15;16;14;93;0;0;0;0;0;0
2020-10-29 08:45:00;116;32;39;21;25;13;12;9;84;0;0;0;0;0;0
2020-10-29 09:00:00;80;30;34;29;31;13;13;3;58;0;0;0;0;0;0
2020-10-29 09:15:00;79;28;29;30;33;18;16;11;70;0;0;3;0;0;0
2020-10-29 09:30:00;103;22;28;20;24;16;17;10;85;0;0;0;3;0;0
2020-10-29 09:45:00;87;20;25;21;19;11;10;6;91;0;0;0;0;0;0
2020-10-29 10:00:00;109;23;27;33;32;22;24;11;77;0;0;0;0;0;0
2020-10-29 10:15:00;108;20;24;23;26;19;21;11;86;0;0;0;0;0;0
2020-10-29 10:30:00;97;21;25;29;31;15;16;11;94;0;0;0;1;0;0
2020-10-29 10:45:00;100;25;28;29;31;15;17;10;86;0;0;1;0;0;0
2020-10-29 11:00:00;98;25;27;23;27;17;18;12;82;0;0;0;0;0;0
2020-10-29 11:15:00;87;34;41;32;32;17;18;10;93;0;0;0;0;0;0
2020-10-29 11:30:00;114;33;33;31;33;19;19;8;97;0;0;0;0;0;0
2020-10-29 11:45:00;99;33;32;27;35;19;21;10;102;0;0;0;0;0;0
2020-10-29 12:00:00;88;28;29;28;29;24;24;10;68;0;0;0;1;0;0
2020-10-29 12:15:00;92;30;38;31;35;16;18;9;103;0;0;0;0;0;0
2020-10-29 12:30:00;108;28;30;25;28;24;24;12;89;0;0;0;1;0;0
2020-10-29 12:45:00;102;33;35;37;38;12;13;6;85;0;0;0;0;0;0
2020-10-29 13:00:00;114;39;34;32;37;20;20;10;80;0;0;2;0;0;0
2020-10-29 13:15:00;81;80;74;35;37;16;20;24;91;0;0;0;0;0;0
2020-10-29 13:30:00;107;95;97;43;47;21;22;12;90;0;0;0;0;0;0
2020-10-29 13:45:00;74;81;74;36;40;24;26;7;85;0;0;0;0;0;0
2020-10-29 14:00:00;96;50;53;71;81;44;48;14;98;0;0;0;1;0;0
2020-10-29 14:15:00;101;34;35;127;149;42;44;9;88;0;0;1;0;0;0
2020-10-29 14:30:00;130;34;35;95;105;35;39;6;92;0;0;0;0;0;0
2020-10-29 14:45:00;129;42;39;63;76;25;26;9;80;0;0;0;1;0;0
2020-10-29 15:00:00;114;31;28;59;67;22;21;6;95;0;0;0;1;0;0
2020-10-29 15:15:00;124;41;43;81;94;31;34;9;106;0;0;0;0;0;0
2020-10-29 15:30:00;152;23;28;54;62;19;21;4;76;0;0;0;0;0;0
2020-10-29 15:45:00;119;41;37;44;58;20;23;8;103;0;0;0;9;0;0
2020-10-29 16:00:00;176;34;36;77;85;21;21;13;95;0;0;0;1;0;0
2020-10-29 16:15:00;134;41;40;70;90;32;34;14;118;0;0;0;0;0;0
2020-10-29 16:30:00;136;37;36;61;66;23;23;7;111;0;0;0;1;0;0
2020-10-29 16:45:00;139;41;45;51;55;23;27;14;96;0;0;0;1;0;0
2020-10-29 17:00:00;162;25;31;43;49;19;24;6;108;0;0;0;0;0;0
2020-10-29 17:15:00;157;41;38;32;35;27;32;5;103;0;0;0;0;0;0
2020-10-29 17:30:00;123;30;34;43;49;14;14;13;90;0;0;0;3;0;0
2020-10-29 17:45:00;119;33;33;28;32;17;18;6;85;0;0;3;0;0;0
2020-10-29 18:00:00;93;33;32;22;25;21;21;4;77;0;0;1;2;0;0
2020-10-29 18:15:00;82;18;24;27;30;27;27;4;94;0;0;0;0;0;0
2020-10-29 18:30:00;70;25;24;25;25;16;16;5;80;0;0;2;0;0;0
2020-10-29 18:45:00;77;18;19;15;15;14;15;7;71;0;0;0;0;0;0
2020-10-29 19:00:00;85;16;20;16;17;9;9;4;37;0;0;0;0;0;0
2020-10-29 19:15:00;56;20;18;15;16;15;16;5;60;0;0;0;0;0;0
2020-10-29 19:30:00;40;15;15;8;7;8;9;2;42;0;0;0;0;0;0
2020-10-29 19:45:00;38;13;13;14;14;10;11;8;43;0;0;0;0;0;0
2020-10-29 20:00:00;32;12;14;7;7;6;5;4;34;0;0;0;0;0;0
2020-10-29 20:15:00;30;7;9;9;9;5;6;5;38;0;0;0;0;0;0
2020-10-29 20:30:00;17;19;16;7;7;2;3;3;27;0;0;0;0;0;0
2020-10-29 20:45:00;15;32;32;17;15;5;6;10;24;0;0;0;0;0;0
2020-10-29 21:00:00;28;55;52;9;9;2;2;8;34;0;0;0;0;0;0
2020-10-29 21:15:00;19;70;68;12;12;3;3;15;39;0;0;0;0;0;0
2020-10-29 21:30:00;25;30;31;13;17;6;5;9;26;0;0;0;0;0;0
2020-10-29 21:45:00;22;10;10;64;72;18;19;6;15;0;0;1;0;0;0
2020-10-29 22:00:00;29;12;8;130;140;35;39;0;27;0;0;0;1;0;0
2020-10-29 22:15:00;21;3;11;28;32;15;14;2;12;0;0;0;0;0;0
2020-10-29 22:30:00;11;4;5;10;12;4;4;2;23;0;0;0;0;0;0
2020-10-29 22:45:00;8;2;2;6;6;3;3;1;13;0;0;0;0;0;0
2020-10-29 23:00:00;19;8;8;1;1;2;2;0;8;0;0;0;0;0;0
2020-10-29 23:15:00;11;3;3;2;2;2;2;1;8;0;0;0;0;0;0
2020-10-29 23:30:00;3;1;1;5;5;0;1;0;6;0;0;0;0;0;0
2020-10-29 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
