DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DC1);9(DC2);10(DDRES1);11(DDRES2);12(TAFGA);13(TAFGC);14(TAFGC2);15(RES1)
2020-09-21 00:00:00;3;1;1;2;2;1;2;0;5;0;0;0;0;0;0
2020-09-21 00:15:00;5;1;3;2;2;1;1;0;3;0;0;0;0;0;0
2020-09-21 00:30:00;4;0;1;3;3;0;0;0;10;0;0;0;0;0;0
2020-09-21 00:45:00;2;0;2;1;1;0;0;0;5;0;0;0;0;0;0
2020-09-21 01:00:00;3;1;3;2;1;0;0;0;7;0;0;0;0;0;0
2020-09-21 01:15:00;1;1;2;1;1;0;1;0;3;0;0;0;0;0;0
2020-09-21 01:30:00;0;1;2;2;2;2;2;0;1;0;0;0;0;0;0
2020-09-21 01:45:00;5;0;1;1;1;1;1;0;2;0;0;0;0;0;0
2020-09-21 02:00:00;7;1;2;1;1;0;0;0;1;0;0;0;0;0;0
2020-09-21 02:15:00;3;1;2;0;0;0;0;0;2;0;0;0;0;0;0
2020-09-21 02:30:00;7;1;5;1;1;0;0;0;5;0;0;0;0;0;0
2020-09-21 02:45:00;2;1;3;2;2;1;1;0;3;0;0;0;0;0;0
2020-09-21 03:00:00;9;1;3;2;2;1;1;0;4;0;0;0;0;0;0
2020-09-21 03:15:00;2;1;2;0;0;1;1;0;4;0;0;0;0;0;0
2020-09-21 03:30:00;3;0;2;2;2;2;1;0;4;0;0;0;0;0;0
2020-09-21 03:45:00;0;4;7;3;3;0;0;2;5;0;0;0;0;0;0
2020-09-21 04:00:00;6;2;2;1;1;0;0;0;2;0;0;0;0;0;0
2020-09-21 04:15:00;7;1;4;1;1;0;0;0;4;0;0;0;0;0;0
2020-09-21 04:30:00;8;5;10;4;3;2;3;2;4;0;0;0;0;0;0
2020-09-21 04:45:00;11;15;19;3;3;6;5;2;5;0;0;0;0;0;0
2020-09-21 05:00:00;14;40;39;2;2;0;0;5;6;0;0;0;0;0;0
2020-09-21 05:15:00;14;135;126;9;9;2;0;13;23;0;0;0;0;0;0
2020-09-21 05:30:00;21;101;105;9;8;1;1;4;64;0;0;0;0;0;0
2020-09-21 05:45:00;46;47;50;15;15;12;10;6;66;0;0;0;0;0;0
2020-09-21 06:00:00;50;38;39;19;20;2;2;0;46;0;0;0;1;0;0
2020-09-21 06:15:00;49;42;44;11;12;6;4;1;61;0;0;1;0;0;0
