DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2019-08-28 00:00:00;0;3;8;1;1;2;2;1;0;5;5
2019-08-28 00:15:00;0;2;3;1;1;3;7;3;0;7;1
2019-08-28 00:30:00;0;1;2;0;0;2;3;2;1;3;4
2019-08-28 00:45:00;1;2;7;1;2;0;3;0;0;1;1
2019-08-28 01:00:00;0;2;3;1;1;0;1;0;1;2;3
2019-08-28 01:15:00;0;4;4;0;0;0;2;2;1;4;1
2019-08-28 01:30:00;0;2;3;0;0;1;2;1;0;2;1
2019-08-28 01:45:00;1;2;0;0;1;1;2;0;1;3;2
2019-08-28 02:00:00;0;1;0;0;0;0;0;0;0;0;0
2019-08-28 02:15:00;0;1;2;0;0;1;0;1;1;1;0
2019-08-28 02:30:00;0;1;1;0;0;0;1;0;0;2;3
2019-08-28 02:45:00;0;2;2;1;1;0;0;0;0;3;1
2019-08-28 03:00:00;0;1;1;0;0;1;4;0;0;0;0
2019-08-28 03:15:00;0;2;1;0;0;0;2;0;0;3;2
2019-08-28 03:30:00;0;0;2;1;1;0;0;0;0;1;3
2019-08-28 03:45:00;0;0;1;0;0;0;1;1;0;0;1
2019-08-28 04:00:00;0;3;2;0;0;0;0;0;1;0;2
2019-08-28 04:15:00;0;0;3;1;1;0;1;0;0;1;1
2019-08-28 04:30:00;0;1;2;0;0;0;0;0;0;1;0
2019-08-28 04:45:00;2;5;4;1;3;2;1;2;0;5;5
2019-08-28 05:00:00;1;9;5;0;1;1;0;0;0;3;4
2019-08-28 05:15:00;3;21;6;0;1;1;6;2;2;6;8
2019-08-28 05:30:00;0;26;17;4;4;4;11;1;3;12;9
2019-08-28 05:45:00;0;29;17;3;3;0;11;0;3;23;11
2019-08-28 06:00:00;3;12;17;7;9;1;7;1;6;10;12
2019-08-28 06:15:00;2;22;12;4;7;4;10;2;7;14;14
2019-08-28 06:30:00;2;39;31;6;6;8;14;6;10;17;15
2019-08-28 06:45:00;1;30;32;9;11;9;16;6;13;25;25
2019-08-28 07:00:00;3;36;28;11;13;8;19;6;11;16;20
2019-08-28 07:15:00;2;37;40;14;16;8;34;10;19;21;10
2019-08-28 07:30:00;2;40;36;13;13;7;29;19;19;23;20
2019-08-28 07:45:00;9;42;43;12;17;21;27;13;18;22;27
2019-08-28 08:00:00;3;38;33;8;8;12;24;5;16;18;20
2019-08-28 08:15:00;6;30;34;10;19;9;32;6;20;21;18
2019-08-28 08:30:00;5;33;38;11;11;11;23;9;22;21;14
2019-08-28 08:45:00;10;25;34;6;13;11;29;21;20;24;19
2019-08-28 09:00:00;1;32;23;8;7;14;22;15;12;17;20
2019-08-28 09:15:00;2;32;35;9;12;13;26;14;17;21;21
2019-08-28 09:30:00;6;29;28;10;14;9;17;8;26;29;20
2019-08-28 09:45:00;7;29;29;13;19;14;30;14;27;33;18
2019-08-28 10:00:00;3;30;24;7;8;10;24;9;24;17;13
2019-08-28 10:15:00;6;30;28;5;7;15;25;15;23;32;19
2019-08-28 10:30:00;9;34;32;10;14;11;28;17;22;30;23
2019-08-28 10:45:00;2;20;31;9;12;10;29;16;30;23;19
2019-08-28 11:00:00;2;27;27;12;12;8;24;16;22;20;26
2019-08-28 11:15:00;6;35;32;8;13;17;32;13;27;20;25
2019-08-28 11:30:00;9;26;36;8;13;21;37;20;20;25;18
2019-08-28 11:45:00;10;23;36;11;13;17;30;20;18;26;26
2019-08-28 12:00:00;1;21;23;7;11;13;34;22;21;22;16
2019-08-28 12:15:00;7;38;33;8;10;15;26;17;17;22;20
2019-08-28 12:30:00;2;21;39;5;8;22;31;12;11;17;12
2019-08-28 12:45:00;8;27;40;12;15;18;27;14;15;22;12
2019-08-28 13:00:00;7;27;22;4;9;9;21;14;15;15;13
2019-08-28 13:15:00;3;35;32;7;5;19;21;14;15;23;20
2019-08-28 13:30:00;4;43;39;9;14;17;30;16;21;27;19
2019-08-28 13:45:00;1;18;20;6;4;12;13;6;12;11;10
2019-08-28 14:00:00;8;37;28;6;13;10;22;12;16;18;17
2019-08-28 14:15:00;8;20;36;10;16;14;20;7;28;34;25
2019-08-28 14:30:00;7;34;37;9;12;8;28;17;29;25;23
2019-08-28 14:45:00;2;32;28;4;4;16;25;15;16;28;30
2019-08-28 15:00:00;6;40;35;12;16;20;21;16;22;16;21
2019-08-28 15:15:00;4;30;29;7;11;21;29;19;17;18;23
2019-08-28 15:30:00;8;25;33;7;13;8;32;25;25;37;26
2019-08-28 15:45:00;4;30;33;10;13;9;22;10;29;34;17
2019-08-28 16:00:00;8;41;34;5;11;17;35;18;18;20;26
2019-08-28 16:15:00;5;36;41;7;9;23;33;18;23;35;31
2019-08-28 16:30:00;8;38;49;11;17;14;29;22;30;27;28
2019-08-28 16:45:00;7;32;37;5;10;9;20;11;34;28;26
2019-08-28 17:00:00;13;38;42;8;17;14;31;23;20;25;28
2019-08-28 17:15:00;5;41;40;7;10;15;26;23;25;22;37
2019-08-28 17:30:00;2;31;49;7;10;13;23;11;30;35;30
2019-08-28 17:45:00;1;38;37;7;8;16;19;14;27;29;27
2019-08-28 18:00:00;8;34;28;15;21;13;26;19;20;29;20
2019-08-28 18:15:00;5;38;43;5;7;24;26;17;18;33;23
2019-08-28 18:30:00;6;35;33;6;8;14;25;13;15;21;16
2019-08-28 18:45:00;7;16;35;4;11;13;21;7;14;12;14
2019-08-28 19:00:00;1;28;27;6;8;14;21;4;18;16;20
2019-08-28 19:15:00;3;32;29;9;10;9;14;5;13;17;11
2019-08-28 19:30:00;1;21;17;7;8;11;21;7;16;22;19
2019-08-28 19:45:00;2;17;16;1;5;10;14;9;12;17;21
2019-08-28 20:00:00;5;27;23;4;5;9;18;8;14;21;17
2019-08-28 20:15:00;5;24;20;4;7;6;20;11;15;22;13
2019-08-28 20:30:00;4;17;15;7;10;8;14;11;6;13;14
2019-08-28 20:45:00;6;20;8;2;3;8;19;17;12;19;14
2019-08-28 21:00:00;10;20;25;3;6;7;19;8;9;10;13
2019-08-28 21:15:00;8;16;22;8;11;16;12;6;6;13;15
2019-08-28 21:30:00;3;12;21;3;5;9;14;10;2;5;15
2019-08-28 21:45:00;3;14;8;3;7;12;17;6;9;13;10
2019-08-28 22:00:00;0;11;14;2;2;9;13;6;3;9;14
2019-08-28 22:15:00;2;13;18;3;5;5;6;5;8;5;13
2019-08-28 22:30:00;0;9;11;1;1;5;6;2;6;7;14
2019-08-28 22:45:00;0;5;12;2;2;4;10;1;3;9;9
2019-08-28 23:00:00;1;3;10;0;2;6;8;3;1;10;3
2019-08-28 23:15:00;0;6;9;0;0;8;7;6;0;6;5
2019-08-28 23:30:00;2;5;7;0;3;5;3;1;3;1;8
2019-08-28 23:45:00;1;6;11;1;2;6;8;2;2;4;3
