DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2020-07-27 00:00:00;1;0;3;1;2;1;2;1;3;5;0
2020-07-27 00:15:00;0;0;5;0;0;6;6;2;0;1;3
2020-07-27 00:30:00;1;1;5;0;2;0;0;0;1;5;4
2020-07-27 00:45:00;0;1;3;0;0;0;1;0;0;1;0
2020-07-27 01:00:00;1;2;3;0;1;1;2;1;1;1;1
2020-07-27 01:15:00;0;0;2;0;1;1;1;0;0;2;0
2020-07-27 01:30:00;0;0;2;1;1;1;1;0;0;0;0
2020-07-27 01:45:00;0;0;1;0;0;1;3;0;0;2;1
2020-07-27 02:00:00;0;0;2;0;0;0;1;0;0;2;0
2020-07-27 02:15:00;0;0;3;0;0;0;2;0;0;1;2
2020-07-27 02:30:00;0;0;2;0;0;0;0;0;0;2;0
2020-07-27 02:45:00;0;2;1;0;0;0;2;0;0;2;0
2020-07-27 03:00:00;1;1;0;0;1;1;0;0;0;2;2
2020-07-27 03:15:00;0;0;1;0;0;1;0;0;0;0;1
2020-07-27 03:30:00;1;3;5;0;0;0;0;0;0;1;1
2020-07-27 03:45:00;0;0;1;0;0;0;0;0;0;1;0
2020-07-27 04:00:00;0;1;4;0;0;0;0;0;0;2;2
2020-07-27 04:15:00;0;1;2;1;1;0;2;0;0;1;1
2020-07-27 04:30:00;0;5;2;0;1;0;0;0;0;0;4
2020-07-27 04:45:00;0;4;5;1;1;0;1;0;0;2;4
2020-07-27 05:00:00;3;16;17;1;3;3;2;0;1;3;2
2020-07-27 05:15:00;2;34;33;0;1;1;5;0;1;2;4
2020-07-27 05:30:00;1;38;48;3;3;3;7;0;5;12;8
2020-07-27 05:45:00;0;22;32;1;2;3;6;2;9;25;12
2020-07-27 06:00:00;3;12;8;4;7;4;3;0;6;5;9
2020-07-27 06:15:00;1;22;23;5;5;9;15;7;12;19;15
2020-07-27 06:30:00;5;38;28;7;13;7;16;3;8;22;22
2020-07-27 06:45:00;0;33;28;8;8;5;19;2;10;24;24
2020-07-27 07:00:00;7;20;58;8;12;5;21;5;15;27;18
2020-07-27 07:15:00;4;18;48;14;17;6;33;11;22;29;28
2020-07-27 07:30:00;3;23;75;13;14;7;22;6;27;34;24
2020-07-27 07:45:00;6;33;59;12;13;8;25;13;29;32;17
2020-07-27 08:00:00;10;30;33;16;18;13;36;17;19;25;20
2020-07-27 08:15:00;7;30;43;6;13;11;30;8;29;29;15
2020-07-27 08:30:00;7;27;27;9;16;21;30;14;26;36;19
2020-07-27 08:45:00;11;36;42;14;17;16;33;20;30;34;19
2020-07-27 09:00:00;6;23;42;11;18;15;29;15;16;19;23
2020-07-27 09:15:00;5;12;58;13;14;17;23;20;23;24;19
2020-07-27 09:30:00;6;22;77;9;15;13;33;16;32;37;12
2020-07-27 09:45:00;9;28;51;18;24;17;35;24;31;35;17
2020-07-27 10:00:00;4;29;40;9;13;14;25;21;27;29;20
2020-07-27 10:15:00;4;27;68;13;15;20;25;23;26;26;23
2020-07-27 10:30:00;8;33;77;15;20;21;38;25;32;30;30
2020-07-27 10:45:00;5;27;81;16;24;20;35;20;33;27;20
2020-07-27 11:00:00;9;36;73;8;13;13;32;23;14;22;27
2020-07-27 11:15:00;4;31;72;11;10;12;37;28;33;27;21
2020-07-27 11:30:00;7;36;66;9;16;19;36;24;22;24;27
2020-07-27 11:45:00;9;32;67;16;22;23;37;16;28;33;19
2020-07-27 12:00:00;7;32;58;6;10;16;39;22;18;22;28
2020-07-27 12:15:00;6;39;64;11;16;17;34;29;25;28;16
