DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2020-06-22 00:00:00;8;7;1;1;1;4;0;5
2020-06-22 00:15:00;5;3;2;1;1;6;0;6
2020-06-22 00:30:00;1;2;0;4;3;0;0;5
2020-06-22 00:45:00;3;1;3;2;2;4;0;1
2020-06-22 01:00:00;3;0;0;1;4;6;0;0
2020-06-22 01:15:00;1;0;0;0;1;1;0;2
2020-06-22 01:30:00;1;2;1;3;1;2;0;1
2020-06-22 01:45:00;2;3;0;1;1;1;0;2
2020-06-22 02:00:00;0;0;0;0;1;3;0;1
2020-06-22 02:15:00;1;1;1;1;0;2;0;0
2020-06-22 02:30:00;3;0;0;5;5;0;0;1
2020-06-22 03:00:00;3;0;0;0;0;0;0;1
2020-06-22 03:15:00;3;4;0;1;3;1;0;0
2020-06-22 03:30:00;5;2;0;0;1;0;0;1
2020-06-22 03:45:00;4;3;1;1;2;1;0;0
2020-06-22 04:00:00;1;1;1;1;0;0;0;0
2020-06-22 04:15:00;2;3;3;2;1;1;0;0
2020-06-22 04:30:00;4;1;1;4;2;3;0;2
2020-06-22 05:00:00;11;9;6;6;5;11;0;8
2020-06-22 05:15:00;11;19;28;3;8;25;0;9
2020-06-22 05:30:00;20;27;30;11;7;26;0;11
2020-06-22 05:45:00;32;23;24;10;10;18;0;16
2020-06-22 06:00:00;18;11;11;16;12;15;0;17
2020-06-22 06:15:00;32;27;20;15;22;24;0;20
2020-06-22 06:30:00;32;42;34;12;16;30;0;32
2020-06-22 06:45:00;32;41;30;18;30;34;0;46
2020-06-22 07:00:00;62;46;32;15;30;44;0;53
2020-06-22 07:15:00;65;59;41;32;52;42;0;44
2020-06-22 07:30:00;100;68;39;33;55;48;0;71
2020-06-22 07:45:00;73;71;46;15;39;52;0;80
2020-06-22 08:00:00;60;51;35;22;27;53;0;62
2020-06-22 08:15:00;45;40;31;18;51;40;0;58
2020-06-22 08:30:00;59;41;32;17;31;28;0;38
2020-06-22 08:45:00;48;37;29;27;65;39;0;52
2020-06-22 09:00:00;38;37;19;14;28;25;0;48
2020-06-22 09:15:00;62;49;14;22;35;23;0;38
2020-06-22 09:30:00;32;36;14;36;29;30;0;53
2020-06-22 09:45:00;51;35;17;25;23;28;0;52
2020-06-22 10:00:00;61;33;12;23;65;25;0;41
2020-06-22 10:15:00;55;43;20;25;38;28;0;47
2020-06-22 10:30:00;70;39;7;20;33;25;0;55
2020-06-22 10:45:00;48;38;18;20;41;38;0;43
2020-06-22 11:00:00;58;33;9;19;22;36;0;45
2020-06-22 11:15:00;43;39;17;32;27;40;0;49
2020-06-22 11:30:00;53;49;16;29;28;40;0;61
2020-06-22 11:45:00;58;48;13;29;24;40;0;49
2020-06-22 12:00:00;52;42;19;23;29;32;0;56
2020-06-22 12:15:00;44;46;14;32;48;41;0;62
2020-06-22 12:30:00;46;40;27;33;36;48;0;52
2020-06-22 12:45:00;49;38;24;42;35;44;0;45
2020-06-22 13:00:00;46;45;24;25;27;44;0;59
2020-06-22 13:15:00;52;52;23;24;36;61;0;48
2020-06-22 13:45:00;50;45;26;37;49;57;0;55
2020-06-22 14:00:00;50;54;33;47;43;36;0;55
2020-06-22 14:15:00;57;54;21;56;52;34;0;53
2020-06-22 14:30:00;57;40;17;67;52;31;0;55
2020-06-22 14:45:00;64;65;17;39;44;43;0;53
2020-06-22 15:00:00;44;49;17;51;30;40;0;77
2020-06-22 15:15:00;64;48;15;60;48;45;0;58
2020-06-22 15:30:00;55;60;14;36;90;34;0;46
2020-06-22 15:45:00;58;66;19;32;35;51;0;81
2020-06-22 16:00:00;61;62;14;41;52;44;0;70
2020-06-22 16:15:00;65;62;13;52;51;43;0;82
2020-06-22 16:30:00;64;63;17;47;43;38;0;66
2020-06-22 16:45:00;75;54;18;43;44;42;0;68
2020-06-22 17:00:00;62;51;21;48;51;47;0;65
2020-06-22 17:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-22 17:30:00;46;45;21;55;45;44;0;67
2020-06-22 17:45:00;51;48;15;53;38;40;0;63
2020-06-22 18:00:00;50;37;14;58;56;34;0;51
2020-06-22 18:15:00;55;39;14;44;31;39;0;48
2020-06-22 18:30:00;43;37;12;44;30;43;0;46
2020-06-22 18:45:00;43;33;7;47;33;29;0;40
2020-06-22 19:00:00;38;26;13;24;20;29;0;36
2020-06-22 19:15:00;30;25;14;24;17;16;0;44
2020-06-22 19:30:00;33;27;5;22;20;26;0;39
2020-06-22 19:45:00;26;26;10;16;23;23;0;29
2020-06-22 20:00:00;26;24;6;21;22;25;0;33
2020-06-22 20:15:00;19;12;7;13;46;23;0;26
2020-06-22 20:30:00;29;19;9;21;56;18;0;25
2020-06-22 20:45:00;24;26;9;10;15;22;0;8
2020-06-22 21:00:00;30;18;17;9;8;22;0;24
2020-06-22 21:15:00;15;16;28;15;8;26;0;23
2020-06-22 21:30:00;24;13;12;14;13;23;0;12
2020-06-22 21:45:00;17;9;10;43;25;14;0;18
2020-06-22 22:00:00;18;14;9;51;82;22;0;17
2020-06-22 22:15:00;27;17;12;27;19;13;0;22
2020-06-22 22:30:00;12;6;6;12;11;16;0;12
2020-06-22 22:45:00;6;5;5;14;10;9;0;4
2020-06-22 23:00:00;7;5;3;8;12;12;0;13
2020-06-22 23:15:00;4;6;4;9;9;8;0;8
2020-06-22 23:30:00;9;2;3;11;4;7;0;6
2020-06-22 23:45:00;5;8;0;9;5;4;0;2
