DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2019-10-15 00:00:00;2;5;7;1;4;0;2;1;5;8;0;0;0;0
2019-10-15 00:15:00;2;2;12;0;9;5;0;1;2;4;0;0;0;0
2019-10-15 00:30:00;6;1;9;0;3;5;1;1;2;1;0;0;0;0
2019-10-15 00:45:00;6;6;11;1;3;6;1;0;2;4;0;0;0;0
2019-10-15 01:00:00;1;1;6;1;7;5;1;0;2;0;0;0;0;0
2019-10-15 01:15:00;2;3;3;1;5;4;2;1;5;1;0;0;0;0
2019-10-15 01:30:00;1;3;1;0;5;7;2;1;0;3;0;0;0;0
2019-10-15 01:45:00;1;0;4;0;8;2;0;0;2;0;0;0;0;0
2019-10-15 02:00:00;2;0;0;0;3;4;1;1;1;2;0;0;0;0
2019-10-15 02:15:00;0;1;2;0;4;3;0;0;0;4;0;0;0;0
2019-10-15 02:30:00;1;1;2;0;1;1;0;0;1;1;0;0;0;0
2019-10-15 02:45:00;0;4;2;0;3;1;0;0;1;1;0;0;0;0
2019-10-15 03:00:00;1;0;2;0;5;3;0;0;1;1;0;0;0;0
2019-10-15 03:15:00;3;2;3;0;1;3;0;0;2;2;0;0;0;0
2019-10-15 03:30:00;3;3;5;1;6;3;1;0;1;0;0;0;0;0
2019-10-15 03:45:00;3;1;1;0;5;4;1;0;0;2;0;0;0;0
2019-10-15 04:00:00;2;2;11;0;4;3;1;1;1;9;0;0;0;0
2019-10-15 04:15:00;3;4;4;0;3;9;1;3;4;3;0;0;0;0
2019-10-15 04:30:00;8;7;10;0;6;5;3;0;5;4;0;0;0;0
2019-10-15 04:45:00;17;25;10;1;8;6;4;3;7;8;0;0;0;0
2019-10-15 05:00:00;41;47;20;5;15;7;5;2;12;13;0;0;0;0
2019-10-15 05:15:00;88;97;36;18;14;16;10;1;6;12;0;0;0;0
2019-10-15 05:30:00;83;77;59;35;15;16;10;7;19;19;0;0;0;0
2019-10-15 05:45:00;94;65;53;40;19;27;19;6;40;62;0;0;0;0
2019-10-15 06:00:00;97;53;47;31;39;31;17;5;50;57;0;0;0;0
2019-10-15 06:15:00;90;63;60;48;37;46;28;13;42;61;0;0;0;0
2019-10-15 06:30:00;118;63;68;59;42;63;29;14;31;43;0;0;0;0
