DATUM;1(DA1);2(DB1);3(DC1);4(DC11);5(TAFGB);23(TAFBB);24(TAFBC)
2020-04-25 00:00:00;8;10;0;0;0;0;0
2020-04-25 00:15:00;11;9;1;1;0;0;0
2020-04-25 00:30:00;19;5;0;0;0;0;0
2020-04-25 00:45:00;12;7;0;0;0;0;0
2020-04-25 01:00:00;11;8;0;0;0;0;0
2020-04-25 01:15:00;11;8;0;0;0;0;0
2020-04-25 01:30:00;2;10;0;0;0;0;0
2020-04-25 01:45:00;8;10;0;0;0;0;0
2020-04-25 02:00:00;10;7;0;0;0;0;0
2020-04-25 02:15:00;5;11;1;1;0;0;0
2020-04-25 02:30:00;7;8;0;0;0;0;0
2020-04-25 02:45:00;7;6;0;0;0;0;0
2020-04-25 03:00:00;6;7;0;0;0;0;0
2020-04-25 03:15:00;4;4;0;0;0;0;0
2020-04-25 03:30:00;2;5;0;0;0;0;0
2020-04-25 03:45:00;4;5;0;0;0;0;0
2020-04-25 04:00:00;6;0;0;0;0;0;0
2020-04-25 04:15:00;3;5;0;0;0;0;0
2020-04-25 04:30:00;5;8;0;0;0;0;0
2020-04-25 04:45:00;6;8;0;0;0;0;0
2020-04-25 05:00:00;3;12;0;0;0;0;0
2020-04-25 05:15:00;10;17;0;0;0;0;0
2020-04-25 05:30:00;22;22;1;1;0;0;0
2020-04-25 05:45:00;23;13;0;0;0;0;0
2020-04-25 06:00:00;20;16;0;0;0;0;0
2020-04-25 06:15:00;17;20;0;0;0;0;0
2020-04-25 06:30:00;31;22;1;1;0;0;0
2020-04-25 06:45:00;38;28;1;1;0;0;0
2020-04-25 07:00:00;31;29;3;3;0;0;0
2020-04-25 07:15:00;39;35;4;4;0;0;0
2020-04-25 07:30:00;46;47;6;6;0;0;0
2020-04-25 07:45:00;71;32;2;2;0;0;0
2020-04-25 08:00:00;52;49;6;6;5;0;0
2020-04-25 08:15:00;66;50;4;4;4;0;0
2020-04-25 08:30:00;58;54;0;0;3;0;0
2020-04-25 08:45:00;77;72;5;5;0;0;0
2020-04-25 09:00:00;77;51;3;3;0;0;0
2020-04-25 09:15:00;94;61;6;6;1;0;0
2020-04-25 09:30:00;101;75;7;7;4;0;0
2020-04-25 09:45:00;100;83;7;7;9;0;0
2020-04-25 10:00:00;114;99;8;8;0;0;0
2020-04-25 10:15:00;108;88;5;5;13;0;0
2020-04-25 10:30:00;131;92;10;10;1;0;0
2020-04-25 10:45:00;111;107;5;5;5;0;0
2020-04-25 11:00:00;106;100;7;7;7;0;0
2020-04-25 11:15:00;132;93;8;8;3;0;0
2020-04-25 11:30:00;108;102;9;9;4;0;0
2020-04-25 11:45:00;118;111;10;10;11;0;0
2020-04-25 12:00:00;146;106;6;6;7;0;0
2020-04-25 12:15:00;123;118;8;8;2;0;0
2020-04-25 12:30:00;121;110;8;8;13;0;0
2020-04-25 12:45:00;118;140;5;5;9;0;0
2020-04-25 13:00:00;119;106;11;11;12;0;0
2020-04-25 13:15:00;143;94;9;9;11;0;0
2020-04-25 13:30:00;123;119;1;1;4;0;0
2020-04-25 13:45:00;138;110;8;8;0;0;0
2020-04-25 14:00:00;97;105;12;12;38;0;0
2020-04-25 14:15:00;119;99;4;4;2;0;0
2020-04-25 14:30:00;97;103;11;11;10;0;0
2020-04-25 14:45:00;106;114;2;2;5;0;0
2020-04-25 15:00:00;89;113;4;4;7;0;0
2020-04-25 15:15:00;90;110;5;5;11;0;0
2020-04-25 15:30:00;98;100;8;8;16;0;0
2020-04-25 15:45:00;97;93;6;6;12;0;0
2020-04-25 16:00:00;98;101;4;4;4;0;0
2020-04-25 16:15:00;107;93;4;4;7;0;0
2020-04-25 16:30:00;103;98;12;12;5;0;0
2020-04-25 16:45:00;89;100;8;8;15;0;0
2020-04-25 17:00:00;91;93;8;8;9;0;0
2020-04-25 17:15:00;104;94;5;5;1;0;0
2020-04-25 17:30:00;109;94;8;8;21;0;0
2020-04-25 17:45:00;99;85;11;11;5;0;0
2020-04-25 18:00:00;90;102;5;5;0;0;0
2020-04-25 18:15:00;108;88;7;7;4;0;0
2020-04-25 18:30:00;105;87;7;7;3;0;0
2020-04-25 18:45:00;93;93;4;4;0;0;0
2020-04-25 19:00:00;76;82;2;2;9;0;0
2020-04-25 19:15:00;92;91;4;4;12;0;0
2020-04-25 19:30:00;73;88;5;5;2;0;0
2020-04-25 19:45:00;54;80;4;4;4;0;0
2020-04-25 20:00:00;46;88;1;1;1;0;0
2020-04-25 20:15:00;45;59;2;2;0;0;0
2020-04-25 20:30:00;57;48;3;3;0;0;0
2020-04-25 20:45:00;52;55;1;1;0;0;0
2020-04-25 21:00:00;23;27;1;1;0;0;0
2020-04-25 21:15:00;35;37;5;5;0;0;0
2020-04-25 21:30:00;30;38;0;0;0;0;0
2020-04-25 21:45:00;45;39;2;2;0;0;0
2020-04-25 22:00:00;15;15;1;1;0;0;0
2020-04-25 22:15:00;31;25;0;0;0;0;0
2020-04-25 22:30:00;15;27;2;2;0;0;0
2020-04-25 22:45:00;22;24;0;0;0;0;0
2020-04-25 23:00:00;16;16;0;0;0;0;0
2020-04-25 23:15:00;11;17;1;1;0;0;0
2020-04-25 23:30:00;7;8;1;1;0;0;0
2020-04-25 23:45:00;24;10;0;0;1;0;0
