DATUM;1(DA1);2(DB1);3(DC1);4(DC11);5(TAFGB);23(TAFBB);24(TAFBC)
2020-01-18 00:00:00;31;28;1;1;0;0;0
2020-01-18 00:15:00;57;50;1;1;0;0;0
2020-01-18 00:30:00;43;18;0;0;0;0;0
2020-01-18 00:45:00;35;22;3;3;0;0;0
2020-01-18 01:00:00;27;13;0;0;0;0;0
2020-01-18 01:15:00;29;26;0;0;0;0;0
2020-01-18 01:30:00;26;32;0;0;0;0;0
2020-01-18 01:45:00;36;22;0;0;0;0;0
2020-01-18 02:00:00;23;14;0;0;0;0;0
2020-01-18 02:15:00;18;13;0;0;0;0;0
2020-01-18 02:30:00;11;22;0;0;0;0;0
2020-01-18 02:45:00;21;11;0;0;0;0;0
2020-01-18 03:00:00;10;8;0;0;0;0;0
2020-01-18 03:15:00;12;13;0;0;0;0;0
2020-01-18 03:30:00;11;10;0;0;0;0;0
2020-01-18 03:45:00;15;7;0;0;0;0;0
2020-01-18 04:00:00;9;12;0;0;0;0;0
2020-01-18 04:15:00;8;16;0;0;0;0;0
2020-01-18 04:30:00;9;10;0;0;0;0;0
2020-01-18 04:45:00;13;20;1;1;0;0;0
2020-01-18 05:00:00;16;23;1;1;0;0;0
2020-01-18 05:15:00;22;42;2;2;0;0;0
2020-01-18 05:30:00;30;26;1;1;0;0;0
2020-01-18 05:45:00;44;25;0;0;0;0;0
2020-01-18 06:00:00;28;30;0;0;0;0;0
2020-01-18 06:15:00;26;35;0;0;0;0;0
2020-01-18 06:30:00;21;30;2;2;0;0;0
2020-01-18 06:45:00;35;32;2;2;0;0;0
2020-01-18 07:00:00;25;32;1;1;0;0;0
2020-01-18 07:15:00;35;44;2;2;0;0;0
2020-01-18 07:30:00;49;52;6;6;0;0;0
2020-01-18 07:45:00;78;58;1;1;0;0;0
2020-01-18 08:00:00;61;68;1;1;0;0;0
2020-01-18 08:15:00;61;66;5;5;0;0;0
2020-01-18 08:30:00;99;93;4;4;0;0;0
2020-01-18 08:45:00;105;96;11;11;16;0;0
2020-01-18 09:00:00;106;95;9;9;0;0;0
2020-01-18 09:15:00;158;104;4;4;0;0;0
2020-01-18 09:30:00;150;116;8;8;6;0;0
2020-01-18 09:45:00;193;148;3;3;4;0;0
2020-01-18 10:00:00;177;125;8;8;1;0;0
2020-01-18 10:15:00;211;146;9;9;0;0;0
2020-01-18 10:30:00;222;148;10;10;0;0;0
2020-01-18 10:45:00;199;181;10;10;3;0;0
2020-01-18 11:00:00;212;190;9;9;0;0;0
2020-01-18 11:15:00;221;158;10;10;0;0;0
2020-01-18 11:30:00;268;218;7;7;0;0;0
2020-01-18 11:45:00;214;186;5;5;2;0;0
2020-01-18 12:00:00;264;192;7;7;1;0;0
2020-01-18 12:15:00;256;185;11;11;0;0;0
2020-01-18 12:30:00;220;230;12;12;4;0;0
2020-01-18 12:45:00;266;194;6;6;0;0;0
2020-01-18 13:00:00;236;195;9;9;2;0;0
2020-01-18 13:15:00;261;199;10;10;25;0;0
2020-01-18 13:30:00;256;239;11;11;9;0;0
2020-01-18 13:45:00;224;229;8;8;2;0;0
2020-01-18 14:00:00;233;229;13;13;0;0;0
2020-01-18 14:15:00;237;210;12;12;3;0;0
2020-01-18 14:30:00;237;217;11;11;2;0;0
2020-01-18 14:45:00;275;196;6;6;2;0;0
2020-01-18 15:00:00;256;186;9;9;5;0;0
2020-01-18 15:15:00;272;196;4;4;8;0;0
2020-01-18 15:30:00;228;178;12;12;0;0;0
2020-01-18 15:45:00;242;197;6;6;0;0;0
2020-01-18 16:00:00;232;217;4;4;1;0;0
2020-01-18 16:15:00;216;186;7;7;40;0;0
2020-01-18 16:30:00;234;202;15;15;3;0;0
2020-01-18 16:45:00;202;199;8;8;9;0;0
2020-01-18 17:00:00;201;185;10;10;10;0;0
2020-01-18 17:15:00;244;186;11;11;27;0;0
2020-01-18 17:30:00;239;215;12;12;0;0;0
2020-01-18 17:45:00;211;212;15;15;4;0;0
2020-01-18 18:00:00;191;198;5;5;0;0;0
2020-01-18 18:15:00;185;204;11;11;0;0;0
2020-01-18 18:30:00;170;207;4;4;0;0;0
2020-01-18 18:45:00;196;196;8;8;0;0;0
2020-01-18 19:00:00;200;225;15;15;7;0;0
2020-01-18 19:15:00;164;207;11;11;4;0;0
2020-01-18 19:30:00;167;200;8;8;6;0;0
2020-01-18 19:45:00;128;183;5;5;6;0;0
2020-01-18 20:00:00;125;194;5;5;8;0;0
2020-01-18 20:15:00;96;141;7;7;0;0;0
2020-01-18 20:30:00;102;112;7;7;0;0;0
2020-01-18 20:45:00;84;91;7;7;0;0;0
2020-01-18 21:00:00;73;81;5;5;0;0;0
2020-01-18 21:15:00;80;74;5;5;0;0;0
2020-01-18 21:30:00;72;92;5;5;0;0;0
2020-01-18 21:45:00;67;98;0;0;0;0;0
2020-01-18 22:00:00;85;111;2;2;0;0;0
2020-01-18 22:15:00;126;78;2;2;0;0;0
2020-01-18 22:30:00;96;181;4;4;0;0;0
2020-01-18 22:45:00;70;79;2;2;0;0;0
2020-01-18 23:00:00;78;80;8;8;0;0;0
2020-01-18 23:15:00;72;47;7;7;0;0;0
2020-01-18 23:30:00;71;69;3;3;0;0;0
2020-01-18 23:45:00;41;47;1;1;0;0;0
