DATUM;1(DA1);2(DB1);3(DC1);4(DC11);5(TAFGB);23(TAFBB);24(TAFBC)
2020-07-18 00:00:00;44;34;0;0;0;0;0
2020-07-18 00:15:00;54;36;2;2;0;0;0
2020-07-18 00:30:00;43;40;0;0;0;0;0
2020-07-18 00:45:00;24;20;2;2;0;0;0
2020-07-18 01:00:00;29;31;0;0;0;0;0
2020-07-18 01:15:00;36;28;3;3;0;0;0
2020-07-18 01:30:00;16;21;1;1;0;0;0
2020-07-18 01:45:00;25;26;0;0;0;0;0
2020-07-18 02:00:00;21;33;0;0;0;0;0
2020-07-18 02:15:00;16;17;0;0;0;0;0
2020-07-18 02:30:00;26;21;2;2;0;0;0
2020-07-18 02:45:00;6;12;0;0;0;0;0
2020-07-18 03:00:00;6;13;0;0;0;0;0
2020-07-18 03:15:00;3;12;0;0;0;0;0
2020-07-18 03:30:00;6;4;0;0;0;0;0
2020-07-18 03:45:00;7;7;0;0;0;0;0
2020-07-18 04:00:00;14;5;2;2;0;0;0
2020-07-18 04:15:00;2;5;0;0;0;0;0
2020-07-18 04:30:00;6;9;0;0;0;0;0
2020-07-18 04:45:00;10;9;0;0;0;0;0
2020-07-18 05:00:00;13;12;0;0;0;0;0
2020-07-18 05:15:00;14;13;0;0;0;0;0
2020-07-18 05:30:00;30;27;0;0;0;0;0
2020-07-18 05:45:00;32;30;1;1;0;0;0
2020-07-18 06:00:00;29;26;0;0;0;0;0
2020-07-18 06:15:00;23;43;1;1;0;0;0
2020-07-18 06:30:00;48;35;1;1;0;0;0
2020-07-18 06:45:00;33;42;1;1;0;0;0
2020-07-18 07:00:00;33;44;5;5;0;0;0
2020-07-18 07:15:00;52;70;0;0;4;0;0
2020-07-18 07:30:00;54;51;0;0;0;0;0
2020-07-18 07:45:00;63;65;4;4;0;0;0
2020-07-18 08:00:00;68;53;2;2;0;0;0
2020-07-18 08:15:00;65;63;8;8;0;0;0
2020-07-18 08:30:00;102;93;4;4;2;0;0
2020-07-18 08:45:00;116;92;8;8;5;0;0
2020-07-18 09:00:00;119;96;9;9;0;0;0
2020-07-18 09:15:00;112;111;10;10;0;0;0
2020-07-18 09:30:00;132;132;8;8;4;0;0
2020-07-18 09:45:00;155;143;13;13;0;0;0
2020-07-18 10:00:00;178;122;6;6;2;0;0
2020-07-18 10:15:00;181;148;7;7;2;0;0
2020-07-18 10:30:00;190;172;9;9;1;0;0
2020-07-18 10:45:00;188;166;11;11;1;0;0
2020-07-18 11:00:00;186;158;10;10;34;0;0
2020-07-18 11:15:00;202;174;9;9;16;0;0
2020-07-18 11:30:00;214;174;7;7;6;0;0
2020-07-18 11:45:00;205;172;10;10;3;0;0
2020-07-18 12:00:00;181;157;4;4;6;0;0
2020-07-18 12:15:00;159;183;8;8;4;0;0
2020-07-18 12:30:00;203;180;8;8;3;0;0
2020-07-18 12:45:00;227;173;7;7;6;0;0
2020-07-18 13:00:00;213;149;12;12;22;0;0
2020-07-18 13:15:00;214;182;7;7;5;0;0
2020-07-18 13:30:00;187;166;10;10;12;0;0
2020-07-18 13:45:00;200;178;10;10;3;0;0
2020-07-18 14:00:00;198;202;8;8;29;0;0
2020-07-18 14:15:00;198;176;13;13;36;0;0
2020-07-18 14:30:00;194;185;8;8;10;0;0
2020-07-18 14:45:00;187;173;7;7;4;0;0
2020-07-18 15:00:00;187;178;13;13;132;0;0
2020-07-18 15:15:00;192;177;10;10;61;0;0
2020-07-18 15:30:00;141;175;7;7;6;0;0
2020-07-18 15:45:00;169;189;12;12;12;0;0
2020-07-18 16:00:00;198;178;8;8;11;0;0
2020-07-18 16:15:00;188;170;8;8;14;0;0
2020-07-18 16:30:00;146;203;8;8;5;0;0
2020-07-18 16:45:00;186;182;7;7;3;0;0
2020-07-18 17:00:00;179;176;7;7;10;0;0
2020-07-18 17:15:00;175;174;11;11;24;0;0
2020-07-18 17:30:00;187;154;5;5;7;0;0
2020-07-18 17:45:00;168;158;9;9;12;0;0
2020-07-18 18:00:00;151;172;9;9;12;0;0
2020-07-18 18:15:00;135;168;10;10;19;0;0
2020-07-18 18:30:00;143;162;9;9;20;0;0
2020-07-18 18:45:00;145;161;5;5;5;0;0
2020-07-18 19:00:00;152;154;15;15;2;0;0
2020-07-18 19:15:00;120;148;12;12;9;0;0
2020-07-18 19:30:00;111;147;7;7;0;0;0
2020-07-18 19:45:00;91;132;4;4;2;0;0
2020-07-18 20:00:00;97;145;7;7;7;0;0
2020-07-18 20:15:00;80;123;8;8;1;0;0
2020-07-18 20:30:00;83;96;6;6;0;0;0
2020-07-18 20:45:00;95;103;6;6;0;0;0
2020-07-18 21:00:00;82;70;5;5;0;0;0
2020-07-18 21:15:00;75;85;2;2;0;0;0
2020-07-18 21:30:00;67;75;10;10;0;0;0
2020-07-18 21:45:00;73;79;5;5;0;0;0
2020-07-18 22:00:00;77;68;5;5;0;0;0
2020-07-18 22:15:00;79;71;4;4;0;0;0
2020-07-18 22:30:00;61;54;1;1;0;0;0
2020-07-18 22:45:00;79;53;13;13;0;0;0
2020-07-18 23:00:00;49;42;1;1;0;0;0
2020-07-18 23:15:00;67;59;2;2;0;0;0
2020-07-18 23:30:00;52;36;2;2;0;0;0
2020-07-18 23:45:00;55;34;0;0;0;0;0
