DATUM;1(DA1);2(DB1);3(DC1);4(DC11);5(TAFGB);23(TAFBB);24(TAFBC)
2020-06-14 00:00:00;42;34;2;2;0;0;0
2020-06-14 00:15:00;32;31;3;3;0;0;0
2020-06-14 00:30:00;23;22;2;2;0;0;0
2020-06-14 00:45:00;18;26;1;1;0;0;0
2020-06-14 01:00:00;36;25;0;0;0;0;0
2020-06-14 01:15:00;24;15;1;1;0;0;0
2020-06-14 01:30:00;13;16;0;0;0;0;0
2020-06-14 01:45:00;14;15;1;1;0;0;0
2020-06-14 02:00:00;15;14;0;0;0;0;0
2020-06-14 02:15:00;11;9;0;0;0;0;0
2020-06-14 02:30:00;12;7;0;0;0;0;0
2020-06-14 02:45:00;10;11;0;0;0;0;0
2020-06-14 03:00:00;7;7;1;1;0;0;0
2020-06-14 03:15:00;10;10;0;0;0;0;0
2020-06-14 03:30:00;4;7;0;0;0;0;0
2020-06-14 03:45:00;2;5;0;0;0;0;0
2020-06-14 04:00:00;5;1;0;0;0;0;0
2020-06-14 04:15:00;7;2;0;0;0;0;0
2020-06-14 04:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-14 04:45:00;3;5;1;1;0;0;0
2020-06-14 05:00:00;3;6;0;0;0;0;0
2020-06-14 05:15:00;5;7;0;0;0;0;0
2020-06-14 05:30:00;11;6;0;0;0;0;0
2020-06-14 05:45:00;21;7;2;2;0;0;0
2020-06-14 06:00:00;10;12;0;0;0;0;0
2020-06-14 06:15:00;10;8;0;0;0;0;0
2020-06-14 06:30:00;8;14;1;1;0;0;0
2020-06-14 06:45:00;14;12;0;0;0;0;0
2020-06-14 07:00:00;18;11;0;0;0;0;0
2020-06-14 07:15:00;24;18;0;0;0;0;0
2020-06-14 07:30:00;17;13;1;1;0;0;0
2020-06-14 07:45:00;20;18;1;1;0;0;0
2020-06-14 08:00:00;19;14;2;2;0;0;0
2020-06-14 08:15:00;15;17;0;0;0;0;0
2020-06-14 08:30:00;25;17;2;2;0;0;0
2020-06-14 08:45:00;46;33;1;1;1;0;0
2020-06-14 09:00:00;23;24;4;4;0;0;0
2020-06-14 09:15:00;37;36;2;2;0;0;0
2020-06-14 09:30:00;38;45;6;6;0;0;0
2020-06-14 09:45:00;66;51;6;6;0;0;0
2020-06-14 10:00:00;34;50;4;4;0;0;0
2020-06-14 10:15:00;62;55;4;4;0;0;0
2020-06-14 10:30:00;61;48;5;5;1;0;0
2020-06-14 10:45:00;75;75;6;6;0;0;0
2020-06-14 11:00:00;75;49;3;3;0;0;0
2020-06-14 11:15:00;83;95;8;8;0;0;0
2020-06-14 11:30:00;83;81;5;5;0;0;0
2020-06-14 11:45:00;72;88;10;10;0;0;0
2020-06-14 12:00:00;77;61;7;7;0;0;0
2020-06-14 12:15:00;89;76;5;5;0;0;0
2020-06-14 12:30:00;69;57;3;3;0;0;0
2020-06-14 12:45:00;88;103;2;2;0;0;0
2020-06-14 13:00:00;91;86;6;6;5;0;0
2020-06-14 13:15:00;92;84;9;9;0;0;0
2020-06-14 13:30:00;87;76;3;3;2;0;0
2020-06-14 13:45:00;132;94;6;6;0;0;0
2020-06-14 14:00:00;114;83;6;6;10;0;0
2020-06-14 14:15:00;108;113;10;10;0;0;0
2020-06-14 14:30:00;89;104;6;6;0;0;0
2020-06-14 14:45:00;116;117;3;3;0;0;0
2020-06-14 15:00:00;102;96;4;4;3;0;0
2020-06-14 15:15:00;109;119;13;13;2;0;0
2020-06-14 15:30:00;83;87;6;6;0;0;0
2020-06-14 15:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-14 16:00:00;87;88;4;4;0;0;0
2020-06-14 16:15:00;120;128;9;9;0;0;0
2020-06-14 16:30:00;85;88;7;7;0;0;0
2020-06-14 16:45:00;121;143;4;4;1;0;0
2020-06-14 17:00:00;84;88;6;6;0;0;0
2020-06-14 17:15:00;97;125;6;6;0;0;0
2020-06-14 17:30:00;95;109;4;4;0;0;0
2020-06-14 17:45:00;113;132;12;12;0;0;0
2020-06-14 18:00:00;91;109;6;6;0;0;0
2020-06-14 18:15:00;127;118;12;12;0;0;0
2020-06-14 18:30:00;96;93;7;7;0;0;0
2020-06-14 18:45:00;93;111;12;12;0;0;0
2020-06-14 19:00:00;96;74;12;12;0;0;0
2020-06-14 19:15:00;88;95;9;9;0;0;0
2020-06-14 19:30:00;80;81;8;8;0;0;0
2020-06-14 19:45:00;73;64;4;4;0;0;0
2020-06-14 20:00:00;71;76;6;6;0;0;0
2020-06-14 20:15:00;71;59;3;3;0;0;0
2020-06-14 20:30:00;62;55;7;7;0;0;0
2020-06-14 20:45:00;72;65;5;5;0;0;0
2020-06-14 21:00:00;75;46;6;6;0;0;0
2020-06-14 21:15:00;60;65;6;6;0;0;0
2020-06-14 21:30:00;43;47;1;1;0;0;0
2020-06-14 21:45:00;57;44;4;4;0;0;0
2020-06-14 22:00:00;52;30;3;3;0;0;0
2020-06-14 22:15:00;86;50;2;2;0;0;0
2020-06-14 22:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-14 22:45:00;33;32;2;2;0;0;0
2020-06-14 23:00:00;20;20;1;1;0;0;0
2020-06-14 23:15:00;23;15;0;0;0;0;0
2020-06-14 23:30:00;22;15;0;0;0;0;0
2020-06-14 23:45:00;15;13;0;0;0;0;0
