DATUM;1(DA1);2(DB1);3(DC1);4(DC11);5(TAFGB);23(TAFBB);24(TAFBC)
2020-03-21 00:00:00;14;13;0;0;0;0;0
2020-03-21 00:15:00;7;10;1;1;0;0;0
2020-03-21 00:30:00;7;4;0;0;0;0;0
2020-03-21 00:45:00;3;3;0;0;0;0;0
2020-03-21 01:00:00;8;7;0;0;0;0;0
2020-03-21 01:15:00;5;4;0;0;0;0;0
2020-03-21 01:30:00;6;6;0;0;0;0;0
2020-03-21 01:45:00;6;9;0;0;0;0;0
2020-03-21 02:00:00;2;5;0;0;0;0;0
2020-03-21 02:15:00;4;5;0;0;0;0;0
2020-03-21 02:30:00;1;7;1;1;0;0;0
2020-03-21 02:45:00;8;5;0;0;0;0;0
2020-03-21 03:00:00;2;7;0;0;0;0;0
2020-03-21 03:15:00;4;5;0;0;0;0;0
2020-03-21 03:30:00;4;5;0;0;0;0;0
2020-03-21 03:45:00;4;3;1;1;0;0;0
2020-03-21 04:00:00;6;3;0;0;0;0;0
2020-03-21 04:15:00;1;4;0;0;0;0;0
2020-03-21 04:30:00;7;5;0;0;0;0;0
2020-03-21 04:45:00;11;9;0;0;0;0;0
2020-03-21 05:00:00;8;11;0;0;0;0;0
2020-03-21 05:15:00;13;14;1;1;0;0;0
2020-03-21 05:30:00;34;16;1;1;0;0;0
2020-03-21 05:45:00;37;26;1;1;0;0;0
2020-03-21 06:00:00;22;22;0;0;0;0;0
2020-03-21 06:15:00;19;23;0;0;0;0;0
2020-03-21 06:30:00;32;30;2;2;0;0;0
2020-03-21 06:45:00;27;33;0;0;0;0;0
2020-03-21 07:00:00;27;27;0;0;0;0;0
2020-03-21 07:15:00;20;28;0;0;0;0;0
2020-03-21 07:30:00;47;33;3;3;0;0;0
2020-03-21 07:45:00;43;30;1;1;0;0;0
2020-03-21 08:00:00;39;32;2;2;3;0;0
2020-03-21 08:15:00;26;37;3;3;0;0;0
2020-03-21 08:30:00;44;34;1;1;0;0;0
2020-03-21 08:45:00;40;37;1;1;0;0;0
2020-03-21 09:00:00;41;42;7;7;0;0;0
2020-03-21 09:15:00;52;30;4;4;0;0;0
2020-03-21 09:30:00;42;38;3;3;0;0;0
2020-03-21 09:45:00;48;35;3;3;0;0;0
2020-03-21 10:00:00;60;48;1;1;8;0;0
2020-03-21 10:15:00;66;47;5;5;4;0;0
2020-03-21 10:30:00;66;66;5;5;0;0;0
2020-03-21 10:45:00;49;48;3;3;0;0;0
2020-03-21 11:00:00;60;44;2;2;0;0;0
2020-03-21 11:15:00;64;54;5;5;0;0;0
2020-03-21 11:30:00;60;55;9;9;0;0;0
2020-03-21 11:45:00;59;64;1;1;0;0;0
2020-03-21 12:00:00;65;60;5;5;1;0;0
2020-03-21 12:15:00;48;62;3;3;0;0;0
2020-03-21 12:30:00;60;49;5;5;0;0;0
2020-03-21 12:45:00;53;57;0;0;0;0;0
2020-03-21 13:00:00;54;54;2;2;0;0;0
2020-03-21 13:15:00;50;49;3;3;0;0;0
2020-03-21 13:30:00;59;48;4;4;0;0;0
2020-03-21 13:45:00;55;59;0;0;0;0;0
2020-03-21 14:00:00;45;53;4;4;0;0;0
2020-03-21 14:15:00;49;47;2;2;0;0;0
2020-03-21 14:30:00;42;52;0;0;0;0;0
2020-03-21 14:45:00;37;45;3;3;0;0;0
2020-03-21 15:00:00;43;48;1;1;0;0;0
2020-03-21 15:15:00;38;37;5;5;0;0;0
2020-03-21 15:30:00;32;32;0;0;0;0;0
2020-03-21 15:45:00;39;45;6;6;0;0;0
2020-03-21 16:00:00;40;34;4;4;2;0;0
2020-03-21 16:15:00;45;44;7;7;0;0;0
2020-03-21 16:30:00;44;43;4;4;0;0;0
2020-03-21 16:45:00;44;35;1;1;0;0;0
2020-03-21 17:00:00;41;43;0;0;0;0;0
2020-03-21 17:15:00;35;33;5;5;2;0;0
2020-03-21 17:30:00;41;35;2;2;0;0;0
2020-03-21 17:45:00;35;40;3;3;0;0;0
2020-03-21 18:00:00;36;41;3;3;4;0;0
2020-03-21 18:15:00;25;38;1;1;0;0;0
2020-03-21 18:30:00;36;30;2;2;0;0;0
2020-03-21 18:45:00;34;27;0;0;0;0;0
2020-03-21 19:00:00;23;24;3;3;0;0;0
2020-03-21 19:15:00;24;30;3;3;0;0;0
2020-03-21 19:30:00;25;27;0;0;0;0;0
2020-03-21 19:45:00;23;29;0;0;0;0;0
2020-03-21 20:00:00;30;23;2;2;0;0;0
2020-03-21 20:15:00;23;18;0;0;0;0;0
2020-03-21 20:30:00;14;20;1;1;0;0;0
2020-03-21 20:45:00;18;12;0;0;0;0;0
2020-03-21 21:00:00;14;17;1;1;0;0;0
2020-03-21 21:15:00;17;7;0;0;0;0;0
2020-03-21 21:30:00;14;17;0;0;0;0;0
2020-03-21 21:45:00;16;10;0;0;0;0;0
2020-03-21 22:00:00;12;13;0;0;0;0;0
2020-03-21 22:15:00;13;15;0;0;0;0;0
2020-03-21 22:30:00;5;9;1;1;0;0;0
2020-03-21 22:45:00;6;6;0;0;0;0;0
2020-03-21 23:00:00;5;6;0;0;0;0;0
2020-03-21 23:15:00;4;5;0;0;0;0;0
2020-03-21 23:30:00;4;4;1;1;0;0;0
2020-03-21 23:45:00;1;9;0;0;0;0;0
