DATUM;1(DA1);2(DB1);3(DC1);4(DC11);5(TAFGB);23(TAFBB);24(TAFBC)
2020-10-05 00:00:00;11;11;0;0;0;0;0
2020-10-05 00:15:00;18;7;0;0;1;0;0
2020-10-05 00:30:00;18;8;1;1;0;0;0
2020-10-05 00:45:00;14;9;0;0;0;0;0
2020-10-05 01:00:00;13;9;1;1;0;0;0
2020-10-05 01:15:00;7;10;0;0;0;0;0
2020-10-05 01:30:00;5;5;0;0;0;0;0
2020-10-05 01:45:00;4;7;0;0;0;0;0
2020-10-05 02:00:00;5;12;0;0;0;0;0
2020-10-05 02:15:00;8;9;0;0;0;0;0
2020-10-05 02:30:00;11;6;0;0;0;0;0
2020-10-05 02:45:00;4;8;0;0;0;0;0
2020-10-05 03:00:00;7;5;3;3;0;0;0
2020-10-05 03:15:00;6;3;0;0;0;0;0
2020-10-05 03:30:00;7;5;0;0;0;0;0
2020-10-05 03:45:00;8;6;0;0;0;0;0
2020-10-05 04:00:00;11;13;1;1;0;0;0
2020-10-05 04:15:00;11;12;0;0;0;0;0
2020-10-05 04:30:00;16;18;0;0;0;0;0
2020-10-05 04:45:00;16;17;1;1;0;0;0
2020-10-05 05:00:00;39;24;1;1;0;0;0
2020-10-05 05:15:00;38;36;0;0;0;0;0
2020-10-05 05:30:00;119;55;3;3;0;0;0
2020-10-05 05:45:00;105;45;1;1;0;0;0
2020-10-05 06:00:00;88;71;0;0;0;0;0
2020-10-05 06:15:00;111;105;5;5;0;0;0
2020-10-05 06:30:00;136;123;6;6;0;0;0
2020-10-05 06:45:00;202;105;9;9;2;0;0
2020-10-05 07:00:00;172;140;10;10;0;0;0
2020-10-05 07:15:00;178;215;16;16;5;0;0
2020-10-05 07:30:00;228;204;20;20;2;0;0
2020-10-05 07:45:00;265;178;14;14;16;0;0
2020-10-05 08:00:00;236;170;11;11;5;0;0
2020-10-05 08:15:00;215;149;8;8;0;0;0
2020-10-05 08:30:00;201;182;10;10;3;0;0
2020-10-05 08:45:00;182;171;7;7;2;0;0
2020-10-05 09:00:00;226;161;3;3;0;0;0
2020-10-05 09:15:00;187;142;7;7;0;0;0
2020-10-05 09:30:00;214;155;14;14;2;0;0
2020-10-05 09:45:00;212;163;5;5;0;0;0
2020-10-05 10:00:00;222;145;12;12;1;0;0
2020-10-05 10:15:00;196;172;8;8;3;0;0
2020-10-05 10:30:00;212;206;11;11;3;0;0
2020-10-05 10:45:00;272;193;7;7;4;0;0
2020-10-05 11:00:00;225;179;10;10;4;0;0
2020-10-05 11:15:00;235;207;10;10;2;0;0
2020-10-05 11:30:00;209;188;11;11;4;0;0
2020-10-05 11:45:00;207;171;9;9;2;0;0
2020-10-05 12:00:00;201;185;12;12;0;0;0
2020-10-05 12:15:00;232;188;10;10;9;0;0
2020-10-05 12:30:00;235;171;6;6;5;0;0
2020-10-05 12:45:00;199;205;16;16;5;0;0
2020-10-05 13:00:00;225;200;7;7;17;0;0
2020-10-05 13:15:00;202;175;14;14;30;0;0
2020-10-05 13:30:00;217;176;14;14;11;0;0
2020-10-05 13:45:00;199;194;8;8;4;0;0
2020-10-05 14:00:00;239;186;12;12;2;0;0
2020-10-05 14:15:00;196;187;12;12;9;0;0
2020-10-05 14:30:00;198;206;10;10;23;0;0
2020-10-05 14:45:00;208;191;12;12;10;0;0
2020-10-05 15:00:00;224;192;9;9;2;0;0
2020-10-05 15:15:00;220;179;5;5;9;0;0
2020-10-05 15:30:00;241;227;8;8;13;0;0
2020-10-05 15:45:00;245;207;7;7;3;0;0
2020-10-05 16:00:00;242;228;10;10;5;0;0
2020-10-05 16:15:00;279;246;13;13;11;0;0
2020-10-05 16:30:00;253;208;10;10;9;0;0
2020-10-05 16:45:00;235;208;10;10;2;0;0
2020-10-05 17:00:00;238;206;7;7;3;0;0
2020-10-05 17:15:00;272;207;7;7;1;0;0
2020-10-05 17:30:00;236;200;10;10;13;0;0
2020-10-05 17:45:00;233;195;8;8;19;0;0
2020-10-05 18:00:00;251;220;15;15;11;0;0
2020-10-05 18:15:00;232;209;18;18;16;0;0
2020-10-05 18:30:00;214;188;10;10;4;0;0
2020-10-05 18:45:00;203;210;8;8;0;0;0
2020-10-05 19:00:00;165;163;16;16;4;0;0
2020-10-05 19:15:00;161;184;10;10;1;0;0
2020-10-05 19:30:00;104;148;6;6;1;0;0
2020-10-05 19:45:00;108;139;7;7;3;0;0
2020-10-05 20:00:00;109;188;12;12;2;0;0
2020-10-05 20:15:00;109;120;5;5;0;0;0
2020-10-05 20:30:00;83;77;7;7;4;0;0
2020-10-05 20:45:00;82;65;8;8;0;0;0
2020-10-05 21:00:00;74;65;2;2;0;0;0
2020-10-05 21:15:00;98;64;5;5;0;0;0
2020-10-05 21:30:00;65;54;1;1;0;0;0
2020-10-05 21:45:00;61;55;12;12;0;0;0
2020-10-05 22:00:00;51;76;4;4;0;0;0
2020-10-05 22:15:00;66;53;3;3;3;0;0
2020-10-05 22:30:00;37;40;2;2;0;0;0
2020-10-05 22:45:00;42;34;0;0;0;0;0
2020-10-05 23:00:00;29;32;1;1;0;0;0
2020-10-05 23:15:00;36;26;0;0;0;0;0
2020-10-05 23:30:00;15;16;0;0;0;0;0
2020-10-05 23:45:00;22;13;1;1;0;0;0
