DATUM;1(DA1);2(DB1);3(DC1);4(DC11);5(TAFGB);23(TAFBB);24(TAFBC)
2020-09-06 00:00:00;43;32;2;2;0;0;0
2020-09-06 00:15:00;65;30;1;1;0;0;0
2020-09-06 00:30:00;56;46;2;2;0;0;0
2020-09-06 00:45:00;40;30;2;2;0;0;0
2020-09-06 01:00:00;41;18;0;0;0;0;0
2020-09-06 01:15:00;28;27;1;1;0;0;0
2020-09-06 01:30:00;26;19;1;1;0;0;0
2020-09-06 01:45:00;30;22;0;0;0;0;0
2020-09-06 02:00:00;20;21;0;0;0;0;0
2020-09-06 02:15:00;25;17;0;0;1;0;0
2020-09-06 02:30:00;13;16;0;0;0;0;0
2020-09-06 02:45:00;19;16;1;1;0;0;0
2020-09-06 03:00:00;17;12;0;0;0;0;0
2020-09-06 03:15:00;14;10;1;1;0;0;0
2020-09-06 03:30:00;14;7;0;0;0;0;0
2020-09-06 03:45:00;8;10;0;0;0;0;0
2020-09-06 04:00:00;14;8;0;0;0;0;0
2020-09-06 04:15:00;17;15;0;0;0;0;0
2020-09-06 04:30:00;8;5;1;1;0;0;0
2020-09-06 04:45:00;18;9;1;1;0;0;0
2020-09-06 05:00:00;8;6;1;1;0;0;0
2020-09-06 05:15:00;9;10;0;0;0;0;0
2020-09-06 05:30:00;9;22;1;1;0;0;0
2020-09-06 05:45:00;27;11;0;0;0;0;0
2020-09-06 06:00:00;13;13;0;0;0;0;0
2020-09-06 06:15:00;23;17;0;0;0;0;0
2020-09-06 06:30:00;15;23;3;3;0;0;0
2020-09-06 06:45:00;30;13;1;1;0;0;0
2020-09-06 07:00:00;14;13;0;0;0;0;0
2020-09-06 07:15:00;17;23;2;2;0;0;0
2020-09-06 07:30:00;23;20;3;3;0;0;0
2020-09-06 07:45:00;36;32;1;1;0;0;0
2020-09-06 08:00:00;36;16;0;0;0;0;0
2020-09-06 08:15:00;42;32;1;1;0;0;0
2020-09-06 08:30:00;56;43;2;2;0;0;0
2020-09-06 08:45:00;42;60;4;4;0;0;0
2020-09-06 09:00:00;49;42;6;6;0;0;0
2020-09-06 09:15:00;79;72;2;2;0;0;0
2020-09-06 09:30:00;70;65;5;5;1;0;0
2020-09-06 09:45:00;74;90;7;7;0;0;0
2020-09-06 10:00:00;67;69;3;3;0;0;0
2020-09-06 10:15:00;86;80;4;4;0;0;0
2020-09-06 10:30:00;106;74;6;6;0;0;0
2020-09-06 10:45:00;108;104;7;7;0;0;0
2020-09-06 11:00:00;94;95;8;8;3;0;0
2020-09-06 11:15:00;114;106;8;8;6;0;0
2020-09-06 11:30:00;95;93;9;9;4;0;0
2020-09-06 11:45:00;108;111;11;11;8;0;0
2020-09-06 12:00:00;98;85;5;5;0;0;0
2020-09-06 12:15:00;138;99;4;4;0;0;0
2020-09-06 12:30:00;110;88;8;8;0;0;0
2020-09-06 12:45:00;101;115;6;6;10;0;0
2020-09-06 13:00:00;87;77;10;10;0;0;0
2020-09-06 13:15:00;128;109;8;8;4;0;0
2020-09-06 13:30:00;110;98;13;13;4;0;0
2020-09-06 13:45:00;146;107;7;7;0;0;0
2020-09-06 14:00:00;101;94;7;7;0;0;0
2020-09-06 14:15:00;134;137;8;8;3;0;0
2020-09-06 14:30:00;105;105;7;7;1;0;0
2020-09-06 14:45:00;147;133;6;6;0;0;0
2020-09-06 15:00:00;127;108;11;11;0;0;0
2020-09-06 15:15:00;153;127;9;9;0;0;0
2020-09-06 15:30:00;114;112;10;10;11;0;0
2020-09-06 15:45:00;126;120;5;5;0;0;0
2020-09-06 16:00:00;131;111;6;6;0;0;0
2020-09-06 16:15:00;137;118;9;9;2;0;0
2020-09-06 16:30:00;105;121;8;8;0;0;0
2020-09-06 16:45:00;132;135;14;14;1;0;0
2020-09-06 17:00:00;111;122;11;11;4;0;0
2020-09-06 17:15:00;133;131;9;9;1;0;0
2020-09-06 17:30:00;135;129;7;7;0;0;0
2020-09-06 17:45:00;140;143;7;7;2;0;0
2020-09-06 18:00:00;114;111;7;7;0;0;0
2020-09-06 18:15:00;143;154;7;7;0;0;0
2020-09-06 18:30:00;122;135;9;9;0;0;0
2020-09-06 18:45:00;125;123;4;4;0;0;0
2020-09-06 19:00:00;133;99;4;4;0;0;0
2020-09-06 19:15:00;118;138;7;7;0;0;0
2020-09-06 19:30:00;106;113;9;9;0;0;0
2020-09-06 19:45:00;140;91;11;11;4;0;0
2020-09-06 20:00:00;113;96;9;9;0;0;0
2020-09-06 20:15:00;105;90;5;5;0;0;0
2020-09-06 20:30:00;86;72;4;4;0;0;0
2020-09-06 20:45:00;63;65;6;6;0;0;0
2020-09-06 21:00:00;64;66;4;4;0;0;0
2020-09-06 21:15:00;78;52;1;1;0;0;0
2020-09-06 21:30:00;42;49;3;3;0;0;0
2020-09-06 21:45:00;51;50;3;3;0;0;0
2020-09-06 22:00:00;43;44;1;1;0;0;0
2020-09-06 22:15:00;47;47;0;0;0;0;0
2020-09-06 22:30:00;39;61;0;0;0;0;0
2020-09-06 22:45:00;47;37;0;0;0;0;0
2020-09-06 23:00:00;28;27;3;3;0;0;0
2020-09-06 23:15:00;33;23;3;3;0;0;0
2020-09-06 23:30:00;17;15;1;1;0;0;0
2020-09-06 23:45:00;26;21;0;0;0;0;0
