DATUM;1(DA1);2(DB1);3(DC1);4(DC11);5(TAFGB);23(TAFBB);24(TAFBC)
2020-09-08 00:00:00;9;16;0;0;0;0;0
2020-09-08 00:15:00;12;6;0;0;0;0;0
2020-09-08 00:30:00;13;9;0;0;0;0;0
2020-09-08 00:45:00;5;3;0;0;0;0;0
2020-09-08 01:00:00;7;8;0;0;0;0;0
2020-09-08 01:15:00;8;4;1;1;0;0;0
2020-09-08 01:30:00;8;10;0;0;0;0;0
2020-09-08 01:45:00;6;8;0;0;0;0;0
2020-09-08 02:00:00;5;8;0;0;0;0;0
2020-09-08 02:15:00;3;5;1;1;0;0;0
2020-09-08 02:30:00;4;5;0;0;0;0;0
2020-09-08 02:45:00;3;8;0;0;0;0;0
2020-09-08 03:00:00;6;8;0;0;0;0;0
2020-09-08 03:15:00;9;7;0;0;0;0;0
2020-09-08 03:30:00;1;1;0;0;0;0;0
2020-09-08 03:45:00;7;5;1;1;0;0;0
2020-09-08 04:00:00;9;7;1;1;0;0;0
2020-09-08 04:15:00;9;12;0;0;0;0;0
2020-09-08 04:30:00;11;17;1;1;0;0;0
2020-09-08 04:45:00;10;16;1;1;0;0;0
2020-09-08 05:00:00;29;29;0;0;0;0;0
2020-09-08 05:15:00;45;27;2;2;0;0;0
2020-09-08 05:30:00;87;57;3;3;0;0;0
2020-09-08 05:45:00;87;64;1;1;0;0;0
2020-09-08 06:00:00;88;73;3;3;0;0;0
2020-09-08 06:15:00;89;103;3;3;0;0;0
2020-09-08 06:30:00;134;118;1;1;0;0;0
2020-09-08 06:45:00;195;131;5;5;1;0;0
2020-09-08 07:00:00;154;176;11;11;1;0;0
2020-09-08 07:15:00;205;236;13;13;1;0;0
2020-09-08 07:30:00;180;246;23;23;26;0;0
2020-09-08 07:45:00;238;179;13;13;0;0;0
2020-09-08 08:00:00;228;151;14;14;6;0;0
2020-09-08 08:15:00;195;170;3;3;10;0;0
2020-09-08 08:30:00;175;152;6;6;1;0;0
2020-09-08 08:45:00;200;171;12;12;4;0;0
2020-09-08 09:00:00;195;135;7;7;8;0;0
2020-09-08 09:15:00;170;153;8;8;14;0;0
2020-09-08 09:30:00;203;170;10;10;0;0;0
2020-09-08 09:45:00;195;142;14;14;5;0;0
2020-09-08 10:00:00;173;157;9;9;1;0;0
2020-09-08 10:15:00;168;176;4;4;5;0;0
2020-09-08 10:30:00;178;162;9;9;3;0;0
2020-09-08 10:45:00;188;194;10;10;2;0;0
2020-09-08 11:00:00;196;185;11;11;3;0;0
2020-09-08 11:15:00;204;163;10;10;2;0;0
2020-09-08 11:30:00;222;176;8;8;16;0;0
2020-09-08 11:45:00;206;178;3;3;6;0;0
2020-09-08 12:00:00;168;160;14;14;4;0;0
2020-09-08 12:15:00;183;189;14;14;2;0;0
2020-09-08 12:30:00;179;187;10;10;16;0;0
2020-09-08 12:45:00;191;181;8;8;7;0;0
2020-09-08 13:00:00;215;149;6;6;8;0;0
2020-09-08 13:15:00;245;168;4;4;32;0;0
2020-09-08 13:30:00;194;170;9;9;0;0;0
2020-09-08 13:45:00;193;169;8;8;4;0;0
2020-09-08 14:00:00;186;179;11;11;6;0;0
2020-09-08 14:15:00;183;193;14;14;9;0;0
2020-09-08 14:30:00;209;203;5;5;1;0;0
2020-09-08 14:45:00;206;228;4;4;27;0;0
2020-09-08 15:00:00;186;173;8;8;13;0;0
2020-09-08 15:15:00;218;200;9;9;53;0;0
2020-09-08 15:30:00;178;216;4;4;57;0;0
2020-09-08 15:45:00;256;251;6;6;8;0;0
2020-09-08 16:00:00;239;223;9;9;13;0;0
2020-09-08 16:15:00;234;216;12;12;7;0;0
2020-09-08 16:30:00;253;216;9;9;20;0;0
2020-09-08 16:45:00;254;232;12;12;7;0;0
2020-09-08 17:00:00;257;216;15;15;8;0;0
2020-09-08 17:15:00;244;220;12;12;5;0;0
2020-09-08 17:30:00;191;176;10;10;9;0;0
2020-09-08 17:45:00;209;187;11;11;12;0;0
2020-09-08 18:00:00;243;186;11;11;5;0;0
2020-09-08 18:15:00;190;197;8;8;13;0;0
2020-09-08 18:30:00;208;172;11;11;2;0;0
2020-09-08 18:45:00;183;182;5;5;6;0;0
2020-09-08 19:00:00;156;161;8;8;2;0;0
2020-09-08 19:15:00;139;175;5;5;0;0;0
2020-09-08 19:30:00;149;135;7;7;12;0;0
2020-09-08 19:45:00;133;144;6;6;10;0;0
2020-09-08 20:00:00;115;170;7;7;4;0;0
2020-09-08 20:15:00;100;109;5;5;0;0;0
2020-09-08 20:30:00;104;91;5;5;0;0;0
2020-09-08 20:45:00;100;89;3;3;0;0;0
2020-09-08 21:00:00;92;74;5;5;0;0;0
2020-09-08 21:15:00;89;82;7;7;0;0;0
2020-09-08 21:30:00;78;72;3;3;0;0;0
2020-09-08 21:45:00;61;80;3;3;0;0;0
2020-09-08 22:00:00;56;78;1;1;0;0;0
2020-09-08 22:15:00;79;62;1;1;0;0;0
2020-09-08 22:30:00;48;46;1;1;0;0;0
2020-09-08 22:45:00;39;50;1;1;0;0;0
2020-09-08 23:00:00;41;25;1;1;0;0;0
2020-09-08 23:15:00;24;28;1;1;0;0;0
2020-09-08 23:30:00;19;17;0;0;0;0;0
