DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2020-05-26 00:00:00;10;12;4;4;1;5;8
2020-05-26 00:15:00;6;23;8;4;0;6;9
2020-05-26 00:30:00;5;19;6;0;0;2;5
2020-05-26 00:45:00;6;8;1;0;0;2;9
2020-05-26 01:00:00;7;16;2;1;0;5;9
2020-05-26 01:15:00;5;8;1;1;1;6;13
2020-05-26 01:30:00;3;9;0;0;0;7;4
2020-05-26 01:45:00;1;7;0;0;0;3;3
2020-05-26 02:00:00;0;1;0;1;1;6;4
2020-05-26 02:15:00;4;7;2;1;0;5;5
2020-05-26 02:30:00;1;6;0;2;1;3;4
2020-05-26 02:45:00;5;8;1;109;1;2;5
2020-05-26 03:00:00;3;6;2;243;0;4;8
2020-05-26 03:15:00;1;4;0;0;1;4;3
2020-05-26 03:30:00;1;9;2;0;1;4;4
2020-05-26 03:45:00;1;5;2;39;1;7;3
2020-05-26 04:00:00;1;8;0;7;1;6;9
2020-05-26 04:15:00;7;12;3;0;1;7;8
2020-05-26 04:30:00;5;17;4;0;3;8;10
2020-05-26 04:45:00;21;30;5;15;2;10;12
2020-05-26 05:00:00;31;50;4;91;2;16;25
2020-05-26 05:15:00;64;84;6;7;5;21;25
2020-05-26 05:30:00;80;113;26;4;12;26;39
2020-05-26 05:45:00;69;102;26;14;25;50;56
2020-05-26 06:00:00;56;97;15;27;12;40;62
2020-05-26 06:15:00;76;121;27;34;20;60;78
2020-05-26 06:30:00;124;213;41;50;29;61;85
2020-05-26 06:45:00;107;207;59;49;35;55;67
2020-05-26 07:00:00;91;166;46;75;40;54;76
2020-05-26 07:15:00;114;204;71;68;38;100;106
2020-05-26 07:30:00;147;220;82;97;42;98;121
2020-05-26 07:45:00;129;225;81;70;40;98;114
2020-05-26 08:00:00;89;166;46;75;28;74;88
2020-05-26 08:15:00;77;162;57;68;26;79;99
2020-05-26 08:30:00;84;168;59;64;26;79;98
2020-05-26 08:45:00;67;153;42;59;22;82;89
2020-05-26 09:00:00;90;178;61;45;24;74;88
2020-05-26 09:15:00;64;172;51;54;38;68;75
2020-05-26 09:30:00;72;186;63;47;13;89;103
2020-05-26 09:45:00;80;170;46;61;25;76;86
2020-05-26 10:00:00;66;171;58;56;23;94;97
2020-05-26 10:15:00;68;199;46;57;29;92;96
2020-05-26 10:30:00;75;195;58;76;31;97;105
2020-05-26 10:45:00;86;183;60;61;38;104;109
2020-05-26 11:00:00;78;189;60;50;16;100;105
2020-05-26 11:15:00;86;190;62;63;24;104;109
2020-05-26 11:30:00;80;164;51;71;16;113;132
2020-05-26 11:45:00;78;190;64;59;24;84;83
2020-05-26 12:00:00;82;187;60;48;17;104;99
2020-05-26 12:15:00;82;173;57;60;24;94;104
2020-05-26 12:30:00;79;200;75;54;27;116;116
2020-05-26 12:45:00;93;213;79;56;17;112;108
2020-05-26 13:00:00;96;208;62;70;27;111;127
2020-05-26 13:15:00;111;222;77;61;17;112;108
2020-05-26 13:30:00;131;210;71;53;16;96;108
2020-05-26 13:45:00;131;192;77;65;17;100;115
2020-05-26 14:00:00;113;191;58;68;33;110;122
2020-05-26 14:15:00;92;194;68;60;25;129;152
2020-05-26 14:30:00;85;167;69;58;35;123;123
2020-05-26 14:45:00;92;194;61;54;21;137;135
2020-05-26 15:00:00;80;186;66;51;20;123;125
2020-05-26 15:15:00;84;183;62;56;20;126;130
2020-05-26 15:30:00;82;192;66;69;21;142;139
2020-05-26 15:45:00;93;195;73;75;21;112;107
2020-05-26 16:00:00;77;200;86;61;21;142;136
2020-05-26 16:15:00;108;201;97;59;24;118;119
2020-05-26 16:30:00;96;197;82;68;25;147;147
2020-05-26 16:45:00;90;176;64;59;22;137;135
2020-05-26 17:00:00;104;196;84;66;30;132;140
2020-05-26 17:15:00;99;211;95;57;18;143;141
2020-05-26 17:30:00;51;115;49;38;11;86;88
2020-05-26 17:45:00;45;118;48;52;13;75;75
2020-05-26 18:00:00;92;206;81;44;19;108;114
2020-05-26 18:15:00;74;165;73;40;17;103;119
2020-05-26 18:30:00;58;167;59;32;9;90;93
2020-05-26 18:45:00;57;135;52;34;24;95;94
2020-05-26 19:00:00;73;139;43;27;10;74;75
2020-05-26 19:15:00;48;126;50;25;15;70;89
2020-05-26 19:30:00;66;133;58;24;12;53;60
2020-05-26 19:45:00;51;85;27;124;15;72;61
2020-05-26 20:00:00;47;101;33;0;10;60;71
2020-05-26 20:15:00;34;100;37;1;12;45;69
2020-05-26 20:30:00;34;86;24;0;12;48;59
2020-05-26 20:45:00;42;73;20;0;8;42;50
2020-05-26 21:00:00;55;102;29;0;11;40;46
2020-05-26 21:15:00;50;90;14;16;8;36;37
2020-05-26 21:30:00;42;82;26;8;11;26;44
2020-05-26 21:45:00;24;55;13;15;6;53;62
2020-05-26 22:00:00;22;61;17;8;8;76;78
2020-05-26 22:15:00;15;52;12;17;4;61;85
2020-05-26 22:30:00;17;53;15;10;0;28;41
2020-05-26 22:45:00;16;38;11;8;3;14;25
2020-05-26 23:00:00;10;27;3;5;3;14;21
2020-05-26 23:15:00;14;22;6;3;1;15;9
2020-05-26 23:30:00;7;21;3;3;2;13;12
