DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2020-11-16 00:00:00;4;8;3;0;1;3;4
2020-11-16 00:15:00;5;13;2;1;1;7;4
2020-11-16 00:30:00;3;15;2;1;0;3;1
2020-11-16 00:45:00;4;4;0;0;2;4;3
2020-11-16 01:00:00;0;5;0;0;1;4;1
2020-11-16 01:15:00;1;3;1;2;1;1;2
2020-11-16 01:30:00;2;6;2;3;0;4;5
2020-11-16 01:45:00;2;4;2;0;0;7;4
2020-11-16 02:00:00;0;3;1;1;1;4;5
2020-11-16 02:15:00;0;11;1;1;1;3;6
2020-11-16 02:30:00;1;2;0;3;1;3;5
2020-11-16 02:45:00;3;7;1;1;1;3;5
2020-11-16 03:00:00;2;5;1;1;0;2;4
2020-11-16 03:15:00;1;6;1;0;0;3;7
2020-11-16 03:30:00;4;5;0;1;0;4;5
2020-11-16 03:45:00;1;9;3;1;2;5;7
2020-11-16 04:00:00;4;7;0;2;1;5;4
2020-11-16 04:15:00;3;6;0;7;1;6;5
2020-11-16 04:30:00;9;23;5;9;1;5;10
2020-11-16 04:45:00;20;21;2;7;2;8;13
2020-11-16 05:00:00;46;68;2;14;3;19;27
2020-11-16 05:15:00;106;137;12;14;6;18;36
2020-11-16 05:30:00;89;146;20;19;16;37;39
2020-11-16 05:45:00;82;126;15;21;21;23;39
2020-11-16 06:00:00;48;84;14;28;15;34;48
2020-11-16 06:15:00;64;127;22;37;21;51;64
2020-11-16 06:30:00;100;183;42;62;35;53;69
2020-11-16 06:45:00;116;223;61;60;32;54;75
2020-11-16 07:00:00;97;171;40;70;45;67;69
2020-11-16 07:15:00;138;207;64;97;67;101;96
2020-11-16 07:30:00;175;173;69;98;67;148;105
2020-11-16 07:45:00;210;185;95;107;42;120;102
2020-11-16 08:00:00;129;218;74;71;33;87;81
2020-11-16 08:15:00;110;196;67;62;32;89;104
2020-11-16 08:30:00;90;193;58;76;27;87;109
2020-11-16 08:45:00;68;170;53;66;27;97;109
2020-11-16 09:00:00;57;175;41;52;22;79;85
2020-11-16 09:15:00;55;178;47;66;27;77;86
2020-11-16 09:30:00;65;188;48;56;22;90;102
2020-11-16 09:45:00;79;196;47;54;21;101;106
2020-11-16 10:00:00;55;168;50;60;20;83;94
2020-11-16 10:15:00;66;192;52;55;22;98;113
2020-11-16 10:30:00;68;192;62;37;27;96;106
2020-11-16 10:45:00;73;191;58;67;19;88;82
2020-11-16 11:00:00;62;168;56;46;21;119;101
2020-11-16 11:15:00;64;177;64;43;18;106;95
2020-11-16 11:30:00;70;172;67;58;27;102;112
2020-11-16 11:45:00;65;169;68;63;17;120;111
2020-11-16 12:00:00;73;187;62;57;13;98;114
2020-11-16 12:15:00;62;186;65;52;17;123;121
2020-11-16 12:30:00;107;190;63;65;27;105;100
2020-11-16 12:45:00;85;185;71;62;27;94;108
2020-11-16 13:00:00;102;204;69;48;20;111;120
2020-11-16 13:15:00;121;206;77;59;21;105;114
2020-11-16 13:30:00;118;200;72;66;22;126;131
2020-11-16 13:45:00;100;202;72;67;26;130;139
2020-11-16 14:00:00;76;190;68;59;32;103;110
2020-11-16 14:15:00;57;172;54;86;21;150;144
2020-11-16 14:30:00;77;179;61;75;28;138;140
2020-11-16 14:45:00;83;154;65;63;26;156;147
2020-11-16 15:00:00;81;160;69;67;28;137;134
2020-11-16 15:15:00;82;164;70;68;26;147;139
2020-11-16 15:30:00;84;191;82;82;26;119;118
2020-11-16 15:45:00;90;183;83;80;31;128;140
2020-11-16 16:00:00;107;187;99;84;23;135;121
2020-11-16 16:15:00;113;143;90;76;31;156;145
2020-11-16 16:30:00;123;166;92;81;19;123;127
2020-11-16 16:45:00;90;154;91;81;19;111;106
2020-11-16 17:00:00;78;159;87;63;26;124;119
2020-11-16 17:15:00;100;171;94;72;29;136;129
2020-11-16 17:30:00;95;171;88;52;19;132;118
2020-11-16 17:45:00;82;171;76;39;15;108;105
2020-11-16 18:00:00;81;181;72;50;9;105;105
2020-11-16 18:15:00;64;167;60;38;11;106;106
2020-11-16 18:30:00;47;135;56;35;11;82;79
2020-11-16 18:45:00;42;120;43;31;3;88;91
2020-11-16 19:00:00;33;119;47;32;8;98;74
2020-11-16 19:15:00;34;108;40;21;11;65;89
2020-11-16 19:30:00;22;80;25;20;3;56;64
2020-11-16 19:45:00;33;77;24;17;4;44;56
2020-11-16 20:00:00;24;72;23;15;6;35;31
2020-11-16 20:15:00;24;62;21;11;4;52;52
2020-11-16 20:30:00;32;82;32;11;9;32;42
2020-11-16 20:45:00;38;80;13;18;7;23;25
2020-11-16 21:00:00;50;84;16;14;4;20;22
2020-11-16 21:15:00;64;92;15;8;3;22;23
2020-11-16 21:30:00;34;66;14;3;3;19;33
2020-11-16 21:45:00;14;38;10;12;0;40;47
2020-11-16 22:00:00;10;28;7;5;3;61;81
2020-11-16 22:15:00;14;21;3;5;3;26;38
2020-11-16 22:30:00;9;28;7;4;4;17;26
2020-11-16 22:45:00;9;21;12;4;1;13;15
2020-11-16 23:00:00;3;16;5;2;4;10;9
2020-11-16 23:15:00;8;15;4;2;0;5;5
2020-11-16 23:30:00;9;14;3;4;0;7;9
2020-11-16 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
