DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2019-09-08 00:00:00;21;26;0;19;22;14;13;0;0;3;0;0;0;0
2019-09-08 00:15:00;29;50;0;20;31;13;26;0;0;0;6;0;0;0
2019-09-08 00:30:00;27;33;0;22;31;13;8;0;0;2;1;0;0;0
2019-09-08 00:45:00;25;34;0;17;27;13;8;0;0;0;2;0;0;0
2019-09-08 01:00:00;20;24;0;10;22;6;13;0;0;2;0;0;0;0
2019-09-08 01:15:00;15;23;0;16;28;5;11;0;0;1;0;0;0;0
2019-09-08 01:30:00;17;20;0;12;27;3;11;0;0;0;1;0;0;0
2019-09-08 01:45:00;15;18;0;13;18;5;6;0;0;0;0;0;0;0
2019-09-08 02:00:00;11;17;0;12;12;6;5;0;0;0;0;0;0;0
2019-09-08 02:15:00;16;10;0;12;26;10;13;0;0;0;0;0;0;0
2019-09-08 02:30:00;7;12;0;3;15;2;7;0;0;1;0;0;0;0
2019-09-08 02:45:00;14;16;0;7;15;9;8;0;0;0;0;0;0;0
2019-09-08 03:00:00;7;7;0;5;12;4;5;0;0;0;0;0;0;0
2019-09-08 03:15:00;4;5;0;4;9;4;6;0;0;0;1;0;0;0
2019-09-08 03:30:00;7;8;0;4;11;2;5;0;0;0;0;0;0;0
2019-09-08 03:45:00;3;13;0;8;6;1;7;0;0;1;0;0;0;0
2019-09-08 04:00:00;2;8;0;3;9;2;4;0;0;0;0;0;0;0
2019-09-08 04:15:00;4;6;0;1;9;6;2;0;0;0;0;0;0;0
2019-09-08 04:30:00;7;13;0;4;9;5;7;0;0;0;0;0;0;0
2019-09-08 04:45:00;8;10;1;6;9;9;5;0;0;0;0;0;0;0
2019-09-08 05:00:00;4;4;0;6;14;4;4;0;0;0;0;0;0;0
2019-09-08 05:15:00;7;11;0;6;12;7;6;0;0;0;0;0;0;0
2019-09-08 05:30:00;10;19;0;9;10;7;1;0;0;0;0;0;0;0
2019-09-08 05:45:00;9;27;0;8;15;3;1;0;0;3;0;0;0;0
2019-09-08 06:00:00;8;10;0;8;6;5;2;0;0;0;0;0;0;0
2019-09-08 06:15:00;8;8;0;7;16;4;0;0;0;0;0;0;0;0
2019-09-08 06:30:00;4;16;0;6;19;6;3;0;0;0;0;0;0;0
2019-09-08 06:45:00;8;9;0;15;20;6;1;0;0;0;0;0;0;0
2019-09-08 07:00:00;7;15;1;5;11;5;4;0;0;1;0;0;0;0
2019-09-08 07:15:00;9;16;0;9;19;4;2;0;0;1;0;0;0;0
2019-09-08 07:30:00;14;14;1;4;14;4;3;0;0;1;0;0;0;0
2019-09-08 07:45:00;18;25;0;18;25;15;7;0;0;1;0;0;1;0
2019-09-08 08:00:00;13;34;1;14;17;6;2;0;0;0;0;0;0;0
2019-09-08 08:15:00;14;32;1;15;18;7;3;0;0;0;0;0;0;0
2019-09-08 08:30:00;19;26;1;25;22;9;3;0;0;1;5;0;0;0
2019-09-08 08:45:00;26;38;3;38;37;13;8;0;0;1;0;0;0;0
2019-09-08 09:00:00;40;39;1;32;39;17;5;0;0;3;1;0;0;5
2019-09-08 09:15:00;29;54;1;38;37;25;10;0;0;4;2;0;1;0
2019-09-08 09:30:00;42;58;0;49;52;32;3;0;0;6;0;0;4;0
2019-09-08 09:45:00;37;58;0;54;64;53;4;0;0;10;3;0;8;0
2019-09-08 10:00:00;42;73;3;46;55;28;6;0;0;11;2;1;0;0
2019-09-08 10:15:00;50;72;1;41;47;30;9;0;0;4;1;5;0;0
2019-09-08 10:30:00;48;77;3;56;57;35;10;0;0;11;4;0;0;22
2019-09-08 10:45:00;69;87;5;58;72;57;16;0;0;14;2;0;5;1
2019-09-08 11:00:00;62;97;1;61;63;36;16;0;0;10;4;0;0;5
2019-09-08 11:15:00;52;94;3;61;70;34;12;0;0;9;3;0;1;1
2019-09-08 11:30:00;68;91;1;66;79;39;14;0;0;6;0;9;4;0
2019-09-08 11:45:00;87;122;2;66;93;52;19;0;0;6;1;4;0;1
2019-09-08 12:00:00;67;105;2;57;64;28;17;0;0;7;4;5;0;1
2019-09-08 12:15:00;52;94;1;73;73;31;24;0;0;12;5;5;2;0
2019-09-08 12:30:00;59;106;3;60;68;38;19;0;0;10;2;2;1;7
2019-09-08 12:45:00;61;108;1;88;103;33;22;0;0;2;1;1;0;0
2019-09-08 13:00:00;78;126;2;63;69;38;18;0;0;12;0;4;0;5
2019-09-08 13:15:00;56;111;2;61;70;33;27;0;0;7;3;4;0;2
2019-09-08 13:30:00;78;145;1;79;77;58;21;0;0;2;0;2;0;2
2019-09-08 13:45:00;79;109;0;76;84;37;22;0;0;3;5;0;6;0
2019-09-08 14:00:00;62;126;1;75;88;36;27;0;0;2;0;0;3;0
2019-09-08 14:15:00;75;116;0;79;86;50;24;0;0;5;0;0;2;0
2019-09-08 14:30:00;68;123;4;67;91;42;18;0;0;0;2;4;0;1
2019-09-08 14:45:00;92;127;3;78;90;43;27;0;0;5;2;6;0;0
2019-09-08 15:00:00;59;116;1;63;82;35;13;0;0;0;0;0;0;2
2019-09-08 15:15:00;57;102;2;80;90;44;14;0;0;11;9;0;0;1
2019-09-08 15:30:00;62;120;2;66;85;38;17;0;0;2;0;0;0;0
2019-09-08 15:45:00;62;106;1;88;96;36;18;0;0;4;0;6;0;0
2019-09-08 16:00:00;59;103;0;90;87;21;12;0;0;0;1;0;3;0
2019-09-08 16:15:00;54;106;2;87;93;25;18;0;0;0;0;0;0;0
2019-09-08 16:30:00;66;105;0;78;87;46;21;0;0;0;0;0;0;0
2019-09-08 16:45:00;60;104;1;73;96;40;14;0;0;2;1;0;0;3
2019-09-08 17:00:00;75;138;1;109;119;53;25;0;0;0;0;0;2;1
2019-09-08 17:15:00;71;117;0;86;98;51;26;0;0;2;0;2;0;0
2019-09-08 17:30:00;80;134;1;88;102;34;15;0;0;1;1;1;1;0
2019-09-08 17:45:00;71;117;0;90;91;57;16;0;0;0;1;0;0;3
2019-09-08 18:00:00;66;120;0;85;92;30;15;0;0;2;0;4;0;0
2019-09-08 18:15:00;55;117;0;70;90;30;15;0;0;0;5;0;0;4
2019-09-08 18:30:00;59;112;0;65;76;42;9;0;0;2;0;1;3;0
2019-09-08 18:45:00;67;115;0;74;93;47;13;0;0;0;0;0;2;0
2019-09-08 19:00:00;65;104;0;78;94;43;18;0;0;2;1;0;0;0
2019-09-08 19:15:00;51;115;0;71;93;23;12;0;0;2;0;1;0;0
2019-09-08 19:30:00;59;119;0;63;77;22;8;0;0;0;0;3;0;0
2019-09-08 19:45:00;61;89;0;58;65;23;21;0;0;0;2;6;0;9
2019-09-08 20:00:00;44;100;0;53;64;24;13;0;0;2;1;0;1;0
2019-09-08 20:15:00;54;83;1;46;66;16;9;0;0;1;0;0;0;0
2019-09-08 20:30:00;67;128;2;50;64;17;23;0;0;0;0;0;0;0
2019-09-08 20:45:00;51;72;1;38;66;18;14;0;0;0;0;0;0;0
2019-09-08 21:00:00;47;81;0;32;56;5;6;0;0;1;0;0;0;0
2019-09-08 21:15:00;27;51;0;26;32;16;10;0;0;1;0;0;0;1
2019-09-08 21:30:00;38;75;1;34;47;10;9;0;0;3;0;0;0;3
2019-09-08 21:45:00;23;29;0;27;39;13;9;0;0;0;0;0;0;0
2019-09-08 22:00:00;28;43;1;24;35;6;8;0;0;0;0;0;0;0
2019-09-08 22:15:00;16;37;0;24;39;14;5;0;0;1;0;0;0;0
2019-09-08 22:30:00;18;28;0;28;45;13;3;0;0;0;0;0;0;0
2019-09-08 22:45:00;14;30;0;15;26;4;4;0;0;2;0;0;1;0
2019-09-08 23:00:00;16;17;0;13;15;2;4;0;0;0;0;1;0;0
2019-09-08 23:15:00;8;22;0;18;26;6;1;0;0;1;0;0;0;0
2019-09-08 23:30:00;9;15;0;9;17;2;2;0;0;0;0;0;0;0
2019-09-08 23:45:00;7;11;0;10;11;4;4;0;0;0;0;0;0;0
