DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2020-09-11 00:00:00;6;9;0;10;5;3;4;5;1;0;0;0;0;0
2020-09-11 00:15:00;12;16;0;9;12;4;3;3;2;0;0;0;0;0
2020-09-11 00:30:00;7;10;0;5;9;0;6;4;1;0;1;0;0;0
2020-09-11 00:45:00;7;10;0;7;7;1;1;0;0;0;0;0;0;0
2020-09-11 01:00:00;7;8;0;4;3;1;0;0;2;0;0;0;0;0
2020-09-11 01:15:00;5;9;0;3;12;2;2;1;1;0;0;0;0;0
2020-09-11 01:30:00;3;2;0;4;12;2;0;2;2;0;0;0;0;0
2020-09-11 01:45:00;7;5;0;4;5;1;0;1;0;0;0;0;0;0
2020-09-11 02:00:00;2;6;0;4;6;0;0;0;0;0;0;0;0;0
2020-09-11 02:15:00;1;8;0;8;6;2;0;0;0;0;0;0;0;0
2020-09-11 02:30:00;5;3;0;4;5;0;0;1;1;0;0;0;0;0
2020-09-11 02:45:00;3;3;0;4;2;1;1;0;1;0;0;0;0;0
2020-09-11 03:00:00;2;1;0;5;3;0;0;0;1;0;0;0;0;0
2020-09-11 03:15:00;2;4;0;6;7;3;0;0;0;0;0;0;0;0
2020-09-11 03:30:00;5;7;0;2;3;1;0;0;0;0;0;0;0;0
2020-09-11 03:45:00;5;6;0;4;4;0;0;0;0;0;0;0;0;0
2020-09-11 04:00:00;3;5;0;5;5;0;0;0;0;0;0;0;0;0
2020-09-11 04:15:00;11;7;0;6;15;1;0;0;0;0;0;0;0;0
2020-09-11 04:30:00;7;10;0;5;16;2;2;2;1;1;0;0;0;0
2020-09-11 04:45:00;27;26;0;14;17;1;0;0;1;0;0;0;0;0
2020-09-11 05:00:00;50;57;0;13;36;3;0;2;0;0;0;0;0;0
2020-09-11 05:15:00;104;123;0;19;32;6;2;4;0;0;0;0;0;0
2020-09-11 05:30:00;101;123;1;25;42;7;3;5;0;1;0;0;0;0
2020-09-11 05:45:00;80;102;0;56;83;17;0;3;1;5;0;0;0;0
2020-09-11 06:00:00;49;75;0;58;86;13;2;3;1;1;2;2;0;2
2020-09-11 06:15:00;82;106;1;64;97;30;0;7;2;7;0;0;2;0
2020-09-11 06:30:00;127;135;0;70;97;36;2;10;1;1;0;0;2;0
2020-09-11 06:45:00;103;153;0;81;99;30;3;18;4;15;4;0;3;0
2020-09-11 07:00:00;105;161;1;64;96;53;2;13;4;5;0;1;1;0
2020-09-11 07:15:00;149;165;0;110;107;100;12;22;10;33;1;1;15;0
2020-09-11 07:30:00;136;158;0;126;99;117;40;49;12;44;1;3;16;0
2020-09-11 07:45:00;137;182;4;85;97;77;51;44;15;44;10;15;16;0
2020-09-11 08:00:00;113;171;0;69;91;63;14;26;11;9;1;13;0;0
2020-09-11 08:15:00;106;139;3;80;88;68;10;21;9;14;3;0;1;1
2020-09-11 08:30:00;105;142;0;74;100;52;13;21;16;15;1;3;0;0
2020-09-11 08:45:00;102;124;1;72;99;55;9;31;15;19;8;22;3;0
2020-09-11 09:00:00;78;139;1;73;98;45;10;21;14;18;0;2;5;0
2020-09-11 09:15:00;91;139;1;79;106;45;9;23;6;15;3;6;1;3
2020-09-11 09:30:00;87;131;3;81;98;57;10;18;5;13;0;3;0;4
2020-09-11 09:45:00;80;146;2;96;106;67;16;25;14;10;6;0;0;4
2020-09-11 10:00:00;72;136;4;75;97;59;10;21;7;9;1;0;3;2
2020-09-11 10:15:00;86;142;3;70;106;58;17;27;7;12;11;4;83;4
2020-09-11 10:30:00;88;150;4;91;98;60;16;27;9;9;1;4;7;3
2020-09-11 10:45:00;95;157;3;102;119;68;15;21;16;6;12;1;5;7
2020-09-11 11:00:00;90;145;4;80;75;75;13;25;10;7;3;0;17;0
2020-09-11 11:15:00;94;170;1;83;117;59;22;24;9;12;6;1;3;0
2020-09-11 11:30:00;90;125;3;97;108;58;19;27;13;5;8;4;0;14
2020-09-11 11:45:00;107;154;1;111;115;78;21;38;9;7;6;2;10;7
2020-09-11 12:00:00;99;153;4;116;127;68;19;27;16;9;5;1;14;31
2020-09-11 12:15:00;110;156;1;122;134;72;17;30;7;6;17;17;6;4
