DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DA3);8(TA1);9(TA2);10(TA3);11(TAFBAC1);12(TAFBAC2);13(TAFBAC3);14(TAFBB)
2020-11-30 00:00:00;12;0;0;1;2;2;14;0;0;0;0;0;0;0
2020-11-30 00:15:00;5;2;1;2;6;7;13;0;0;0;0;0;0;0
2020-11-30 00:30:00;5;0;0;0;6;7;4;0;0;0;0;0;0;0
2020-11-30 00:45:00;4;0;2;2;0;4;12;0;0;0;0;0;0;0
2020-11-30 01:00:00;4;0;0;0;3;11;6;0;0;0;0;0;0;0
2020-11-30 01:15:00;4;0;0;0;3;10;4;0;0;0;0;0;0;0
2020-11-30 01:30:00;1;0;0;0;1;6;3;0;0;0;0;0;0;0
2020-11-30 01:45:00;1;0;0;0;4;9;2;0;0;0;0;0;0;0
2020-11-30 02:00:00;2;0;0;0;0;5;0;0;0;0;0;0;0;0
2020-11-30 02:15:00;2;0;0;1;2;6;0;0;0;0;0;0;0;0
2020-11-30 02:30:00;1;2;0;0;2;3;7;0;0;0;0;0;0;0
2020-11-30 02:45:00;3;0;0;0;2;10;6;0;0;0;0;0;0;0
2020-11-30 03:00:00;1;0;0;0;2;3;3;0;0;0;0;0;0;0
2020-11-30 03:15:00;5;0;1;1;3;5;9;0;0;0;0;0;0;0
2020-11-30 03:30:00;3;0;0;0;2;9;3;0;0;0;0;0;0;0
2020-11-30 03:45:00;5;0;0;0;3;10;8;0;0;0;0;0;0;0
2020-11-30 04:00:00;8;0;0;0;3;14;9;0;0;0;0;0;0;0
2020-11-30 04:15:00;5;1;0;0;4;14;10;0;0;0;0;0;0;0
2020-11-30 04:30:00;11;0;1;1;4;19;12;0;0;0;0;0;0;0
2020-11-30 04:45:00;24;0;3;3;8;29;20;0;0;0;0;0;0;0
2020-11-30 05:00:00;60;4;3;2;10;51;68;0;0;0;0;0;0;0
2020-11-30 05:15:00;123;10;5;6;19;56;141;0;0;0;0;0;0;0
2020-11-30 05:30:00;100;8;22;9;18;53;124;0;0;0;0;0;0;0
2020-11-30 05:45:00;92;8;17;10;17;58;103;0;0;0;0;0;0;0
2020-11-30 06:00:00;51;4;18;3;26;64;64;0;0;0;0;0;0;0
2020-11-30 06:15:00;93;11;13;4;34;88;122;0;0;0;0;0;0;0
2020-11-30 06:30:00;127;8;23;9;34;105;174;0;0;0;0;0;0;0
2020-11-30 06:45:00;141;17;27;12;34;110;173;1;0;2;0;0;0;0
2020-11-30 07:00:00;140;27;31;16;52;122;169;0;0;1;0;0;0;0
2020-11-30 07:15:00;154;32;41;18;67;115;157;2;0;0;0;0;0;0
2020-11-30 07:30:00;157;42;47;31;91;124;164;19;0;0;0;0;0;0
2020-11-30 07:45:00;156;63;42;26;97;119;138;12;0;2;0;0;0;0
2020-11-30 08:00:00;163;57;16;24;63;118;183;1;0;0;0;0;0;0
2020-11-30 08:15:00;147;30;32;29;71;122;164;3;0;0;1;1;1;0
2020-11-30 08:30:00;112;18;27;14;56;101;144;11;0;1;0;0;0;0
2020-11-30 08:45:00;112;17;25;16;71;129;155;3;0;2;0;0;0;0
2020-11-30 09:00:00;95;27;19;19;69;119;131;0;0;4;0;0;0;0
2020-11-30 09:15:00;104;20;27;25;56;119;125;1;0;2;0;0;0;0
