DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DD1);7(DE1);8(DE2);9(TAFBC);10(TAFGDE);11(TAFBDE);12(DC3);13(TARDB);14(TARDC);15(TARDD)
2019-08-22 00:00:00;19;7;1;0;0;0;17;15;0;0;0;0;0;0;0
2019-08-22 00:15:00;27;10;1;1;0;1;30;23;0;0;0;0;0;0;0
2019-08-22 00:30:00;13;12;1;1;0;1;13;9;0;0;0;1;0;0;0
2019-08-22 00:45:00;15;13;0;1;0;0;11;9;0;0;0;1;0;0;0
2019-08-22 01:00:00;18;15;1;0;0;0;18;17;0;0;0;0;0;0;0
2019-08-22 01:15:00;12;7;0;0;2;0;18;16;0;0;0;2;0;0;0
2019-08-22 01:30:00;7;3;3;1;0;0;26;21;0;0;0;0;0;0;0
2019-08-22 01:45:00;13;6;0;1;0;0;13;14;0;0;0;0;0;0;0
2019-08-22 02:00:00;3;1;0;0;0;0;12;11;0;0;0;0;0;0;0
2019-08-22 02:15:00;5;5;0;0;1;0;15;12;0;0;0;1;0;0;0
2019-08-22 02:30:00;14;4;0;0;0;1;9;10;0;0;0;0;0;0;0
2019-08-22 02:45:00;3;5;0;0;0;0;11;9;0;0;0;0;0;0;0
2019-08-22 03:00:00;9;1;2;0;0;0;9;10;0;0;0;0;0;0;0
2019-08-22 03:15:00;2;3;1;0;0;0;11;10;0;0;0;0;0;0;0
2019-08-22 03:30:00;5;5;0;0;0;0;9;7;0;0;0;0;0;0;0
2019-08-22 03:45:00;7;4;0;0;0;0;12;10;0;0;0;0;0;0;0
2019-08-22 04:00:00;14;4;1;0;0;0;28;24;0;0;0;0;0;0;0
2019-08-22 04:15:00;10;8;0;0;1;0;20;18;0;0;0;1;0;0;0
2019-08-22 04:30:00;5;5;0;0;0;0;21;17;0;0;0;0;0;0;0
2019-08-22 04:45:00;21;7;2;0;0;0;36;29;0;0;0;0;0;0;0
2019-08-22 05:00:00;33;22;1;0;1;0;46;43;0;0;0;1;0;0;0
2019-08-22 05:15:00;68;30;1;2;1;0;45;45;0;0;0;1;0;0;0
2019-08-22 05:30:00;88;64;2;1;0;2;54;71;0;0;0;0;0;0;0
