DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DD1);7(DE1);8(DE2);9(TAFBC);10(TAFGDE);11(TAFBDE);12(DC3);13(TARDB);14(TARDC);15(TARDD)
2019-11-14 00:00:00;15;9;0;0;0;0;21;18;0;0;0;0;0;0;0
2019-11-14 00:15:00;16;14;0;0;0;0;20;17;0;0;0;0;0;0;0
2019-11-14 00:30:00;15;12;0;1;0;0;8;8;0;0;0;1;0;0;0
2019-11-14 00:45:00;7;9;0;0;0;0;10;10;0;0;0;0;0;0;0
2019-11-14 01:00:00;6;3;0;0;0;0;10;9;0;0;0;0;0;0;0
2019-11-14 01:15:00;11;5;0;0;0;0;15;11;0;0;0;0;0;0;0
2019-11-14 01:30:00;7;7;0;1;1;0;11;12;0;0;0;1;0;0;0
2019-11-14 01:45:00;2;3;0;0;0;0;20;12;0;0;0;0;0;0;0
2019-11-14 02:00:00;10;6;0;0;1;0;10;8;0;0;0;1;0;0;0
2019-11-14 02:15:00;4;1;0;0;0;0;7;7;0;0;0;0;0;0;0
2019-11-14 02:30:00;6;3;1;0;0;0;11;6;0;0;0;0;0;0;0
2019-11-14 02:45:00;10;8;1;0;0;0;11;9;0;0;0;0;0;0;0
2019-11-14 03:00:00;7;4;0;0;0;0;1;1;0;0;0;0;0;0;0
2019-11-14 03:15:00;6;4;0;0;0;0;12;9;0;0;0;0;0;0;0
2019-11-14 03:30:00;7;5;0;0;0;0;9;5;0;0;0;0;0;0;0
2019-11-14 03:45:00;13;6;0;0;0;0;22;17;0;0;0;0;0;0;0
2019-11-14 04:00:00;12;5;0;0;0;0;16;11;0;0;0;0;0;0;0
2019-11-14 04:15:00;21;4;0;0;1;0;29;24;0;0;0;1;0;0;0
2019-11-14 04:30:00;18;16;0;0;1;0;21;17;0;0;0;1;0;0;0
2019-11-14 04:45:00;37;18;0;0;0;0;32;22;0;0;0;0;0;0;0
2019-11-14 05:00:00;82;41;0;0;1;0;54;54;0;0;0;1;0;0;0
2019-11-14 05:15:00;135;84;0;0;0;0;58;48;0;0;0;0;0;0;0
2019-11-14 05:30:00;148;73;0;1;1;0;69;66;0;0;0;1;0;0;0
2019-11-14 05:45:00;108;57;1;2;2;1;47;79;0;0;0;2;0;0;0
2019-11-14 06:00:00;107;65;4;0;4;2;67;126;0;0;0;4;0;0;0
2019-11-14 06:15:00;124;73;1;0;3;1;60;118;0;0;0;4;0;0;0
2019-11-14 06:30:00;159;97;2;6;2;1;59;135;0;0;0;4;0;0;0
2019-11-14 06:45:00;154;84;23;3;2;2;51;145;0;0;0;9;0;0;0
2019-11-14 07:00:00;157;121;10;2;9;5;63;165;0;0;0;10;0;0;0
2019-11-14 07:15:00;106;118;7;4;12;4;41;171;0;0;0;11;0;0;0
2019-11-14 07:30:00;116;129;14;3;18;3;47;205;0;0;0;22;0;0;0
2019-11-14 07:45:00;14;31;9;4;12;4;54;208;0;0;0;14;0;0;5
2019-11-14 08:00:00;38;41;12;14;13;3;50;188;0;0;0;15;0;0;0
2019-11-14 08:15:00;109;129;10;3;12;6;56;186;0;0;0;15;0;0;0
2019-11-14 08:30:00;124;127;6;2;7;5;53;208;0;0;0;10;0;0;0
2019-11-14 08:45:00;102;117;8;3;9;4;56;190;0;0;0;9;1;0;0
2019-11-14 09:00:00;91;105;9;2;10;3;69;157;0;0;0;9;4;0;0
2019-11-14 09:15:00;108;123;6;0;8;1;88;177;0;0;0;9;0;0;2
2019-11-14 09:30:00;92;115;13;2;9;2;100;188;0;0;0;9;0;0;0
2019-11-14 09:45:00;99;114;10;0;7;2;75;190;0;0;0;9;0;0;6
2019-11-14 10:00:00;94;117;6;1;5;3;76;181;0;0;0;7;0;0;0
2019-11-14 10:15:00;100;121;5;1;8;3;63;191;0;0;0;8;0;0;8
2019-11-14 10:30:00;103;107;8;0;5;5;88;209;0;0;0;5;1;0;0
2019-11-14 10:45:00;79;103;7;2;4;2;93;201;0;0;0;5;0;0;0
2019-11-14 11:00:00;74;84;6;2;8;3;74;180;0;0;0;9;0;0;2
2019-11-14 11:15:00;64;82;3;1;9;6;66;204;0;0;0;10;0;0;0
2019-11-14 11:30:00;89;106;4;2;5;3;63;199;0;0;0;7;0;0;1
2019-11-14 11:45:00;89;105;7;0;12;3;50;212;0;0;0;10;0;0;4
2019-11-14 12:00:00;106;106;4;0;8;3;73;198;0;0;0;8;0;0;0
