DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DD1);7(DE1);8(DE2);9(TAFBC);10(TAFGDE);11(TAFBDE);12(DC3);13(TARDB);14(TARDC);15(TARDD)
2020-04-04 00:00:00;4;3;0;1;0;0;13;12;0;0;0;0;0;0;0
2020-04-04 00:15:00;9;8;1;0;0;0;14;11;0;0;0;0;0;0;0
2020-04-04 00:30:00;3;4;0;0;0;0;13;10;0;0;0;0;0;0;0
2020-04-04 00:45:00;5;5;0;1;0;0;3;2;0;0;0;1;0;0;0
2020-04-04 01:00:00;16;5;0;0;0;1;2;2;0;0;0;0;0;0;0
2020-04-04 01:15:00;8;3;2;0;0;0;13;11;0;0;0;0;0;0;0
2020-04-04 01:30:00;1;2;0;0;1;0;6;5;0;0;0;1;0;0;0
2020-04-04 01:45:00;8;1;1;0;0;0;8;8;0;0;0;0;0;0;0
2020-04-04 02:00:00;1;1;0;0;0;0;5;4;0;0;0;0;0;0;0
2020-04-04 02:15:00;3;3;0;0;0;0;5;5;0;0;0;0;0;0;0
2020-04-04 02:30:00;0;3;0;0;0;0;4;6;0;0;0;0;0;0;0
2020-04-04 02:45:00;7;3;0;0;0;0;10;8;0;0;0;0;0;0;0
2020-04-04 03:00:00;3;2;1;0;0;0;5;4;0;0;0;0;0;0;0
2020-04-04 03:15:00;3;2;0;0;0;0;5;4;0;0;0;0;0;0;0
2020-04-04 03:30:00;2;3;1;0;0;0;8;7;0;0;0;0;0;0;0
2020-04-04 03:45:00;4;3;0;0;0;0;6;5;0;0;0;0;0;0;0
2020-04-04 04:00:00;7;6;1;0;0;0;5;5;0;0;0;0;0;0;0
2020-04-04 04:15:00;2;2;0;0;0;0;9;10;0;0;0;0;0;0;0
2020-04-04 04:30:00;7;10;0;0;0;0;7;6;0;0;0;0;0;0;0
2020-04-04 04:45:00;8;5;1;0;0;0;17;15;0;0;0;0;0;0;0
2020-04-04 05:00:00;6;2;0;0;0;0;14;10;0;0;0;0;0;0;0
2020-04-04 05:15:00;11;7;1;0;0;0;9;7;0;0;0;0;0;0;0
2020-04-04 05:30:00;33;27;0;0;0;0;24;22;0;0;0;0;0;0;0
2020-04-04 05:45:00;25;23;0;0;0;0;23;25;0;0;0;0;0;0;0
2020-04-04 06:00:00;17;15;0;0;0;0;19;21;0;0;0;1;0;0;0
2020-04-04 06:15:00;23;13;0;0;2;1;23;21;0;0;0;1;0;0;0
2020-04-04 06:30:00;20;13;1;0;1;2;42;39;0;0;0;1;0;0;0
2020-04-04 06:45:00;19;14;4;1;0;0;29;32;0;0;0;0;0;0;0
2020-04-04 07:00:00;12;17;3;0;1;0;37;42;0;0;0;1;0;0;0
2020-04-04 07:15:00;25;24;0;0;0;4;31;34;0;0;0;0;0;0;0
