DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DD1);7(DE1);8(DE2);9(TAFBC);10(TAFGDE);11(TAFBDE);12(DC3);13(TARDB);14(TARDC);15(TARDD)
2020-09-28 00:00:00;12;7;1;0;0;0;29;18;0;0;0;0;0;0;0
2020-09-28 00:15:00;26;15;0;1;0;1;20;14;0;0;0;1;0;0;0
2020-09-28 00:30:00;15;11;0;0;0;0;12;8;0;0;0;0;0;0;0
2020-09-28 00:45:00;10;6;1;0;0;0;6;5;0;0;0;0;0;0;0
2020-09-28 01:00:00;12;9;0;0;0;0;6;5;0;0;0;0;0;0;0
2020-09-28 01:15:00;2;4;1;0;0;0;13;8;0;0;0;0;0;0;0
2020-09-28 01:30:00;9;6;2;0;0;0;12;8;0;0;0;0;0;0;0
2020-09-28 01:45:00;9;2;0;0;0;0;8;7;0;0;0;0;0;0;0
2020-09-28 02:00:00;2;3;2;0;0;0;22;16;0;0;0;0;0;0;0
2020-09-28 02:15:00;3;6;3;0;0;0;19;14;0;0;0;0;0;0;0
2020-09-28 02:30:00;11;2;1;0;0;0;12;7;0;0;0;0;0;0;0
2020-09-28 02:45:00;3;5;2;0;0;0;11;6;0;0;0;0;0;0;0
2020-09-28 03:00:00;8;6;0;0;0;0;7;6;0;0;0;0;0;0;0
2020-09-28 03:15:00;3;7;1;0;0;0;16;9;0;0;0;0;0;0;0
2020-09-28 03:30:00;9;3;0;0;0;0;11;9;0;0;0;0;0;0;0
2020-09-28 03:45:00;8;4;0;0;0;0;12;8;0;0;0;0;0;0;0
2020-09-28 04:00:00;10;5;0;0;0;0;14;11;0;0;0;0;0;0;0
2020-09-28 04:15:00;9;3;0;0;1;0;18;14;0;0;0;1;0;0;0
2020-09-28 04:30:00;16;11;0;0;0;0;28;22;0;0;0;0;0;0;0
2020-09-28 04:45:00;36;22;0;0;0;0;45;39;0;0;0;0;0;0;0
2020-09-28 05:00:00;72;36;1;0;0;0;52;46;0;0;0;0;0;0;0
2020-09-28 05:15:00;120;53;1;2;0;2;65;64;0;0;0;0;0;0;0
2020-09-28 05:30:00;112;72;11;2;1;1;51;61;0;0;0;1;0;0;0
2020-09-28 05:45:00;132;73;2;0;2;0;51;66;0;0;0;2;0;0;0
2020-09-28 06:00:00;77;60;0;0;4;0;56;59;0;0;0;4;0;0;0
2020-09-28 06:15:00;91;66;5;0;1;1;68;97;0;0;0;2;0;0;0
2020-09-28 06:30:00;153;83;3;3;3;2;58;105;0;0;0;4;1;0;0
2020-09-28 06:45:00;125;109;7;5;6;5;46;108;0;0;0;11;0;0;0
2020-09-28 07:00:00;103;116;14;3;3;3;59;146;0;0;0;6;0;0;0
2020-09-28 07:15:00;105;121;14;4;5;2;34;198;0;0;0;5;0;0;0
2020-09-28 07:30:00;102;91;13;6;10;4;65;194;0;0;0;9;0;0;0
2020-09-28 07:45:00;14;16;39;2;8;7;45;213;0;0;0;12;0;0;0
2020-09-28 08:00:00;7;14;9;7;4;8;45;158;0;0;0;5;0;0;0
2020-09-28 08:15:00;81;101;5;4;6;4;46;179;0;0;0;8;1;0;0
2020-09-28 08:30:00;90;101;6;3;8;8;72;178;0;0;0;8;0;0;0
2020-09-28 08:45:00;111;116;9;4;1;0;66;161;0;0;0;7;0;0;0
2020-09-28 09:00:00;97;105;10;1;9;4;111;160;0;0;0;7;0;0;0
2020-09-28 09:15:00;88;80;10;2;8;7;111;144;0;0;0;13;0;0;1
2020-09-28 09:30:00;88;108;3;3;6;1;98;180;0;0;0;5;0;0;0
2020-09-28 09:45:00;97;120;6;1;7;2;117;189;0;0;0;7;0;0;0
2020-09-28 10:00:00;87;112;4;1;9;3;71;179;0;0;0;11;0;0;4
2020-09-28 10:15:00;71;105;11;0;7;2;98;193;0;0;0;7;0;0;0
2020-09-28 10:30:00;103;121;8;1;6;5;72;198;0;0;0;9;0;0;0
2020-09-28 10:45:00;100;117;6;1;3;4;87;221;0;0;0;2;0;0;3
2020-09-28 11:00:00;98;119;2;1;3;3;91;216;0;0;0;4;0;0;5
2020-09-28 11:15:00;101;118;6;1;7;3;83;199;0;0;0;7;0;0;0
2020-09-28 11:30:00;77;98;10;2;11;3;56;205;0;0;0;11;0;0;0
2020-09-28 11:45:00;94;106;9;3;8;3;76;208;0;0;0;9;0;1;0
2020-09-28 12:00:00;78;98;2;0;9;3;63;187;0;0;0;9;0;0;1
2020-09-28 12:15:00;82;112;6;1;6;3;71;214;0;0;0;6;0;0;1
2020-09-28 12:30:00;93;106;6;3;6;5;61;206;0;0;0;9;0;0;0
2020-09-28 12:45:00;93;101;9;1;9;5;56;191;0;0;0;9;0;0;5
2020-09-28 13:00:00;82;119;7;3;4;7;61;201;0;0;0;6;0;0;0
2020-09-28 13:15:00;108;116;11;3;5;3;42;206;0;0;0;6;0;0;0
2020-09-28 13:30:00;96;121;8;1;8;5;73;203;0;0;0;8;0;0;2
2020-09-28 13:45:00;92;113;6;3;5;5;53;208;0;0;0;4;0;8;0
2020-09-28 14:00:00;86;134;5;3;2;8;84;220;0;0;0;2;0;0;2
2020-09-28 14:15:00;88;99;6;1;8;8;48;216;0;0;0;8;0;0;4
2020-09-28 14:30:00;90;132;29;1;11;7;82;259;0;0;0;16;0;2;9
2020-09-28 14:45:00;86;121;6;2;9;2;69;232;0;0;0;11;0;0;0
2020-09-28 15:00:00;81;138;11;4;7;5;82;213;0;0;0;7;0;0;0
2020-09-28 15:15:00;84;127;6;4;9;3;63;204;0;0;0;11;0;0;0
