DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DCL1);7(TAFBA);8(TAFBB1);9(TAFBB2);10(TAFBC)
2019-12-19 00:00:00;7;10;1;9;4;2;0;0;0;0
2019-12-19 00:15:00;9;9;3;11;0;3;0;0;0;0
2019-12-19 00:30:00;5;8;3;4;0;1;0;0;0;0
2019-12-19 00:45:00;3;3;0;4;1;2;0;0;0;0
2019-12-19 01:00:00;6;3;1;5;2;0;0;0;0;0
2019-12-19 01:15:00;0;1;0;3;0;1;0;0;0;0
2019-12-19 01:30:00;5;6;2;3;0;3;0;0;0;0
2019-12-19 01:45:00;2;5;0;4;2;1;0;0;0;0
2019-12-19 02:00:00;1;0;1;0;1;1;0;0;0;0
2019-12-19 02:15:00;2;2;0;2;0;0;0;0;0;0
2019-12-19 02:30:00;0;0;0;1;0;0;0;0;0;0
2019-12-19 02:45:00;2;2;1;0;2;0;0;0;0;0
2019-12-19 03:00:00;2;3;1;0;2;2;0;0;0;0
2019-12-19 03:15:00;3;5;1;2;0;2;0;0;0;0
2019-12-19 03:30:00;0;1;0;2;0;0;0;0;0;0
2019-12-19 03:45:00;0;2;0;0;2;1;0;0;0;0
2019-12-19 04:00:00;0;0;0;0;0;0;0;0;0;0
2019-12-19 04:15:00;1;1;0;2;1;2;0;0;0;0
2019-12-19 04:30:00;2;2;0;0;2;0;0;0;0;0
2019-12-19 04:45:00;1;1;1;1;1;1;0;0;0;0
2019-12-19 05:00:00;1;2;1;2;4;3;0;0;0;0
2019-12-19 05:15:00;2;2;0;2;4;11;0;0;0;0
2019-12-19 05:30:00;13;16;5;8;5;16;0;0;0;0
2019-12-19 05:45:00;9;18;9;3;11;19;0;0;0;0
2019-12-19 06:00:00;15;17;16;11;10;22;0;0;0;0
2019-12-19 06:15:00;11;21;17;11;22;30;0;0;0;0
2019-12-19 06:30:00;16;24;24;11;21;30;0;0;0;0
2019-12-19 06:45:00;14;28;25;10;29;46;0;0;0;0
2019-12-19 07:00:00;19;32;48;13;35;77;0;0;0;0
2019-12-19 07:15:00;17;36;104;24;54;112;0;0;0;0
2019-12-19 07:30:00;31;55;110;33;56;111;0;0;0;0
2019-12-19 07:45:00;47;73;82;26;59;92;0;0;0;0
2019-12-19 08:00:00;40;66;58;26;72;112;0;0;0;0
2019-12-19 08:15:00;25;34;51;28;53;75;0;0;0;0
2019-12-19 08:30:00;27;44;41;21;38;60;0;0;0;0
2019-12-19 08:45:00;32;43;43;35;45;76;0;0;0;0
2019-12-19 09:00:00;22;33;38;40;35;47;0;0;0;0
2019-12-19 09:15:00;34;32;35;49;35;63;0;0;0;0
2019-12-19 09:30:00;38;34;66;47;30;73;0;0;0;0
2019-12-19 09:45:00;30;38;54;56;41;64;0;0;0;0
2019-12-19 10:00:00;45;41;31;48;42;56;0;0;0;0
2019-12-19 10:15:00;35;49;48;54;30;48;0;0;0;0
2019-12-19 10:30:00;40;47;46;55;34;53;0;0;0;0
2019-12-19 10:45:00;52;49;55;51;46;50;0;0;0;0
2019-12-19 11:00:00;41;42;29;53;36;46;0;0;0;0
2019-12-19 11:15:00;45;45;41;50;40;40;0;0;0;0
2019-12-19 11:30:00;60;71;52;72;40;44;0;0;0;0
2019-12-19 11:45:00;65;63;44;75;36;40;0;0;0;0
2019-12-19 12:00:00;62;70;38;66;36;46;0;0;0;0
2019-12-19 12:15:00;42;61;37;66;32;29;0;0;0;0
2019-12-19 12:30:00;83;77;41;71;33;53;0;0;0;0
2019-12-19 12:45:00;57;66;64;84;34;51;0;0;0;0
2019-12-19 13:00:00;70;89;46;56;35;56;0;0;0;0
2019-12-19 13:15:00;80;81;41;61;30;35;0;0;0;0
2019-12-19 13:30:00;64;73;56;70;27;52;0;0;0;0
2019-12-19 13:45:00;76;100;37;60;40;53;0;0;0;0
2019-12-19 14:00:00;74;85;33;54;31;56;0;0;0;0
2019-12-19 14:15:00;75;93;60;70;29;50;0;0;0;0
2019-12-19 14:30:00;82;125;43;66;27;43;0;0;0;0
2019-12-19 14:45:00;94;114;64;66;32;57;0;0;0;0
2019-12-19 15:00:00;72;83;40;52;35;289;0;0;0;0
2019-12-19 15:15:00;93;124;84;77;29;44;0;0;0;0
2019-12-19 15:30:00;77;95;58;51;30;45;0;0;0;0
2019-12-19 15:45:00;97;142;77;76;40;42;0;0;0;0
2019-12-19 16:00:00;84;117;66;64;29;52;0;0;0;0
2019-12-19 16:15:00;68;111;62;63;23;53;0;0;0;0
2019-12-19 16:30:00;82;122;83;67;37;60;0;0;0;0
2019-12-19 16:45:00;73;131;113;47;38;77;0;0;0;0
2019-12-19 17:00:00;58;103;82;66;41;53;0;0;0;0
2019-12-19 17:15:00;76;96;90;77;47;79;0;0;0;0
2019-12-19 17:30:00;74;116;50;45;37;50;0;0;0;0
2019-12-19 17:45:00;71;109;81;77;50;68;0;0;0;0
2019-12-19 18:00:00;52;102;99;94;60;69;0;0;0;0
2019-12-19 18:15:00;62;62;83;91;52;64;0;0;0;0
2019-12-19 18:30:00;54;50;64;74;61;45;0;0;0;0
2019-12-19 18:45:00;62;72;60;82;52;70;0;0;0;0
2019-12-19 19:00:00;38;53;62;87;36;49;0;0;0;0
2019-12-19 19:15:00;57;60;42;68;23;38;0;0;0;0
2019-12-19 19:30:00;69;58;33;56;24;44;0;0;0;0
2019-12-19 19:45:00;46;73;38;63;23;30;0;0;0;0
2019-12-19 20:00:00;51;58;29;63;14;27;0;0;0;0
2019-12-19 20:15:00;59;31;21;64;7;27;0;0;0;0
2019-12-19 20:30:00;44;37;19;53;10;19;0;0;0;0
2019-12-19 20:45:00;39;36;31;56;15;9;0;0;0;0
2019-12-19 21:00:00;35;32;18;45;11;28;0;0;0;0
2019-12-19 21:15:00;52;29;12;35;10;12;0;0;0;0
2019-12-19 21:30:00;41;31;12;30;11;13;0;0;0;0
2019-12-19 21:45:00;49;36;18;29;9;15;0;0;0;0
2019-12-19 22:00:00;42;29;18;77;6;12;0;0;0;0
2019-12-19 22:15:00;45;35;30;94;9;7;0;0;0;0
2019-12-19 22:30:00;39;26;10;33;2;8;0;0;0;0
2019-12-19 22:45:00;36;34;10;34;6;13;0;0;0;0
2019-12-19 23:00:00;37;30;14;26;7;5;0;0;0;0
2019-12-19 23:15:00;18;17;6;18;9;8;0;0;0;0
2019-12-19 23:30:00;28;17;9;14;8;9;0;0;0;0
2019-12-19 23:45:00;30;34;16;22;6;13;0;0;0;0
