DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DCL1);7(TAFBA);8(TAFBB1);9(TAFBB2);10(TAFBC)
2020-02-27 00:00:00;8;4;2;4;2;2;0;0;0;0
2020-02-27 00:15:00;3;5;0;0;1;2;0;0;0;0
2020-02-27 00:30:00;6;2;0;3;2;4;0;0;0;0
2020-02-27 00:45:00;5;8;1;1;0;1;0;0;0;0
2020-02-27 01:00:00;2;1;0;2;0;0;0;0;0;0
2020-02-27 01:15:00;0;1;2;1;0;1;0;0;0;0
2020-02-27 01:30:00;1;1;0;1;0;0;0;0;0;0
2020-02-27 01:45:00;1;0;0;0;0;1;0;0;0;0
2020-02-27 02:00:00;1;3;0;0;0;0;0;0;0;0
2020-02-27 02:15:00;1;1;0;1;0;0;0;0;0;0
2020-02-27 02:30:00;0;1;0;1;1;0;0;0;0;0
2020-02-27 02:45:00;0;1;1;1;0;0;0;0;0;0
2020-02-27 03:00:00;0;0;0;1;0;0;0;0;0;0
2020-02-27 03:15:00;1;1;1;1;0;0;0;0;0;0
2020-02-27 03:30:00;0;1;0;0;0;0;0;0;0;0
2020-02-27 03:45:00;1;0;1;1;2;0;0;0;0;0
2020-02-27 04:00:00;1;1;0;0;0;0;0;0;0;0
2020-02-27 04:15:00;2;3;0;2;2;2;0;0;0;0
2020-02-27 04:30:00;0;0;1;1;0;0;0;0;0;0
2020-02-27 04:45:00;0;1;0;1;3;4;0;0;0;0
2020-02-27 05:00:00;1;0;2;4;6;3;0;0;0;0
2020-02-27 05:15:00;1;7;1;4;3;1;0;0;0;0
2020-02-27 05:30:00;9;10;2;9;6;12;0;0;0;0
2020-02-27 05:45:00;9;13;9;7;13;18;0;0;0;0
2020-02-27 06:00:00;10;14;13;6;9;19;0;0;0;0
2020-02-27 06:15:00;7;21;22;7;15;23;0;0;0;0
2020-02-27 06:30:00;18;24;13;14;19;51;0;0;0;0
2020-02-27 06:45:00;14;27;37;12;22;45;0;0;0;0
2020-02-27 07:00:00;21;30;21;16;44;43;0;0;0;0
2020-02-27 07:15:00;16;28;40;13;31;44;0;0;0;0
2020-02-27 07:30:00;24;44;39;21;57;44;0;0;0;0
2020-02-27 07:45:00;24;39;44;22;37;55;0;0;0;0
2020-02-27 08:00:00;14;45;46;26;42;65;0;0;0;0
2020-02-27 08:15:00;16;31;48;29;31;44;0;0;0;0
2020-02-27 08:30:00;21;32;36;46;39;42;0;0;0;0
2020-02-27 08:45:00;21;29;27;38;45;62;0;0;0;0
2020-02-27 09:00:00;24;41;25;31;31;37;0;0;0;0
2020-02-27 09:15:00;22;24;34;36;27;42;0;0;0;0
2020-02-27 09:30:00;25;30;38;32;33;41;0;0;0;0
