DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DCL1);7(TAFBA);8(TAFBB1);9(TAFBB2);10(TAFBC)
2020-09-05 00:00:00;20;22;5;9;3;8;0;0;0;0
2020-09-05 00:15:00;23;23;3;6;7;3;0;0;0;0
2020-09-05 00:30:00;14;4;1;10;2;3;0;0;0;0
2020-09-05 00:45:00;9;11;3;7;6;2;0;0;0;0
2020-09-05 01:00:00;9;11;6;8;4;6;0;0;0;0
2020-09-05 01:15:00;8;3;1;8;0;1;0;0;0;0
2020-09-05 01:30:00;8;8;2;5;3;2;0;0;0;0
2020-09-05 01:45:00;11;7;1;9;1;2;0;0;0;0
2020-09-05 02:00:00;4;3;1;5;1;1;0;0;0;0
2020-09-05 02:15:00;3;4;2;4;4;2;0;0;0;0
2020-09-05 02:30:00;7;8;1;2;1;4;0;0;0;0
2020-09-05 02:45:00;8;7;0;2;1;3;0;0;0;0
2020-09-05 03:00:00;2;1;1;1;0;4;0;0;0;0
2020-09-05 03:15:00;4;7;1;2;1;2;0;0;0;0
2020-09-05 03:30:00;1;1;0;1;0;0;0;0;0;0
2020-09-05 03:45:00;3;2;0;2;0;0;0;0;0;0
2020-09-05 04:00:00;0;2;0;2;1;1;0;0;0;0
2020-09-05 04:15:00;8;7;0;2;2;0;0;0;0;0
2020-09-05 04:30:00;1;3;0;0;0;0;0;0;0;0
2020-09-05 04:45:00;1;0;0;1;1;1;0;0;0;0
2020-09-05 05:00:00;1;3;0;2;2;2;0;0;0;0
2020-09-05 05:15:00;2;5;2;6;3;2;0;0;0;0
2020-09-05 05:30:00;2;4;1;7;4;6;0;0;0;0
2020-09-05 05:45:00;4;7;2;5;3;5;0;0;0;0
2020-09-05 06:00:00;4;9;4;0;8;5;0;0;0;0
2020-09-05 06:15:00;5;9;6;10;1;3;0;0;0;0
2020-09-05 06:30:00;4;8;10;9;13;5;0;0;0;0
2020-09-05 06:45:00;8;11;5;8;14;7;0;0;0;0
2020-09-05 07:00:00;4;13;9;13;14;4;0;0;0;0
2020-09-05 07:15:00;9;6;14;20;11;3;0;0;0;0
2020-09-05 07:30:00;13;17;9;19;11;17;0;0;0;0
2020-09-05 07:45:00;7;18;11;25;15;13;0;0;0;0
2020-09-05 08:00:00;20;20;17;22;17;13;0;0;0;0
2020-09-05 08:15:00;8;15;15;30;19;15;0;0;0;0
2020-09-05 08:30:00;13;19;23;35;21;15;0;0;0;0
2020-09-05 08:45:00;8;16;25;45;20;20;0;0;0;0
2020-09-05 09:00:00;23;27;20;29;34;26;0;0;0;0
2020-09-05 09:15:00;26;24;36;45;34;24;0;0;0;0
2020-09-05 09:30:00;16;20;22;20;44;21;0;0;0;0
2020-09-05 09:45:00;21;35;30;38;25;24;0;0;0;0
2020-09-05 10:00:00;23;36;23;34;34;28;0;0;0;0
2020-09-05 10:15:00;12;34;29;64;37;34;0;0;0;0
2020-09-05 10:30:00;29;38;26;48;33;29;0;0;0;0
2020-09-05 10:45:00;24;34;39;60;36;29;0;0;0;0
2020-09-05 11:00:00;27;23;27;69;34;39;0;0;0;0
2020-09-05 11:15:00;19;36;31;59;47;42;0;0;0;0
2020-09-05 11:30:00;32;39;34;49;31;36;0;0;0;0
2020-09-05 11:45:00;34;26;40;56;43;27;0;0;0;0
2020-09-05 12:00:00;27;25;32;63;25;54;0;0;0;0
2020-09-05 12:15:00;24;44;34;63;38;28;0;0;0;0
2020-09-05 12:30:00;23;32;29;66;21;25;0;0;0;0
2020-09-05 12:45:00;38;27;42;51;29;28;0;0;0;0
2020-09-05 13:00:00;33;33;28;62;44;23;0;0;0;0
2020-09-05 13:15:00;26;34;21;47;19;22;0;0;0;0
2020-09-05 13:30:00;29;31;22;66;24;20;0;0;0;0
2020-09-05 13:45:00;37;44;23;47;33;31;0;0;0;0
2020-09-05 14:00:00;49;35;28;51;27;28;0;0;0;0
2020-09-05 14:15:00;44;53;34;62;25;25;0;0;0;0
2020-09-05 14:30:00;31;40;34;49;24;32;0;0;0;0
2020-09-05 14:45:00;46;35;37;48;31;37;0;0;0;0
2020-09-05 15:00:00;44;36;29;40;24;34;0;0;0;0
2020-09-05 15:15:00;23;24;22;62;25;24;0;0;0;0
2020-09-05 15:30:00;41;31;26;64;26;23;0;0;0;0
2020-09-05 15:45:00;32;42;27;48;24;28;0;0;0;0
2020-09-05 16:00:00;45;39;22;42;24;26;0;0;0;0
2020-09-05 16:15:00;33;41;31;42;28;22;0;0;0;0
2020-09-05 16:30:00;34;39;32;49;13;21;0;0;0;0
2020-09-05 16:45:00;37;42;34;54;26;31;0;0;0;0
2020-09-05 17:00:00;36;46;27;38;18;18;0;0;0;0
2020-09-05 17:15:00;22;45;30;58;24;29;0;0;0;0
2020-09-05 17:30:00;27;34;23;51;25;42;0;0;0;0
2020-09-05 17:45:00;27;30;29;44;22;44;0;0;0;0
2020-09-05 18:00:00;33;31;38;42;36;44;0;0;0;0
2020-09-05 18:15:00;36;37;37;38;18;36;0;0;0;0
2020-09-05 18:30:00;33;45;41;45;22;32;0;0;0;0
2020-09-05 18:45:00;32;32;42;28;22;37;0;0;0;0
2020-09-05 19:00:00;21;34;22;29;22;32;0;0;0;0
2020-09-05 19:15:00;30;37;21;40;19;37;0;0;0;0
2020-09-05 19:30:00;35;36;33;28;11;33;0;0;0;0
2020-09-05 19:45:00;32;31;46;29;26;37;0;0;0;0
2020-09-05 20:00:00;33;27;40;22;17;47;0;0;0;0
2020-09-05 20:15:00;32;36;29;29;13;28;0;0;0;0
2020-09-05 20:30:00;18;27;15;29;11;25;0;0;0;0
2020-09-05 20:45:00;33;39;21;25;10;27;0;0;0;0
2020-09-05 21:00:00;27;27;16;31;10;10;0;0;0;0
2020-09-05 21:15:00;15;24;17;22;18;21;0;0;0;0
2020-09-05 21:30:00;16;23;9;16;11;3;0;0;0;0
2020-09-05 21:45:00;28;16;8;24;9;15;0;0;0;0
2020-09-05 22:00:00;31;17;14;18;15;16;0;0;0;0
2020-09-05 22:15:00;17;28;16;17;11;13;0;0;0;0
2020-09-05 22:30:00;26;21;19;34;6;9;0;0;0;0
2020-09-05 22:45:00;31;23;10;10;3;12;0;0;0;0
2020-09-05 23:00:00;36;25;13;21;7;10;0;0;0;0
2020-09-05 23:15:00;33;27;11;14;7;6;0;0;0;0
2020-09-05 23:30:00;23;15;18;21;6;11;0;0;0;0
2020-09-05 23:45:00;34;23;10;17;5;7;0;0;0;0
