DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2019-09-08 00:00:00;44;16;11;32;16;20;47;21;22;0;1;1
2019-09-08 00:15:00;53;16;12;23;21;21;62;31;29;1;0;0
2019-09-08 00:30:00;59;19;12;32;18;31;50;27;28;0;1;4
2019-09-08 00:45:00;44;12;8;24;20;14;44;26;19;0;0;1
2019-09-08 01:00:00;34;16;5;25;14;19;36;21;13;0;0;1
2019-09-08 01:15:00;41;18;2;12;16;24;42;14;14;0;1;2
2019-09-08 01:30:00;49;15;6;22;15;20;55;15;20;0;0;1
2019-09-08 01:45:00;32;11;3;17;15;18;30;13;14;0;0;1
2019-09-08 02:00:00;23;6;4;15;13;17;25;12;13;0;0;1
2019-09-08 02:15:00;29;13;3;8;4;9;31;7;9;0;0;0
2019-09-08 02:30:00;23;8;3;11;6;14;22;6;11;0;0;0
2019-09-08 02:45:00;16;11;6;9;14;10;18;19;17;4;0;2
2019-09-08 03:00:00;22;9;3;5;3;5;21;5;7;3;0;0
2019-09-08 03:15:00;12;9;1;7;7;7;13;5;3;1;0;1
2019-09-08 03:30:00;14;6;3;11;9;9;14;8;10;2;0;0
2019-09-08 03:45:00;14;5;1;9;8;12;14;6;12;0;0;0
2019-09-08 04:00:00;12;7;5;4;3;6;12;7;8;1;0;0
2019-09-08 04:15:00;7;4;1;8;3;7;8;4;8;0;0;0
2019-09-08 04:30:00;11;2;3;5;6;5;10;10;11;0;0;1
2019-09-08 04:45:00;12;8;2;4;5;7;13;10;8;0;0;0
2019-09-08 05:00:00;17;8;2;13;7;7;20;5;5;0;0;1
2019-09-08 05:15:00;16;11;2;7;7;10;16;6;12;2;0;0
2019-09-08 05:30:00;12;5;1;3;13;10;12;17;18;0;0;1
2019-09-08 05:45:00;20;9;2;8;0;0;20;10;17;0;0;0
2019-09-08 06:00:00;13;8;0;4;0;0;14;10;8;0;0;0
2019-09-08 06:15:00;24;12;3;3;0;0;24;10;4;0;0;1
2019-09-08 06:30:00;22;9;1;7;0;0;22;7;17;0;0;2
2019-09-08 06:45:00;35;12;0;3;4;5;32;7;10;0;0;2
2019-09-08 07:00:00;18;6;2;3;2;5;17;7;14;0;0;3
2019-09-08 07:15:00;20;10;2;2;7;18;22;6;16;0;0;2
2019-09-08 07:30:00;27;9;4;8;6;8;29;17;12;0;0;2
2019-09-08 07:45:00;33;16;2;6;19;18;36;19;22;0;0;1
2019-09-08 08:00:00;29;10;5;6;4;7;30;20;27;0;0;1
2019-09-08 08:15:00;34;16;4;8;8;13;39;18;27;2;0;3
2019-09-08 08:30:00;50;11;6;7;17;10;49;21;30;0;0;2
2019-09-08 08:45:00;64;21;5;10;43;43;68;30;43;1;0;0
2019-09-08 09:00:00;72;15;8;10;31;40;71;34;37;1;0;3
2019-09-08 09:15:00;68;22;11;11;47;45;72;38;50;3;1;3
2019-09-08 09:30:00;91;24;14;19;50;61;98;42;64;1;0;3
2019-09-08 09:45:00;120;20;12;16;66;78;124;42;74;2;1;5
2019-09-08 10:00:00;101;34;11;21;48;75;111;47;80;2;3;4
2019-09-08 10:15:00;91;27;17;18;56;79;90;59;85;3;0;3
2019-09-08 10:30:00;117;22;19;24;53;66;116;53;77;1;0;10
2019-09-08 10:45:00;128;27;23;23;69;85;132;69;94;2;0;7
2019-09-08 11:00:00;105;28;28;29;59;78;109;67;78;2;1;6
2019-09-08 11:15:00;123;39;27;29;72;80;151;70;83;3;4;9
2019-09-08 11:30:00;151;26;17;35;67;88;154;68;92;0;0;6
2019-09-08 11:45:00;161;32;24;46;67;96;175;82;90;3;1;8
2019-09-08 12:00:00;133;23;20;29;51;93;132;67;85;3;2;4
2019-09-08 12:15:00;148;35;17;42;47;72;157;58;72;4;3;6
2019-09-08 12:30:00;153;33;21;46;48;84;157;63;73;3;3;4
2019-09-08 12:45:00;184;31;17;45;59;91;179;72;90;2;6;5
2019-09-08 13:00:00;143;26;23;35;52;110;150;78;106;2;0;7
2019-09-08 13:15:00;141;41;25;43;54;87;148;79;98;1;2;3
2019-09-08 13:30:00;164;28;31;47;72;111;171;83;104;1;1;2
2019-09-08 13:45:00;173;45;25;44;55;108;193;74;108;3;2;7
2019-09-08 14:00:00;181;30;17;52;63;95;183;66;103;0;6;4
2019-09-08 14:15:00;187;31;20;46;58;98;191;80;94;1;4;8
2019-09-08 14:30:00;170;35;30;39;56;83;178;85;112;0;3;7
2019-09-08 14:45:00;182;27;20;41;48;87;192;78;110;0;1;3
2019-09-08 15:00:00;156;23;18;47;39;93;175;79;105;0;1;2
2019-09-08 15:15:00;168;32;19;48;47;62;177;65;80;0;0;3
2019-09-08 15:30:00;157;31;13;41;47;38;173;71;90;0;1;1
2019-09-08 15:45:00;195;27;23;43;45;44;204;77;78;2;0;3
2019-09-08 16:00:00;187;28;15;40;42;65;209;63;84;0;2;3
2019-09-08 16:15:00;189;25;18;38;48;71;179;70;89;0;0;3
2019-09-08 16:30:00;175;21;19;55;24;31;168;70;83;1;2;3
2019-09-08 16:45:00;209;30;19;52;41;30;173;72;100;1;1;1
