DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2020-02-22 00:00:00;35;9;10;17;21;17;32;26;23;0;0;1
2020-02-22 00:15:00;30;11;6;14;24;19;31;21;19;1;0;0
2020-02-22 00:30:00;26;13;3;13;18;30;25;20;24;1;1;1
2020-02-22 00:45:00;28;10;7;14;12;20;31;13;18;0;0;1
2020-02-22 01:00:00;26;5;8;11;7;17;23;14;11;0;0;0
2020-02-22 01:15:00;25;12;3;7;13;14;26;11;14;0;0;0
2020-02-22 01:30:00;24;12;5;6;14;19;25;12;16;0;0;0
2020-02-22 01:45:00;22;6;2;10;12;11;23;8;10;0;0;2
2020-02-22 02:00:00;22;13;3;4;9;12;23;10;11;0;0;0
2020-02-22 02:15:00;15;11;8;9;10;8;14;11;9;0;0;0
2020-02-22 02:30:00;17;12;3;7;4;8;20;5;8;0;0;0
2020-02-22 02:45:00;11;9;2;4;10;9;15;13;7;0;0;1
2020-02-22 03:00:00;17;12;2;3;2;7;19;5;6;1;0;0
2020-02-22 03:15:00;12;5;3;4;6;10;12;13;13;2;0;3
2020-02-22 03:30:00;18;10;1;7;7;7;18;7;8;0;0;1
2020-02-22 03:45:00;13;5;2;5;9;5;14;10;9;0;0;0
2020-02-22 04:00:00;15;6;0;4;7;8;14;6;6;0;0;1
2020-02-22 04:15:00;14;6;2;1;1;6;14;2;7;0;0;0
2020-02-22 04:30:00;19;7;6;3;6;8;18;9;8;0;0;0
2020-02-22 04:45:00;19;12;2;2;5;9;22;6;8;0;0;1
2020-02-22 05:00:00;37;17;1;3;9;3;37;7;3;0;0;0
2020-02-22 05:15:00;26;16;1;3;17;18;28;18;16;0;0;1
2020-02-22 05:30:00;34;8;1;4;30;34;32;29;30;0;1;4
2020-02-22 05:45:00;73;24;1;4;24;33;71;25;32;1;0;0
2020-02-22 06:00:00;107;40;2;7;12;19;105;14;19;0;0;0
2020-02-22 06:15:00;85;28;2;3;16;20;82;15;19;0;0;1
2020-02-22 06:30:00;51;29;2;6;21;23;54;20;24;1;0;0
2020-02-22 06:45:00;54;23;6;10;17;20;59;20;21;1;0;0
2020-02-22 07:00:00;51;23;3;6;22;28;61;20;28;0;0;1
2020-02-22 07:15:00;62;21;7;4;23;30;69;30;29;1;1;1
2020-02-22 07:30:00;63;17;9;7;12;12;73;43;30;0;1;5
2020-02-22 07:45:00;80;36;8;12;27;24;93;38;48;0;0;3
2020-02-22 08:00:00;81;34;12;16;29;28;90;36;39;0;0;0
2020-02-22 08:15:00;73;24;9;12;25;25;85;41;46;0;1;0
2020-02-22 08:30:00;106;27;20;29;35;59;113;46;61;1;1;3
2020-02-22 08:45:00;110;32;23;21;65;99;130;63;103;2;0;4
2020-02-22 09:00:00;119;43;15;11;63;80;142;61;81;1;1;2
2020-02-22 09:15:00;117;37;22;23;74;117;136;80;105;1;1;4
