DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2020-04-13 00:00:00;3;3;2;2;1;1;6;1;0;0;1
2020-04-13 00:15:00;1;3;1;2;2;2;2;3;0;2;0
2020-04-13 00:30:00;4;4;2;4;2;1;1;2;0;2;0
2020-04-13 00:45:00;6;6;4;2;0;1;1;3;0;0;0
2020-04-13 01:00:00;3;3;3;2;1;1;0;1;0;0;1
2020-04-13 01:15:00;3;3;2;4;2;0;0;1;0;0;0
2020-04-13 01:30:00;3;3;2;1;0;0;0;1;0;0;0
2020-04-13 01:45:00;2;4;2;2;1;0;0;0;0;3;0
2020-04-13 02:00:00;5;5;3;3;0;0;0;4;0;3;2
2020-04-13 02:15:00;1;2;1;1;1;4;1;1;0;0;0
2020-04-13 02:30:00;1;1;2;2;0;0;0;0;0;1;0
2020-04-13 02:45:00;2;2;3;0;1;0;1;1;0;0;0
2020-04-13 03:00:00;1;2;1;1;0;0;0;0;0;0;0
2020-04-13 03:15:00;0;1;0;1;2;0;0;1;0;0;1
2020-04-13 03:30:00;1;2;2;0;0;0;0;0;0;1;0
2020-04-13 03:45:00;2;2;1;1;0;0;0;0;0;2;0
2020-04-13 04:00:00;4;5;4;2;0;0;0;0;0;0;0
2020-04-13 04:15:00;3;4;2;3;2;0;0;1;0;0;0
2020-04-13 04:30:00;4;4;2;2;0;1;0;0;0;0;0
2020-04-13 04:45:00;1;3;0;0;0;2;2;0;0;1;1
2020-04-13 05:00:00;4;4;2;1;5;1;0;1;0;0;0
2020-04-13 05:15:00;8;9;5;2;2;3;0;1;0;1;0
2020-04-13 05:30:00;8;9;3;8;2;1;0;2;0;1;3
2020-04-13 05:45:00;8;10;7;8;9;2;0;1;0;3;4
2020-04-13 06:00:00;9;10;7;4;6;2;1;3;0;1;1
2020-04-13 06:15:00;10;12;8;3;4;1;1;2;0;0;1
2020-04-13 06:30:00;8;8;5;4;2;0;0;3;0;0;1
2020-04-13 06:45:00;8;11;4;7;1;2;1;3;0;4;5
2020-04-13 07:00:00;10;10;6;6;5;4;1;1;0;0;0
2020-04-13 07:15:00;3;5;5;4;1;1;0;5;0;3;0
2020-04-13 07:30:00;6;8;6;6;9;5;1;1;0;0;3
2020-04-13 07:45:00;7;10;5;11;3;4;1;5;0;1;1
2020-04-13 08:00:00;8;9;12;5;7;1;7;3;0;4;4
2020-04-13 08:15:00;11;11;5;6;2;5;1;6;0;3;2
2020-04-13 08:30:00;16;17;7;12;6;4;0;2;0;2;2
2020-04-13 08:45:00;6;10;1;9;5;4;2;3;0;2;2
2020-04-13 09:00:00;17;24;19;14;9;4;2;1;0;1;3
2020-04-13 09:15:00;15;18;11;13;9;6;4;4;0;5;5
2020-04-13 09:30:00;21;28;20;18;12;3;0;9;0;7;6
2020-04-13 09:45:00;29;36;23;16;11;5;1;14;0;3;4
2020-04-13 10:00:00;22;30;24;21;16;5;12;11;0;6;8
2020-04-13 10:15:00;22;28;27;29;15;11;8;10;0;2;5
2020-04-13 10:30:00;26;32;26;27;19;12;6;9;0;8;12
2020-04-13 10:45:00;38;48;36;26;19;6;5;9;0;7;7
2020-04-13 11:00:00;40;58;29;32;19;35;6;17;0;10;11
2020-04-13 11:15:00;36;52;31;32;26;8;1;15;0;9;11
2020-04-13 11:30:00;35;49;29;31;28;9;13;9;0;8;9
2020-04-13 11:45:00;37;49;21;32;19;8;24;20;0;13;7
2020-04-13 12:00:00;35;46;24;31;14;11;4;25;0;13;10
2020-04-13 12:15:00;37;53;37;34;18;13;5;17;0;16;5
2020-04-13 12:30:00;46;59;36;36;33;9;13;16;0;10;10
