DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(TA);16(DB4);17(DB5)
2019-11-03 00:00:00;12;18;6;2;3;2;2;14;14;13;9;15;10;13;3;5;0
2019-11-03 00:15:00;26;19;14;2;3;3;1;18;22;12;1;15;16;8;7;5;0
2019-11-03 00:30:00;17;24;12;3;3;2;1;13;12;10;7;22;17;11;1;3;0
2019-11-03 00:45:00;22;15;7;1;2;1;3;11;11;12;6;11;15;7;3;3;0
2019-11-03 01:00:00;15;21;14;2;4;1;0;7;12;8;2;15;18;8;3;3;0
2019-11-03 01:15:00;14;22;7;0;3;0;1;15;14;12;4;11;15;5;12;2;0
2019-11-03 01:30:00;15;14;4;0;1;2;0;10;11;8;4;10;14;5;1;2;0
2019-11-03 01:45:00;11;17;7;2;2;2;1;13;8;7;4;16;21;8;5;3;0
2019-11-03 02:00:00;14;13;11;1;3;5;1;9;15;6;1;10;13;10;2;2;0
2019-11-03 02:15:00;12;20;4;0;3;3;1;10;13;6;4;13;5;4;0;1;0
2019-11-03 02:30:00;9;10;2;1;0;0;1;5;6;3;4;6;12;7;0;0;0
2019-11-03 02:45:00;5;11;5;0;4;0;1;12;8;6;2;8;8;2;14;1;0
2019-11-03 03:00:00;7;6;4;0;0;0;2;5;10;4;2;8;8;2;1;0;0
2019-11-03 03:15:00;8;9;2;0;0;0;0;7;14;2;2;8;9;0;0;0;0
2019-11-03 03:30:00;8;8;3;1;0;2;2;8;5;3;1;10;10;3;0;2;0
2019-11-03 03:45:00;11;11;2;1;1;1;1;8;4;3;2;5;15;9;0;3;0
2019-11-03 04:00:00;9;7;3;0;0;1;0;5;3;5;2;2;16;7;3;0;0
2019-11-03 04:15:00;3;8;3;1;0;0;0;3;5;2;1;5;10;8;1;0;0
2019-11-03 04:30:00;13;10;4;0;2;0;1;2;6;4;0;11;12;2;2;0;0
2019-11-03 04:45:00;6;8;2;0;0;1;1;6;4;4;2;7;13;4;0;1;0
2019-11-03 05:00:00;4;9;3;0;0;0;0;4;9;4;0;5;5;4;4;0;0
2019-11-03 05:15:00;4;10;5;1;0;0;1;5;4;8;4;6;6;0;1;2;0
2019-11-03 05:30:00;10;16;8;1;0;0;0;3;5;3;3;8;10;2;3;0;0
2019-11-03 05:45:00;3;11;5;0;0;0;0;4;4;4;0;8;6;2;4;0;0
2019-11-03 06:00:00;6;18;2;0;0;0;0;10;16;3;0;12;5;1;0;1;0
2019-11-03 06:15:00;7;13;4;0;1;1;0;4;10;3;3;3;8;2;2;0;0
2019-11-03 06:30:00;8;8;0;4;1;1;0;9;10;8;2;7;3;2;6;6;0
2019-11-03 06:45:00;10;9;6;3;2;0;0;10;10;6;0;8;8;2;2;2;0
