DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(TA);16(DB4);17(DB5)
2020-08-22 00:00:00;14;16;9;0;0;1;2;13;14;3;3;11;15;12;1;0;0
2020-08-22 00:15:00;13;21;8;1;4;1;4;21;17;6;2;12;18;4;22;9;0
2020-08-22 00:30:00;13;25;10;2;0;0;4;11;14;7;3;6;16;7;27;8;0
2020-08-22 00:45:00;13;26;11;2;0;1;3;12;12;12;1;14;13;7;8;3;0
2020-08-22 01:00:00;16;16;7;0;1;2;2;10;15;7;1;10;7;4;6;1;0
2020-08-22 01:15:00;15;14;2;0;1;2;3;3;9;4;4;10;15;2;8;5;0
2020-08-22 01:30:00;10;12;12;3;1;0;2;2;8;4;1;9;7;3;8;1;0
2020-08-22 01:45:00;9;10;3;0;1;1;3;8;3;1;2;4;7;6;2;3;0
2020-08-22 02:00:00;17;10;0;0;1;0;2;10;10;3;1;10;11;2;3;0;0
2020-08-22 02:15:00;8;10;3;0;1;1;1;14;14;1;0;9;7;2;4;1;0
2020-08-22 02:30:00;11;10;3;0;0;0;0;3;8;3;0;2;8;1;1;1;0
2020-08-22 02:45:00;10;6;2;0;0;0;0;5;3;2;0;6;3;0;0;2;0
2020-08-22 03:00:00;5;3;1;0;1;1;1;6;3;1;0;4;8;2;0;1;0
2020-08-22 03:15:00;4;7;3;1;0;0;1;3;4;1;1;5;4;1;0;1;0
2020-08-22 03:30:00;4;7;4;0;1;0;0;7;2;2;0;2;4;3;0;0;0
2020-08-22 03:45:00;5;8;2;0;0;1;0;4;5;1;1;3;6;0;0;0;0
2020-08-22 04:00:00;11;5;0;0;0;0;0;8;6;0;0;0;2;1;0;1;0
2020-08-22 04:15:00;9;6;3;0;0;0;1;7;3;1;1;2;5;2;0;1;0
2020-08-22 04:30:00;4;8;1;0;0;0;0;4;3;0;1;2;1;0;0;0;0
2020-08-22 04:45:00;10;7;1;1;0;2;0;8;6;1;0;4;9;3;0;0;0
2020-08-22 05:00:00;10;6;5;0;0;3;0;3;6;1;0;3;4;1;2;1;0
2020-08-22 05:15:00;11;14;5;0;0;0;0;6;8;3;1;6;5;1;1;0;0
2020-08-22 05:30:00;9;16;5;0;0;0;0;4;13;6;2;8;6;4;11;0;0
2020-08-22 05:45:00;7;17;9;0;0;0;0;13;20;4;5;8;4;1;3;0;0
2020-08-22 06:00:00;12;15;4;0;0;0;0;14;14;8;0;9;12;1;3;0;0
2020-08-22 06:15:00;15;16;8;0;0;1;0;12;21;6;1;12;9;5;1;1;0
2020-08-22 06:30:00;30;20;9;0;0;1;2;10;12;6;0;17;9;3;1;1;0
2020-08-22 06:45:00;14;28;4;0;0;0;0;16;16;4;3;6;6;4;0;0;0
2020-08-22 07:00:00;16;24;14;1;0;1;1;21;13;10;3;11;7;10;3;1;0
2020-08-22 07:15:00;27;26;14;2;0;0;0;22;17;9;4;7;11;7;9;2;0
2020-08-22 07:30:00;30;40;22;4;1;1;1;21;21;10;3;6;13;7;15;6;0
2020-08-22 07:45:00;42;44;30;1;0;2;3;24;34;11;2;15;18;7;3;3;0
2020-08-22 08:00:00;28;37;18;3;0;1;0;23;29;10;5;17;10;5;9;6;0
2020-08-22 08:15:00;40;35;21;2;0;0;0;28;23;17;8;24;22;10;7;3;0
2020-08-22 08:30:00;49;52;31;4;0;0;0;32;43;24;12;19;22;9;10;7;0
2020-08-22 08:45:00;41;52;30;7;1;4;0;36;38;12;7;24;24;16;28;14;0
2020-08-22 09:00:00;64;49;39;3;0;0;0;49;47;13;11;25;29;18;9;13;0
2020-08-22 09:15:00;69;69;41;5;0;2;2;45;48;28;13;41;30;19;8;11;0
2020-08-22 09:30:00;70;75;57;5;2;1;1;46;50;21;12;40;36;18;16;13;0
2020-08-22 09:45:00;78;75;59;10;0;4;5;86;75;28;19;32;36;24;16;16;0
2020-08-22 10:00:00;63;86;74;9;1;3;5;91;67;33;23;49;36;16;13;13;0
2020-08-22 10:15:00;77;80;54;13;0;4;4;89;69;29;18;41;41;29;19;16;0
2020-08-22 10:30:00;51;72;55;15;0;3;7;54;67;34;20;60;42;35;13;25;0
2020-08-22 10:45:00;71;72;58;10;2;7;3;59;65;39;34;45;42;39;10;17;0
2020-08-22 11:00:00;91;92;67;19;0;5;7;62;72;23;10;67;45;29;11;32;0
2020-08-22 11:15:00;82;88;62;19;1;3;6;64;70;40;25;77;50;34;12;26;0
2020-08-22 11:30:00;94;78;64;19;2;12;6;56;88;33;23;65;52;37;19;29;0
2020-08-22 11:45:00;107;89;75;13;1;11;11;63;75;30;17;55;50;39;52;19;0
2020-08-22 12:00:00;71;90;77;15;2;6;6;67;75;31;26;54;55;46;15;24;0
2020-08-22 12:15:00;87;77;54;18;0;6;9;105;89;40;31;59;45;51;10;30;0
2020-08-22 12:30:00;81;78;56;14;1;8;2;72;79;44;23;69;47;47;20;26;0
2020-08-22 12:45:00;84;71;58;9;2;7;8;67;65;47;25;81;46;37;17;20;0
2020-08-22 13:00:00;85;79;68;10;1;3;6;81;87;43;25;55;45;32;5;25;0
2020-08-22 13:15:00;87;70;47;15;2;8;4;120;75;42;28;64;48;34;13;22;0
2020-08-22 13:30:00;85;85;70;12;5;4;6;60;83;39;28;68;57;45;19;17;0
2020-08-22 13:45:00;111;80;67;19;4;4;5;70;73;31;27;58;52;46;18;25;0
2020-08-22 14:00:00;89;76;74;16;1;2;7;73;78;38;24;51;47;41;25;28;0
2020-08-22 14:15:00;97;89;68;21;2;4;4;113;85;42;33;57;53;49;18;21;0
2020-08-22 14:30:00;82;77;48;13;4;8;8;61;74;31;27;76;57;39;24;19;0
2020-08-22 14:45:00;84;77;70;14;1;5;7;74;88;41;22;59;47;40;13;24;0
2020-08-22 15:00:00;71;81;71;10;3;12;4;67;74;41;25;71;46;41;18;18;0
2020-08-22 15:15:00;88;62;53;16;2;7;7;111;78;39;24;67;59;46;7;23;0
2020-08-22 15:30:00;73;80;90;11;0;5;5;67;76;37;20;60;54;36;7;20;0
2020-08-22 15:45:00;89;81;106;6;1;7;2;64;68;37;24;62;46;38;6;10;0
2020-08-22 16:00:00;94;72;55;18;0;3;4;56;75;44;26;60;47;34;7;23;0
2020-08-22 16:15:00;78;76;56;14;2;5;6;90;79;37;26;69;44;41;15;22;0
2020-08-22 16:30:00;83;79;50;9;3;4;8;95;70;32;19;78;51;41;7;21;0
2020-08-22 16:45:00;74;67;49;16;1;6;5;63;75;32;19;62;52;40;22;17;0
2020-08-22 17:00:00;64;79;65;10;3;7;3;49;65;30;25;63;56;42;4;19;0
2020-08-22 17:15:00;59;73;58;10;3;6;5;71;56;32;21;50;48;32;32;26;0
2020-08-22 17:30:00;71;78;61;8;3;3;3;93;69;30;20;69;43;42;25;20;0
2020-08-22 17:45:00;70;84;53;18;1;3;10;65;80;25;10;54;46;32;15;25;0
2020-08-22 18:00:00;64;70;47;7;4;5;13;60;75;31;19;55;42;33;51;15;0
2020-08-22 18:15:00;63;67;51;8;2;5;6;65;72;18;12;62;46;31;37;13;0
2020-08-22 18:30:00;53;73;49;7;0;0;3;66;63;21;17;51;43;28;17;12;0
2020-08-22 18:45:00;58;62;46;13;0;3;1;49;61;28;14;54;50;32;18;20;0
2020-08-22 19:00:00;67;67;55;13;2;5;4;56;56;30;17;53;37;37;12;14;0
2020-08-22 19:15:00;44;59;41;16;3;4;4;45;60;21;9;53;36;27;8;14;0
2020-08-22 19:30:00;47;61;49;6;3;2;3;61;51;29;15;42;30;17;11;9;0
2020-08-22 19:45:00;34;55;35;4;2;3;3;48;60;22;17;41;50;32;29;9;0
2020-08-22 20:00:00;52;50;34;5;0;5;5;52;66;22;10;47;39;23;14;10;0
2020-08-22 20:15:00;45;49;40;6;1;4;4;39;61;20;11;33;27;28;38;14;0
2020-08-22 20:30:00;45;54;37;4;2;6;2;81;50;18;6;28;32;18;17;16;0
2020-08-22 20:45:00;28;52;40;9;2;2;7;73;45;19;11;19;34;27;23;12;0
2020-08-22 21:00:00;35;53;27;10;2;2;3;32;43;18;10;24;31;23;41;11;0
2020-08-22 21:15:00;29;40;21;3;1;5;5;34;28;8;6;21;27;22;7;12;0
2020-08-22 21:30:00;38;39;22;8;0;1;4;42;25;10;3;21;27;11;9;14;0
2020-08-22 21:45:00;32;35;18;7;3;5;4;26;30;14;8;17;25;16;118;8;0
2020-08-22 22:00:00;27;39;22;6;5;2;8;32;35;13;5;25;33;18;17;13;0
2020-08-22 22:15:00;31;36;27;8;1;6;10;27;31;14;11;19;25;15;10;9;0
2020-08-22 22:30:00;29;28;12;5;1;1;3;24;28;8;5;17;21;11;19;10;0
