DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(TA);16(DB4);17(DB5)
2020-12-15 00:00:00;3;2;3;0;0;0;0;2;2;1;0;4;6;1;0;0;0
2020-12-15 00:15:00;4;9;1;2;0;0;0;6;2;1;0;1;2;0;1;2;0
2020-12-15 00:30:00;0;1;2;0;0;0;1;3;3;3;0;1;2;0;0;0;0
2020-12-15 00:45:00;1;9;2;0;0;0;0;5;2;3;0;2;6;0;0;0;0
2020-12-15 01:00:00;4;6;2;0;0;0;0;4;0;0;0;0;3;1;0;0;0
2020-12-15 01:15:00;0;1;1;0;0;0;0;1;2;2;1;4;4;1;2;0;0
2020-12-15 01:30:00;4;6;3;0;0;0;0;2;0;0;0;3;2;1;1;1;0
2020-12-15 01:45:00;3;2;1;0;0;0;0;4;2;1;0;0;3;0;0;0;0
2020-12-15 02:00:00;6;4;0;0;0;0;0;2;2;2;1;3;2;1;0;0;0
2020-12-15 02:15:00;7;4;2;0;0;0;0;2;1;1;0;2;6;0;0;1;0
2020-12-15 02:30:00;11;4;1;0;0;0;0;2;2;2;2;1;2;0;0;0;0
2020-12-15 02:45:00;6;2;0;0;0;0;0;0;1;5;1;0;2;0;0;0;0
2020-12-15 03:00:00;2;2;0;0;0;0;0;1;0;2;1;0;2;1;1;0;0
2020-12-15 03:15:00;2;2;2;1;0;1;0;1;2;2;0;3;1;4;0;1;0
2020-12-15 03:30:00;6;3;2;0;0;0;0;2;1;6;0;5;6;0;0;0;0
2020-12-15 03:45:00;2;1;0;0;0;0;0;3;1;3;0;0;3;1;0;0;0
2020-12-15 04:00:00;6;5;0;0;0;0;0;1;3;3;1;0;1;0;0;0;0
2020-12-15 04:15:00;12;8;0;0;0;0;0;6;5;6;1;7;3;0;3;0;0
2020-12-15 04:30:00;9;15;6;0;0;0;0;6;16;8;3;6;6;2;0;0;0
2020-12-15 04:45:00;17;23;9;0;0;0;0;7;8;7;4;18;8;2;1;0;0
2020-12-15 05:00:00;23;51;43;0;0;0;0;8;12;7;5;33;8;7;18;0;0
