DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(TA);16(DB4);17(DB5)
2020-01-21 00:00:00;2;6;3;0;0;0;0;2;4;2;0;6;4;4;4;0;0
2020-01-21 00:15:00;8;7;2;0;0;0;0;7;8;3;1;7;9;4;1;0;0
2020-01-21 00:30:00;3;5;4;0;0;0;0;8;8;3;2;5;4;3;0;0;0
2020-01-21 00:45:00;5;6;4;0;1;1;0;6;2;4;1;2;8;6;0;1;0
2020-01-21 01:00:00;6;9;1;1;0;1;1;5;3;3;3;3;3;2;3;0;0
2020-01-21 01:15:00;3;2;2;1;0;0;0;5;5;0;0;4;33;0;0;2;0
2020-01-21 01:30:00;9;4;0;0;0;1;0;1;1;1;0;2;5;2;0;1;0
2020-01-21 01:45:00;7;4;1;1;0;0;1;2;0;3;0;2;4;1;0;1;0
2020-01-21 02:00:00;4;3;0;0;0;0;0;2;2;3;0;4;1;0;0;0;0
2020-01-21 02:15:00;4;4;0;0;0;0;0;5;3;3;0;3;3;1;0;0;0
2020-01-21 02:30:00;4;6;1;0;0;0;0;3;1;2;0;3;6;1;0;0;0
2020-01-21 02:45:00;4;6;1;0;0;0;0;4;3;5;0;4;3;1;2;0;0
2020-01-21 03:00:00;2;3;3;0;0;0;0;5;4;5;3;7;4;2;1;1;0
2020-01-21 03:15:00;4;7;0;0;1;1;0;2;4;2;0;2;3;0;0;0;0
2020-01-21 03:30:00;9;3;3;1;0;0;0;7;5;2;1;5;3;0;0;3;0
2020-01-21 03:45:00;4;5;1;1;0;1;0;2;5;6;0;5;6;0;0;0;0
2020-01-21 04:00:00;11;8;1;0;0;0;0;7;3;6;0;3;3;2;13;0;0
2020-01-21 04:15:00;10;11;1;0;0;0;0;3;5;3;1;8;3;1;0;1;0
2020-01-21 04:30:00;9;19;9;0;0;0;0;8;4;9;2;8;3;2;3;0;0
2020-01-21 04:45:00;22;28;19;0;0;0;0;8;8;8;0;16;7;5;0;1;0
2020-01-21 05:00:00;18;50;40;0;0;0;0;6;14;9;5;28;7;3;22;0;0
2020-01-21 05:15:00;41;65;84;1;0;0;0;17;20;10;4;40;15;6;13;0;0
2020-01-21 05:30:00;55;82;83;0;0;0;1;38;40;16;10;42;21;8;22;1;0
2020-01-21 05:45:00;74;68;91;0;0;0;0;40;75;28;18;54;20;10;7;3;0
2020-01-21 06:00:00;78;67;75;1;0;0;0;48;81;25;15;44;31;12;12;3;0
2020-01-21 06:15:00;112;83;83;3;0;1;0;44;57;33;28;54;36;23;18;7;0
