DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(TA);16(DB4);17(DB5)
2020-03-30 00:00:00;4;4;2;1;0;1;0;2;2;1;0;4;5;2;6;1;0
2020-03-30 00:15:00;8;1;3;0;0;1;0;5;3;2;1;1;3;1;0;0;0
2020-03-30 00:30:00;3;3;1;0;0;0;0;4;3;3;1;2;4;2;0;0;0
2020-03-30 00:45:00;1;2;1;0;0;0;0;2;0;1;1;2;3;1;0;0;0
2020-03-30 01:00:00;2;3;1;0;0;0;0;4;1;1;0;0;1;0;0;0;0
2020-03-30 01:15:00;4;4;0;0;0;0;0;3;2;1;0;1;3;1;0;0;0
2020-03-30 01:30:00;5;5;0;0;0;0;0;1;1;1;0;0;1;0;3;0;0
2020-03-30 01:45:00;9;8;0;0;0;0;0;3;0;3;0;2;2;1;0;1;0
2020-03-30 02:00:00;6;5;0;0;0;0;0;4;2;4;0;1;0;0;0;0;0
2020-03-30 02:15:00;4;2;2;0;0;0;0;0;0;1;0;1;2;1;0;0;0
2020-03-30 02:30:00;4;3;0;0;0;0;0;3;1;1;0;2;1;1;0;0;0
2020-03-30 02:45:00;2;2;0;0;0;0;0;2;1;1;1;0;3;2;0;0;0
2020-03-30 03:00:00;3;6;1;0;0;0;0;3;1;0;0;2;1;0;0;0;0
2020-03-30 03:15:00;3;4;1;0;0;1;0;2;1;0;0;3;2;0;0;0;0
2020-03-30 03:30:00;2;5;0;0;0;1;0;3;3;0;0;1;3;0;0;0;0
2020-03-30 03:45:00;2;3;1;0;0;0;0;3;0;2;0;4;3;1;0;0;0
2020-03-30 04:00:00;5;4;0;0;0;0;0;4;2;3;0;2;2;2;0;0;0
2020-03-30 04:15:00;7;7;4;0;0;0;0;5;5;3;2;3;3;1;1;2;0
2020-03-30 04:30:00;8;10;2;0;0;0;0;3;4;1;3;1;3;0;2;1;0
2020-03-30 04:45:00;7;7;5;0;0;0;0;11;12;6;0;5;3;2;5;1;0
2020-03-30 05:00:00;13;18;5;1;0;0;0;4;15;7;3;4;3;1;4;1;0
2020-03-30 05:15:00;21;31;16;0;0;0;0;14;15;9;1;10;9;5;7;0;0
2020-03-30 05:30:00;53;39;34;3;0;1;0;16;19;16;11;26;15;8;3;3;0
2020-03-30 05:45:00;40;33;30;0;0;0;0;13;15;16;11;35;18;9;9;0;0
2020-03-30 06:00:00;45;38;34;1;0;0;1;16;14;12;7;18;23;4;13;4;0
2020-03-30 06:15:00;62;48;38;2;1;0;0;19;22;13;12;25;26;10;10;3;0
2020-03-30 06:30:00;73;61;69;5;0;1;1;27;30;15;13;37;32;17;21;4;0
2020-03-30 06:45:00;74;56;59;9;0;0;0;40;45;12;12;43;42;29;10;16;0
2020-03-30 07:00:00;45;48;43;8;0;0;0;30;33;19;10;53;54;43;7;10;0
2020-03-30 07:15:00;71;71;67;5;0;0;0;59;49;23;19;37;48;36;8;10;0
2020-03-30 07:30:00;48;76;56;8;1;1;1;52;51;21;15;47;53;38;17;14;0
2020-03-30 07:45:00;54;63;66;6;0;1;2;50;59;23;15;55;51;30;8;14;0
2020-03-30 08:00:00;57;57;42;6;0;2;1;43;37;14;12;48;39;29;7;10;0
2020-03-30 08:15:00;55;42;38;5;0;0;0;32;39;16;11;27;44;30;5;7;0
2020-03-30 08:30:00;48;54;49;6;0;2;2;41;54;15;10;40;32;22;7;9;0
2020-03-30 08:45:00;50;54;49;3;0;0;2;38;32;28;17;32;30;28;4;6;0
2020-03-30 09:00:00;49;60;38;1;1;1;0;59;46;15;12;29;31;22;18;4;0
2020-03-30 09:15:00;58;51;33;2;0;2;1;52;45;26;16;26;25;16;2;6;0
2020-03-30 09:30:00;35;51;43;5;1;2;2;30;43;26;25;35;28;21;13;5;0
2020-03-30 09:45:00;55;54;50;2;3;2;2;40;51;19;15;35;33;18;28;5;0
2020-03-30 10:00:00;47;59;48;5;0;3;3;41;51;29;17;40;27;22;15;10;0
2020-03-30 10:15:00;56;63;32;3;0;0;1;48;51;23;13;34;31;20;17;3;0
2020-03-30 10:30:00;44;64;53;2;0;1;0;57;48;23;18;46;36;17;17;2;0
2020-03-30 10:45:00;41;71;48;2;0;3;1;80;48;27;18;52;25;18;13;3;0
2020-03-30 11:00:00;42;55;35;3;0;1;1;83;51;21;10;39;23;24;1;2;0
2020-03-30 11:15:00;53;60;46;4;0;3;1;39;56;29;26;45;28;15;8;6;0
2020-03-30 11:30:00;53;74;51;2;0;1;3;46;52;27;22;47;25;21;4;3;0
2020-03-30 11:45:00;34;56;43;3;1;2;0;38;48;27;16;48;24;24;22;5;0
2020-03-30 12:00:00;64;61;50;3;0;2;0;66;63;24;16;41;22;22;8;4;0
2020-03-30 12:15:00;61;62;42;2;0;2;1;69;75;28;15;52;36;21;16;2;0
2020-03-30 12:30:00;39;50;29;0;1;2;3;57;52;26;12;45;35;15;9;7;0
2020-03-30 12:45:00;44;68;46;4;0;1;2;48;52;21;22;40;28;25;19;2;0
2020-03-30 13:00:00;50;60;53;2;1;0;3;48;56;22;18;38;26;14;8;4;0
2020-03-30 13:15:00;60;45;40;6;0;2;3;52;63;25;14;33;28;31;45;8;0
2020-03-30 13:30:00;39;62;53;1;0;2;4;57;69;24;19;41;29;22;12;1;0
2020-03-30 13:45:00;57;61;61;0;1;2;2;61;75;21;13;48;26;24;21;4;0
2020-03-30 14:00:00;37;66;42;2;2;3;1;70;61;31;21;44;43;30;8;5;0
2020-03-30 14:15:00;72;63;55;5;0;4;3;49;68;29;25;47;38;28;28;8;0
2020-03-30 14:30:00;58;66;49;3;0;0;0;55;62;30;26;53;37;37;42;4;0
2020-03-30 14:45:00;46;55;47;2;0;0;5;47;61;20;21;42;26;23;20;3;0
2020-03-30 15:00:00;53;60;42;1;0;0;1;57;63;29;22;38;25;13;17;4;0
2020-03-30 15:15:00;52;64;53;0;3;3;5;126;72;32;19;36;37;25;16;3;0
2020-03-30 15:30:00;43;66;54;3;1;3;2;119;99;30;23;43;36;20;12;7;0
2020-03-30 15:45:00;45;54;52;3;0;2;3;76;82;44;29;42;27;26;28;7;0
2020-03-30 16:00:00;64;78;60;4;0;4;3;65;86;29;20;45;47;33;47;8;0
2020-03-30 16:15:00;48;72;65;6;2;8;3;67;84;33;20;48;35;33;18;7;0
2020-03-30 16:30:00;68;60;50;2;3;3;4;70;79;31;21;55;37;27;15;5;0
2020-03-30 16:45:00;67;60;43;4;3;6;2;105;84;36;19;63;45;27;14;5;0
2020-03-30 17:00:00;52;68;52;2;1;4;6;130;83;32;19;64;51;45;30;1;0
2020-03-30 17:15:00;58;68;55;6;3;6;4;122;73;31;23;49;40;30;23;4;0
2020-03-30 17:30:00;53;67;43;3;0;2;2;61;71;20;18;38;34;23;30;3;0
2020-03-30 17:45:00;47;41;38;2;0;3;4;45;55;25;12;37;29;22;12;6;0
2020-03-30 18:00:00;43;58;31;5;0;6;4;48;61;25;14;37;33;28;6;3;0
2020-03-30 18:15:00;38;50;32;1;1;3;3;49;64;16;13;27;29;18;13;6;0
2020-03-30 18:30:00;33;51;41;1;0;5;3;48;71;11;6;32;27;12;7;3;0
2020-03-30 18:45:00;27;54;33;3;0;2;2;37;45;17;11;24;26;12;9;4;0
2020-03-30 19:00:00;16;40;27;1;0;0;1;35;46;18;7;18;14;13;10;0;0
2020-03-30 19:15:00;23;38;20;3;0;1;3;31;37;20;9;25;22;11;7;5;0
2020-03-30 19:30:00;31;39;23;0;0;0;2;23;38;9;4;28;26;11;11;4;0
2020-03-30 19:45:00;14;43;23;2;2;2;1;28;36;11;3;20;17;9;6;4;0
2020-03-30 20:00:00;13;37;13;1;0;2;0;37;30;9;10;22;15;6;14;3;0
2020-03-30 20:15:00;14;26;14;2;0;1;0;30;28;10;5;10;14;6;0;1;0
2020-03-30 20:30:00;13;31;13;0;0;0;0;19;19;8;6;13;10;7;11;0;0
2020-03-30 20:45:00;10;23;19;1;0;0;1;10;24;5;2;15;18;3;6;0;0
2020-03-30 21:00:00;13;24;11;1;0;0;0;10;15;7;7;14;16;6;11;2;0
