DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(TA);16(DB4);17(DB5)
2020-10-19 00:00:00;6;6;2;0;0;1;1;5;6;4;2;4;7;3;0;1;0
2020-10-19 00:15:00;6;6;5;0;0;0;1;4;5;3;1;9;9;2;4;0;0
2020-10-19 00:30:00;5;5;1;0;0;0;0;5;5;4;1;4;6;2;0;0;0
2020-10-19 00:45:00;3;7;6;0;0;0;0;3;2;2;0;4;7;3;0;0;0
2020-10-19 01:00:00;2;2;2;0;0;0;0;1;3;2;3;5;6;3;0;1;0
2020-10-19 01:15:00;2;2;0;0;0;0;0;1;6;0;0;4;1;1;0;0;0
2020-10-19 01:30:00;6;4;0;0;0;1;0;1;0;2;0;3;0;0;1;0;0
2020-10-19 01:45:00;4;6;0;1;0;0;1;1;1;1;0;2;4;1;0;2;0
2020-10-19 02:00:00;9;6;1;0;0;1;0;6;4;1;0;2;3;0;0;0;0
2020-10-19 02:15:00;8;4;1;0;0;0;0;2;1;2;0;2;1;0;0;0;0
2020-10-19 02:30:00;5;6;4;1;0;0;0;5;3;0;0;2;1;0;1;0;0
2020-10-19 02:45:00;8;2;0;0;0;0;0;2;1;4;1;3;3;0;0;0;0
2020-10-19 03:00:00;5;8;1;0;0;0;0;1;3;1;0;1;1;0;3;0;0
2020-10-19 03:15:00;3;5;1;0;0;0;0;2;1;1;1;1;3;2;0;0;0
2020-10-19 03:30:00;8;2;0;0;0;0;0;4;1;1;0;4;4;0;0;0;0
2020-10-19 03:45:00;1;2;1;0;0;0;0;1;4;4;0;0;2;0;0;1;0
2020-10-19 04:00:00;11;6;2;0;0;0;0;5;2;1;0;3;5;2;0;1;0
2020-10-19 04:15:00;7;8;1;0;0;0;0;7;5;3;1;2;3;1;4;1;0
2020-10-19 04:30:00;16;16;7;0;0;0;0;8;12;7;3;4;5;0;14;0;0
2020-10-19 04:45:00;19;22;11;0;0;0;0;8;12;7;2;16;8;3;1;0;0
2020-10-19 05:00:00;18;40;38;0;0;0;0;11;14;6;2;33;13;1;18;1;0
2020-10-19 05:15:00;45;62;62;1;0;0;0;12;23;8;9;30;17;4;9;1;0
2020-10-19 05:30:00;54;66;70;0;1;2;0;22;26;13;12;44;21;9;19;1;0
2020-10-19 05:45:00;72;53;59;1;0;0;0;26;29;12;9;42;16;6;11;1;0
2020-10-19 06:00:00;49;70;45;2;0;0;0;30;34;14;12;29;31;8;8;4;0
2020-10-19 06:15:00;90;65;67;5;1;0;0;40;36;24;15;50;24;19;7;6;0
2020-10-19 06:30:00;94;89;90;6;0;2;1;52;50;24;22;52;38;30;14;7;0
2020-10-19 06:45:00;109;89;100;9;0;2;0;47;55;33;21;68;57;42;26;17;0
2020-10-19 07:00:00;85;84;97;10;0;2;0;40;52;24;20;65;63;56;31;16;0
2020-10-19 07:15:00;101;98;106;20;0;0;3;79;75;21;23;86;88;77;15;53;0
2020-10-19 07:30:00;80;114;116;32;1;2;0;101;91;43;40;107;74;73;22;68;0
2020-10-19 07:45:00;104;135;137;23;0;1;1;98;99;32;40;92;60;65;10;34;0
2020-10-19 08:00:00;102;114;131;19;1;2;1;78;78;36;26;77;54;45;17;31;0
2020-10-19 08:15:00;92;92;102;10;2;3;2;115;70;36;31;68;37;33;27;16;0
2020-10-19 08:30:00;79;96;87;11;0;1;1;75;84;31;32;74;51;50;15;19;0
2020-10-19 08:45:00;83;76;77;9;0;2;2;66;79;34;36;71;54;47;14;12;0
2020-10-19 09:00:00;78;68;73;8;1;2;1;65;68;36;18;61;59;51;8;16;0
2020-10-19 09:15:00;84;68;67;8;0;2;1;82;70;33;28;71;61;47;15;15;0
2020-10-19 09:30:00;68;82;77;6;0;2;4;79;74;34;27;70;49;43;20;7;0
2020-10-19 09:45:00;79;71;61;11;1;3;3;63;83;35;22;68;46;37;7;16;0
2020-10-19 10:00:00;105;93;73;13;0;1;2;53;66;43;32;76;50;38;18;14;0
2020-10-19 10:15:00;91;76;72;9;2;2;4;88;87;28;28;77;54;43;7;10;0
2020-10-19 10:30:00;81;73;79;3;3;7;3;93;93;41;33;68;45;37;12;10;0
2020-10-19 10:45:00;77;87;73;10;2;2;5;54;77;39;38;65;48;45;24;18;0
2020-10-19 11:00:00;57;83;70;8;1;5;3;55;72;42;38;80;47;54;25;7;0
2020-10-19 11:15:00;79;81;63;3;1;4;3;74;82;33;24;89;46;30;23;6;0
2020-10-19 11:30:00;90;92;72;8;0;4;6;146;88;42;34;73;47;38;12;11;0
2020-10-19 11:45:00;82;65;66;8;7;14;11;62;84;35;26;70;44;42;9;14;0
2020-10-19 12:00:00;87;79;65;5;2;11;14;81;108;34;36;63;52;32;13;10;0
2020-10-19 12:15:00;89;78;66;5;6;8;7;83;99;46;32;86;53;51;17;10;0
2020-10-19 12:30:00;80;86;68;6;2;12;4;125;89;42;41;68;47;40;27;9;0
2020-10-19 12:45:00;76;87;83;9;1;5;5;71;94;31;21;64;59;61;23;18;0
2020-10-19 13:00:00;69;87;91;7;3;9;7;68;82;36;32;68;51;50;20;8;0
2020-10-19 13:15:00;91;90;102;20;2;13;8;66;101;50;43;80;53;44;29;20;0
2020-10-19 13:30:00;85;98;105;9;3;10;9;119;93;40;35;72;47;48;13;10;0
2020-10-19 13:45:00;95;108;113;5;3;9;7;75;88;40;34;70;48;35;12;16;0
2020-10-19 14:00:00;87;91;77;5;3;5;4;79;103;45;37;72;48;33;12;8;0
2020-10-19 14:15:00;75;71;76;10;6;6;10;92;117;55;49;82;57;45;27;15;0
2020-10-19 14:30:00;72;86;84;12;2;10;6;185;114;40;40;64;51;43;19;10;0
2020-10-19 14:45:00;89;75;84;6;0;9;3;123;168;64;44;90;45;49;30;7;0
2020-10-19 15:00:00;84;104;89;10;6;15;9;102;131;52;53;61;59;51;17;16;0
2020-10-19 15:15:00;93;84;86;5;8;18;6;107;133;51;49;96;54;48;14;9;0
2020-10-19 15:30:00;96;95;104;5;6;14;3;104;127;47;36;71;61;59;29;10;0
2020-10-19 15:45:00;82;97;97;14;5;21;12;136;137;64;54;89;73;56;17;16;0
2020-10-19 16:00:00;92;98;105;5;5;17;13;108;129;56;55;84;72;60;16;10;0
2020-10-19 16:15:00;112;101;115;15;4;18;5;114;119;57;51;88;68;55;20;20;0
2020-10-19 16:30:00;95;93;98;19;5;11;9;135;129;58;56;96;75;65;33;19;0
2020-10-19 16:45:00;91;92;88;12;9;17;9;157;152;60;55;100;71;68;20;13;0
2020-10-19 17:00:00;93;94;97;23;5;21;20;129;133;55;61;86;70;60;25;30;0
2020-10-19 17:15:00;97;98;95;13;8;14;8;127;137;64;52;95;78;65;23;19;0
2020-10-19 17:30:00;71;84;81;10;4;8;11;100;112;45;41;83;60;63;40;16;0
2020-10-19 17:45:00;71;88;82;25;10;13;12;180;122;58;41;104;77;73;13;24;0
2020-10-19 18:00:00;78;80;94;12;7;8;9;96;110;39;30;84;57;56;41;15;0
2020-10-19 18:15:00;98;96;85;6;1;7;9;78;108;31;28;63;68;50;24;11;0
2020-10-19 18:30:00;67;85;72;6;1;7;6;72;99;33;26;53;52;43;23;12;0
2020-10-19 18:45:00;56;73;68;9;2;7;5;83;92;32;22;59;43;39;24;7;0
2020-10-19 19:00:00;57;77;54;8;8;12;12;106;83;34;20;55;43;31;14;10;0
2020-10-19 19:15:00;54;74;60;7;1;5;3;44;71;34;17;47;44;37;9;8;0
2020-10-19 19:30:00;47;65;37;10;0;5;2;39;44;24;16;53;39;23;17;12;0
2020-10-19 19:45:00;42;51;36;7;3;2;2;63;55;20;11;39;35;21;7;11;0
2020-10-19 20:00:00;38;65;55;6;1;4;2;50;61;24;12;28;36;24;12;5;0
2020-10-19 20:15:00;44;61;39;8;3;5;5;42;57;22;12;24;34;19;9;9;0
2020-10-19 20:30:00;35;43;32;1;1;3;8;29;40;12;10;17;25;8;11;5;0
2020-10-19 20:45:00;21;43;36;5;1;3;1;33;40;19;6;27;24;11;7;9;0
2020-10-19 21:00:00;36;52;63;2;2;2;3;31;29;10;5;34;19;18;15;5;0
2020-10-19 21:15:00;26;54;59;3;1;2;2;22;33;6;3;23;32;10;5;2;0
2020-10-19 21:30:00;28;40;25;1;0;0;1;22;36;15;4;32;50;8;6;3;0
2020-10-19 21:45:00;22;27;23;0;1;4;3;56;48;9;7;17;27;9;5;1;0
2020-10-19 22:00:00;25;32;19;1;0;3;0;54;61;27;12;8;15;7;8;2;0
2020-10-19 22:15:00;19;23;11;2;0;0;0;36;51;16;10;14;19;7;15;3;0
2020-10-19 22:30:00;21;29;21;3;0;1;3;19;18;4;1;16;18;8;16;2;0
2020-10-19 22:45:00;16;24;13;0;0;0;1;13;12;6;2;6;12;5;1;0;0
2020-10-19 23:00:00;14;11;8;0;3;3;0;14;11;8;1;14;20;8;15;1;0
2020-10-19 23:15:00;8;14;4;1;1;3;1;6;15;4;2;7;12;5;9;2;0
2020-10-19 23:30:00;12;15;4;1;1;0;0;4;9;6;0;8;11;0;1;1;0
2020-10-19 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
