DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(TA);16(DB4);17(DB5)
2020-09-13 00:00:00;14;21;12;1;1;5;3;21;17;9;2;13;18;7;13;6;0
2020-09-13 00:15:00;17;39;12;0;2;1;1;16;13;11;4;12;11;4;35;3;0
2020-09-13 00:30:00;9;29;13;0;1;2;3;17;17;5;2;13;11;8;20;5;0
2020-09-13 00:45:00;17;21;10;2;0;2;2;13;19;4;2;9;7;4;3;6;0
2020-09-13 01:00:00;12;23;7;0;1;1;0;11;13;11;4;10;12;5;2;0;0
2020-09-13 01:15:00;14;10;4;1;0;1;1;12;7;3;1;8;15;7;4;2;0
2020-09-13 01:30:00;7;17;8;0;1;2;2;10;7;9;4;8;7;1;1;1;0
2020-09-13 01:45:00;9;15;7;1;0;1;3;16;15;5;1;5;6;4;0;0;0
2020-09-13 02:00:00;9;12;3;1;0;0;0;9;7;4;1;3;4;1;19;2;0
2020-09-13 02:15:00;6;12;4;0;0;1;2;10;10;2;0;5;10;3;7;3;0
2020-09-13 02:30:00;8;11;6;2;0;1;1;8;9;4;0;4;7;1;0;2;0
2020-09-13 02:45:00;6;2;5;3;0;0;4;5;8;5;3;7;6;2;20;3;0
2020-09-13 03:00:00;2;4;2;1;2;0;0;3;6;2;1;3;5;1;3;1;0
2020-09-13 03:15:00;11;9;3;0;0;0;0;2;6;1;2;9;6;2;1;0;0
2020-09-13 03:30:00;7;7;1;2;0;2;0;6;7;0;0;4;5;2;0;4;0
2020-09-13 03:45:00;5;6;3;1;0;0;0;1;3;6;1;5;4;1;3;2;0
2020-09-13 04:00:00;8;4;1;2;0;0;0;1;5;1;0;4;3;1;0;2;0
2020-09-13 04:15:00;9;6;6;0;0;1;2;5;6;3;0;1;3;1;3;1;0
2020-09-13 04:30:00;5;7;1;1;0;0;0;5;1;3;2;4;4;0;0;1;0
2020-09-13 04:45:00;10;7;5;2;0;1;1;3;3;3;1;3;6;2;0;2;0
2020-09-13 05:00:00;10;4;4;0;0;1;0;5;5;1;0;2;5;0;0;1;0
2020-09-13 05:15:00;6;9;3;0;0;1;2;2;4;2;2;8;7;0;0;2;0
2020-09-13 05:30:00;10;11;6;0;1;0;1;7;9;4;2;10;6;2;17;0;0
2020-09-13 05:45:00;9;3;3;0;0;0;0;4;6;4;1;5;4;1;0;0;0
2020-09-13 06:00:00;10;11;3;0;0;1;0;3;9;3;1;2;4;0;1;0;0
2020-09-13 06:15:00;8;12;1;1;0;0;0;6;9;4;0;5;4;2;3;1;0
2020-09-13 06:30:00;16;7;3;0;0;0;1;10;6;2;1;2;4;1;2;2;0
2020-09-13 06:45:00;15;13;5;0;0;0;0;8;9;4;1;1;5;1;4;1;0
2020-09-13 07:00:00;21;15;4;1;0;0;0;6;9;5;0;7;8;5;3;1;0
2020-09-13 07:15:00;17;15;5;2;0;0;1;7;7;6;2;3;6;2;7;3;0
2020-09-13 07:30:00;20;22;4;0;1;1;0;8;4;7;5;4;5;4;5;0;0
2020-09-13 07:45:00;32;23;6;0;0;0;2;13;7;10;5;13;4;5;3;0;0
2020-09-13 08:00:00;39;27;16;0;0;0;0;15;17;10;4;13;10;5;4;0;0
2020-09-13 08:15:00;35;30;10;1;0;0;0;18;11;13;2;15;9;12;5;0;0
2020-09-13 08:30:00;28;25;17;5;0;0;0;12;14;14;8;16;11;10;8;4;0
2020-09-13 08:45:00;41;32;27;2;0;0;2;25;24;14;8;23;16;5;11;2;0
2020-09-13 09:00:00;45;30;18;2;0;1;2;18;21;17;6;16;17;13;5;3;0
2020-09-13 09:15:00;63;48;30;1;0;1;1;27;21;20;14;26;23;17;13;2;0
2020-09-13 09:30:00;66;53;26;2;1;1;2;38;34;27;22;24;28;29;14;1;0
2020-09-13 09:45:00;57;50;45;13;1;1;0;45;40;33;17;35;36;29;36;7;0
2020-09-13 10:00:00;64;58;42;4;2;7;1;44;48;27;14;40;26;21;16;7;0
2020-09-13 10:15:00;63;62;45;5;1;0;1;49;47;26;16;37;34;25;36;7;0
2020-09-13 10:30:00;68;60;44;1;0;2;3;33;36;27;13;45;33;32;16;6;0
2020-09-13 10:45:00;58;64;37;5;0;1;0;52;51;26;14;38;33;28;18;8;0
2020-09-13 11:00:00;55;61;40;9;0;3;2;48;55;24;11;37;36;20;7;22;0
2020-09-13 11:15:00;68;62;45;9;0;6;5;53;63;27;16;42;38;25;17;9;0
2020-09-13 11:30:00;58;66;47;5;1;2;3;98;52;18;11;49;38;20;10;6;0
2020-09-13 11:45:00;55;58;59;2;1;1;5;82;68;16;9;40;53;30;19;12;0
2020-09-13 12:00:00;50;75;51;5;0;1;1;55;48;20;14;40;34;24;21;9;0
2020-09-13 12:15:00;54;54;39;6;3;6;5;50;56;19;10;40;30;30;18;8;0
2020-09-13 12:30:00;67;58;31;9;2;5;1;52;64;24;13;36;47;34;14;12;0
2020-09-13 12:45:00;63;66;45;10;1;1;4;70;76;21;13;52;41;34;10;11;0
2020-09-13 13:00:00;58;59;40;7;1;3;2;67;65;27;9;49;35;26;19;15;0
2020-09-13 13:15:00;55;58;39;5;1;0;7;40;46;16;15;37;34;28;14;8;0
2020-09-13 13:30:00;63;63;37;13;1;2;5;52;64;27;12;39;38;31;22;16;0
2020-09-13 13:45:00;64;86;62;7;2;4;4;77;90;24;11;40;43;23;26;17;0
2020-09-13 14:00:00;64;76;52;14;0;3;5;83;75;30;13;44;49;33;24;20;0
2020-09-13 14:15:00;53;70;44;6;2;1;4;58;63;18;9;44;32;24;29;8;0
2020-09-13 14:30:00;53;65;43;6;2;3;1;65;58;19;13;44;49;33;15;12;0
2020-09-13 14:45:00;71;77;54;16;1;2;5;67;78;28;17;36;35;25;40;19;0
2020-09-13 15:00:00;58;84;60;6;1;2;4;71;68;19;11;30;41;29;12;15;0
2020-09-13 15:15:00;59;67;51;7;1;4;0;63;68;21;7;35;38;25;34;11;0
2020-09-13 15:30:00;56;69;39;9;2;1;3;57;63;21;16;42;42;29;16;15;0
2020-09-13 15:45:00;74;64;49;7;1;2;4;69;62;24;11;37;49;33;21;15;0
2020-09-13 16:00:00;62;81;58;7;6;5;3;62;77;20;11;39;36;26;20;18;0
2020-09-13 16:15:00;55;62;46;24;7;8;4;63;59;30;12;30;42;32;12;28;0
2020-09-13 16:30:00;49;71;45;13;4;9;5;62;69;21;16;34;34;27;10;12;0
2020-09-13 16:45:00;73;60;61;12;2;12;7;102;77;18;7;32;46;27;16;18;0
2020-09-13 17:00:00;67;77;56;12;6;3;7;93;63;17;10;44;52;32;26;11;0
2020-09-13 17:15:00;76;82;53;5;3;3;5;58;62;25;13;39;51;38;16;13;0
2020-09-13 17:30:00;69;77;70;7;2;5;5;61;81;27;15;36;57;41;26;19;0
2020-09-13 17:45:00;65;89;75;5;8;4;5;69;69;30;21;52;46;36;31;13;0
2020-09-13 18:00:00;58;84;65;9;2;8;6;108;74;31;15;43;45;36;34;16;0
