DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2020-09-11 00:00:00;11;8;10;3;3;7;7;2;2
2020-09-11 00:15:00;13;8;5;4;2;8;6;4;4
2020-09-11 00:30:00;9;6;5;3;4;23;6;1;1
2020-09-11 00:45:00;7;10;9;4;0;15;11;3;3
2020-09-11 01:00:00;10;9;10;5;2;10;12;1;1
2020-09-11 01:15:00;11;3;2;1;1;4;2;1;1
2020-09-11 01:30:00;3;3;5;3;2;6;8;1;1
2020-09-11 01:45:00;4;4;3;2;3;10;2;1;1
2020-09-11 02:00:00;8;3;3;1;0;7;6;0;0
2020-09-11 02:15:00;4;8;11;2;1;9;5;0;0
2020-09-11 02:30:00;3;2;2;0;0;11;4;0;0
2020-09-11 02:45:00;2;3;1;1;1;9;1;0;1
2020-09-11 03:00:00;9;5;3;1;3;11;5;0;0
2020-09-11 03:15:00;4;5;3;2;0;6;2;1;0
2020-09-11 03:30:00;2;2;5;1;1;2;2;0;1
2020-09-11 03:45:00;7;3;0;0;0;10;4;0;0
2020-09-11 04:00:00;10;4;3;1;0;8;3;1;2
2020-09-11 04:15:00;6;7;6;3;2;11;7;0;0
2020-09-11 04:30:00;8;8;6;2;0;12;3;0;1
2020-09-11 04:45:00;13;13;12;2;0;21;15;0;0
2020-09-11 05:00:00;25;11;8;2;0;20;10;1;1
2020-09-11 05:15:00;34;15;23;7;0;37;18;1;3
2020-09-11 05:30:00;26;16;35;8;3;38;37;3;8
2020-09-11 05:45:00;42;27;38;10;4;57;44;4;11
2020-09-11 06:00:00;34;28;42;16;7;53;35;2;8
2020-09-11 06:15:00;47;53;56;9;4;76;54;8;10
2020-09-11 06:30:00;44;50;58;13;9;66;53;5;9
2020-09-11 06:45:00;77;66;75;18;10;87;88;5;9
2020-09-11 07:00:00;93;130;72;22;10;84;64;3;7
2020-09-11 07:15:00;104;167;91;13;10;71;71;8;15
2020-09-11 07:30:00;113;149;68;21;14;84;80;26;33
2020-09-11 07:45:00;98;89;67;19;16;96;97;14;22
2020-09-11 08:00:00;79;78;74;16;11;93;93;18;21
2020-09-11 08:15:00;68;94;81;15;15;64;67;9;15
2020-09-11 08:30:00;87;80;72;19;15;74;60;7;12
2020-09-11 08:45:00;65;84;74;27;15;88;54;8;14
2020-09-11 09:00:00;62;70;88;21;11;88;81;8;16
2020-09-11 09:15:00;91;94;71;20;15;93;65;15;21
2020-09-11 09:30:00;72;81;76;27;9;89;82;13;18
2020-09-11 09:45:00;75;80;74;22;12;108;80;13;18
2020-09-11 10:00:00;71;65;72;9;12;115;72;13;18
2020-09-11 10:15:00;75;91;75;22;11;94;69;15;17
2020-09-11 10:30:00;79;79;78;20;16;95;64;18;23
2020-09-11 10:45:00;88;113;90;25;14;95;89;12;16
2020-09-11 11:00:00;101;104;78;17;21;108;68;50;20
2020-09-11 11:15:00;103;82;68;22;14;98;73;17;20
2020-09-11 11:30:00;90;111;64;27;13;107;84;13;18
2020-09-11 11:45:00;106;109;79;24;16;102;86;14;21
2020-09-11 12:00:00;93;107;76;24;15;100;98;23;37
2020-09-11 12:15:00;89;97;93;18;12;92;97;11;22
2020-09-11 12:30:00;92;104;84;26;14;131;96;16;24
2020-09-11 12:45:00;100;131;90;33;19;105;78;19;18
2020-09-11 13:00:00;81;110;84;25;14;113;98;17;24
2020-09-11 13:15:00;93;117;89;28;15;114;122;12;19
2020-09-11 13:30:00;87;116;97;26;11;113;105;10;16
2020-09-11 13:45:00;94;99;81;28;12;104;102;7;14
2020-09-11 14:00:00;88;103;90;21;16;105;109;17;48
2020-09-11 14:15:00;80;123;84;31;16;119;111;17;24
2020-09-11 14:30:00;98;125;86;29;14;108;93;12;20
2020-09-11 14:45:00;102;123;88;30;11;126;104;8;20
2020-09-11 15:00:00;91;111;78;38;16;123;103;17;20
2020-09-11 15:15:00;103;112;96;34;12;107;99;14;18
2020-09-11 15:30:00;102;119;74;25;15;109;93;18;20
2020-09-11 15:45:00;94;105;82;32;12;100;96;10;15
2020-09-11 16:00:00;96;107;66;27;11;113;115;16;23
2020-09-11 16:15:00;98;124;85;24;11;123;107;16;25
2020-09-11 16:30:00;97;119;77;25;11;102;109;13;22
2020-09-11 16:45:00;105;127;78;37;20;93;84;18;23
2020-09-11 17:00:00;104;130;71;34;11;113;94;25;30
2020-09-11 17:15:00;95;124;89;33;15;108;96;11;19
2020-09-11 17:30:00;99;116;82;27;12;96;95;33;14
2020-09-11 17:45:00;104;127;75;26;11;97;73;13;18
2020-09-11 18:00:00;106;128;80;35;12;88;85;14;17
2020-09-11 18:15:00;69;81;71;30;11;80;71;7;20
2020-09-11 18:30:00;82;98;63;22;11;86;57;9;13
2020-09-11 18:45:00;74;98;72;27;20;88;66;14;15
2020-09-11 19:00:00;80;79;60;22;9;75;62;8;15
2020-09-11 19:15:00;78;96;84;20;15;58;57;9;11
2020-09-11 19:30:00;67;71;55;20;9;65;50;12;71
2020-09-11 19:45:00;61;91;56;22;14;65;41;11;18
2020-09-11 20:00:00;57;69;41;18;18;64;38;10;9
2020-09-11 20:15:00;46;63;44;17;11;63;29;5;6
2020-09-11 20:30:00;70;73;46;19;13;43;31;4;9
2020-09-11 20:45:00;38;47;39;10;14;44;35;4;8
2020-09-11 21:00:00;41;36;29;9;7;53;24;6;9
2020-09-11 21:15:00;33;50;47;14;8;54;32;5;7
2020-09-11 21:30:00;38;32;27;8;8;56;20;1;3
2020-09-11 21:45:00;36;37;31;8;3;52;27;3;4
2020-09-11 22:00:00;38;35;30;7;4;45;27;6;6
2020-09-11 22:15:00;35;32;36;11;7;34;21;1;5
2020-09-11 22:30:00;18;15;19;6;10;34;22;0;1
2020-09-11 22:45:00;19;19;16;4;2;29;13;4;4
2020-09-11 23:00:00;27;31;30;8;7;29;25;6;10
2020-09-11 23:15:00;38;25;21;7;1;26;22;4;5
2020-09-11 23:30:00;24;20;13;3;0;22;17;3;5
2020-09-11 23:45:00;16;17;18;6;6;24;14;1;5
