DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2020-09-07 00:00:00;14;9;7;5;0;3;4;0;0
2020-09-07 00:15:00;20;6;6;3;1;8;8;3;3
2020-09-07 00:30:00;5;10;8;3;2;10;4;0;0
2020-09-07 00:45:00;6;7;5;3;2;5;4;1;1
2020-09-07 01:00:00;6;5;4;1;2;5;4;0;0
2020-09-07 01:15:00;3;5;4;0;0;5;2;1;1
2020-09-07 01:30:00;2;5;4;2;0;4;4;0;0
2020-09-07 01:45:00;3;3;5;2;0;4;6;0;0
2020-09-07 02:00:00;8;8;12;2;2;6;8;0;1
2020-09-07 02:15:00;1;1;5;2;0;6;7;0;1
2020-09-07 02:30:00;2;5;3;2;1;8;2;1;1
2020-09-07 02:45:00;2;3;5;2;3;5;4;0;0
2020-09-07 03:00:00;4;5;4;1;0;5;2;0;0
2020-09-07 03:15:00;1;1;2;1;2;4;3;0;0
2020-09-07 03:30:00;4;2;6;4;0;4;4;0;1
2020-09-07 03:45:00;1;3;6;2;2;6;2;0;0
2020-09-07 04:00:00;3;5;2;2;1;10;5;1;1
2020-09-07 04:15:00;9;5;4;1;0;10;7;1;2
2020-09-07 04:30:00;8;4;3;0;0;13;6;1;0
2020-09-07 04:45:00;19;7;12;3;0;27;12;3;3
2020-09-07 05:00:00;30;16;13;6;1;25;16;2;4
2020-09-07 05:15:00;40;20;20;7;2;40;26;1;3
2020-09-07 05:30:00;39;24;28;8;2;46;30;2;6
2020-09-07 05:45:00;55;38;45;16;4;53;51;7;9
2020-09-07 06:00:00;48;32;34;9;11;55;29;4;8
2020-09-07 06:15:00;70;46;58;13;3;65;54;9;20
2020-09-07 06:30:00;73;67;57;13;7;68;63;9;19
2020-09-07 06:45:00;94;94;92;15;7;89;85;10;18
2020-09-07 07:00:00;102;115;78;21;12;87;77;8;12
2020-09-07 07:15:00;83;124;80;20;9;73;69;9;16
2020-09-07 07:30:00;107;140;94;20;13;89;74;12;19
2020-09-07 07:45:00;97;104;77;19;14;96;93;9;26
2020-09-07 08:00:00;78;95;80;16;11;87;73;16;24
2020-09-07 08:15:00;90;91;82;20;10;85;75;21;19
2020-09-07 08:30:00;110;107;97;26;14;106;92;20;32
2020-09-07 08:45:00;61;72;56;14;10;82;59;12;13
2020-09-07 09:00:00;80;88;83;29;16;84;68;16;25
2020-09-07 09:15:00;67;88;69;16;7;96;86;9;21
2020-09-07 09:30:00;77;78;58;17;16;102;53;14;16
2020-09-07 09:45:00;77;85;86;17;14;89;81;12;23
2020-09-07 10:00:00;76;73;68;23;10;84;57;11;12
2020-09-07 10:15:00;92;95;82;17;16;97;75;10;11
2020-09-07 10:30:00;95;102;88;16;6;94;63;13;14
2020-09-07 10:45:00;93;97;72;32;15;121;99;13;13
2020-09-07 11:00:00;84;69;96;23;11;119;82;122;16
2020-09-07 11:15:00;105;109;90;22;15;80;64;20;19
2020-09-07 11:30:00;99;116;94;26;13;104;92;19;24
2020-09-07 11:45:00;95;92;81;20;10;92;79;10;17
2020-09-07 12:00:00;109;108;102;31;14;100;74;9;14
2020-09-07 12:15:00;88;101;79;19;12;92;79;21;19
2020-09-07 12:30:00;90;93;70;21;9;103;79;10;16
2020-09-07 12:45:00;88;98;79;27;12;91;82;14;17
2020-09-07 13:00:00;79;74;90;19;11;99;77;9;15
2020-09-07 13:15:00;107;79;77;21;12;87;93;10;67
2020-09-07 13:30:00;107;96;67;21;10;107;78;9;9
2020-09-07 13:45:00;94;109;84;25;13;106;95;5;16
2020-09-07 14:00:00;88;112;86;21;12;113;91;12;9
2020-09-07 14:15:00;102;126;102;32;14;88;76;15;23
2020-09-07 14:30:00;90;108;88;28;12;129;96;18;17
2020-09-07 14:45:00;114;125;105;41;19;113;100;21;17
2020-09-07 15:00:00;93;122;109;33;15;117;96;13;19
2020-09-07 15:15:00;102;126;87;37;12;92;88;12;13
2020-09-07 15:30:00;101;129;90;34;12;120;98;21;17
2020-09-07 15:45:00;119;128;89;26;13;113;105;11;18
2020-09-07 16:00:00;94;124;89;29;17;108;112;19;24
2020-09-07 16:15:00;122;142;96;28;11;130;112;12;16
2020-09-07 16:30:00;130;142;83;27;12;102;99;19;24
2020-09-07 16:45:00;127;140;91;47;15;128;130;25;25
2020-09-07 17:00:00;121;155;102;46;12;114;110;14;25
2020-09-07 17:15:00;141;156;72;41;13;118;131;18;26
2020-09-07 17:30:00;111;121;66;33;15;91;80;8;225
2020-09-07 17:45:00;95;132;78;32;16;104;94;20;20
2020-09-07 18:00:00;117;141;79;34;15;87;108;12;20
2020-09-07 18:15:00;85;119;79;28;14;78;85;11;20
2020-09-07 18:30:00;78;79;67;27;17;76;65;12;19
2020-09-07 18:45:00;73;86;76;26;15;87;77;15;16
2020-09-07 19:00:00;65;71;62;19;13;73;62;11;22
2020-09-07 19:15:00;66;76;60;26;12;69;59;13;14
2020-09-07 19:30:00;59;62;45;17;14;58;45;8;13
2020-09-07 19:45:00;52;57;43;23;18;55;32;9;13
2020-09-07 20:00:00;57;59;47;17;13;47;35;5;12
2020-09-07 20:15:00;43;56;40;19;15;48;42;5;11
2020-09-07 20:30:00;35;48;34;17;10;39;32;6;16
2020-09-07 20:45:00;45;32;37;11;11;47;25;1;4
2020-09-07 21:00:00;38;29;34;12;8;47;37;10;12
2020-09-07 21:15:00;38;38;39;16;4;36;28;5;7
2020-09-07 21:30:00;28;31;25;10;5;33;20;5;7
2020-09-07 21:45:00;42;47;45;27;7;57;44;25;25
2020-09-07 22:00:00;36;29;35;24;6;51;38;19;18
2020-09-07 22:15:00;33;37;37;23;8;50;36;15;14
2020-09-07 22:30:00;38;31;30;18;3;34;28;15;15
2020-09-07 22:45:00;32;33;31;20;3;29;17;11;12
2020-09-07 23:00:00;20;27;21;8;4;16;8;4;8
2020-09-07 23:15:00;23;17;12;8;2;24;13;7;6
2020-09-07 23:30:00;17;24;25;10;3;20;9;6;7
2020-09-07 23:45:00;8;14;17;3;1;7;8;1;3
