DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(MPF2B01);7(MPF2B02);8(MPF2B03);9(MPF2B04);10(MPF2B05);11(MPF2B06);12(MPF2B07);13(MPF2B08);14(MPF2B09);15(MPF2B10);16(MPF2B11);17(MPF2B12);18(MPF2B13);19(MPF2B14)
2019-10-19 00:00:00;34;27;0;16;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 00:15:00;34;23;1;22;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 00:30:00;24;17;0;14;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 00:45:00;22;12;1;15;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 01:00:00;17;22;0;12;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 01:15:00;16;15;0;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 01:30:00;26;13;0;20;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 01:45:00;15;8;0;5;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 02:00:00;19;13;0;10;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 02:15:00;19;8;0;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 02:30:00;6;10;0;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 02:45:00;10;9;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 03:00:00;16;19;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 03:15:00;7;5;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 03:30:00;5;2;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 03:45:00;9;7;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 04:00:00;4;3;0;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 04:15:00;11;11;0;11;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 04:30:00;16;8;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 04:45:00;17;9;6;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 05:00:00;15;15;0;10;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 05:15:00;25;18;0;7;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 05:30:00;40;40;0;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 05:45:00;25;22;0;29;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 06:00:00;34;22;0;33;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 06:15:00;25;20;1;20;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 06:30:00;46;31;0;25;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 06:45:00;31;30;1;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 07:00:00;35;20;0;16;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 07:15:00;42;35;0;29;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 07:30:00;43;44;2;34;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 07:45:00;64;59;2;55;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 08:00:00;44;44;0;37;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 08:15:00;62;57;3;55;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 08:30:00;71;65;0;44;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 08:45:00;98;91;1;60;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 09:00:00;71;76;0;39;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 09:15:00;85;84;1;59;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 09:30:00;110;101;3;71;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 09:45:00;121;103;0;82;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 10:00:00;134;136;1;96;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 10:15:00;130;135;0;70;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 10:30:00;135;133;0;92;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 10:45:00;120;117;0;101;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 11:00:00;152;123;0;98;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 11:15:00;137;127;0;101;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 11:30:00;126;121;0;89;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 11:45:00;133;124;1;110;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 12:00:00;135;118;1;103;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 12:15:00;152;153;0;89;193;0;0;0;0;0;0;0;0;0;0;0;0;0;0
