DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(MPF2B01);7(MPF2B02);8(MPF2B03);9(MPF2B04);10(MPF2B05);11(MPF2B06);12(MPF2B07);13(MPF2B08);14(MPF2B09);15(MPF2B10);16(MPF2B11);17(MPF2B12);18(MPF2B13);19(MPF2B14)
2019-10-23 00:00:00;18;12;2;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 00:15:00;14;9;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 00:30:00;10;3;0;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 00:45:00;12;11;2;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 01:00:00;10;10;0;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 01:15:00;4;3;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 01:30:00;10;8;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 01:45:00;10;8;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 02:00:00;6;7;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 02:15:00;4;7;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 02:30:00;6;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 02:45:00;5;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 03:00:00;6;10;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 03:15:00;7;5;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 03:30:00;4;4;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 03:45:00;9;5;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 04:00:00;5;6;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 04:15:00;7;7;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 04:30:00;24;8;0;8;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 04:45:00;38;17;0;16;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 05:00:00;83;83;0;19;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 05:15:00;68;76;0;18;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 05:30:00;102;118;0;33;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 05:45:00;100;129;0;39;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 06:00:00;104;102;0;66;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 06:15:00;113;135;1;47;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 06:30:00;141;152;0;60;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 06:45:00;167;192;1;78;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 07:00:00;115;158;1;52;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 07:15:00;200;243;0;87;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 07:30:00;142;179;2;113;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 07:45:00;192;220;0;121;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 08:00:00;159;209;3;102;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 08:15:00;155;201;0;106;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 08:30:00;128;147;0;80;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 08:45:00;139;145;2;80;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 09:00:00;126;129;3;72;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 09:15:00;108;99;3;80;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 09:30:00;121;124;3;97;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 09:45:00;121;117;3;77;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 10:00:00;134;136;2;90;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 10:15:00;113;108;0;71;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 10:30:00;107;111;1;73;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 10:45:00;145;126;1;95;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 11:00:00;116;114;1;89;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 11:15:00;118;151;0;100;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 11:30:00;121;129;1;95;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 11:45:00;109;116;5;100;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 12:00:00;109;110;1;102;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 12:15:00;131;129;6;95;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 12:30:00;111;125;5;108;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 12:45:00;122;143;4;97;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 13:00:00;125;140;1;96;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 13:15:00;136;144;3;114;158;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 13:30:00;154;158;2;100;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 13:45:00;121;155;1;107;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 14:00:00;145;152;0;133;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 14:15:00;114;126;0;117;189;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 14:30:00;122;109;1;110;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-23 14:45:00;131;133;5;144;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0
