DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(MPF2B01);7(MPF2B02);8(MPF2B03);9(MPF2B04);10(MPF2B05);11(MPF2B06);12(MPF2B07);13(MPF2B08);14(MPF2B09);15(MPF2B10);16(MPF2B11);17(MPF2B12);18(MPF2B13);19(MPF2B14)
2020-10-12 00:00:00;9;3;0;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 00:15:00;15;11;0;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 00:30:00;10;10;0;5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 00:45:00;8;5;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 01:00:00;7;4;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 01:15:00;6;6;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 01:30:00;11;6;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 01:45:00;4;4;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 02:00:00;2;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 02:15:00;9;6;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 02:30:00;4;1;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 02:45:00;7;6;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 03:00:00;7;2;0;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 03:15:00;4;2;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 03:30:00;4;6;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 03:45:00;4;1;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 04:00:00;6;11;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 04:15:00;13;7;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 04:30:00;25;17;0;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 04:45:00;31;31;0;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 05:00:00;65;62;0;19;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 05:15:00;92;86;0;17;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 05:30:00;102;129;0;19;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 05:45:00;90;94;0;33;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 06:00:00;88;93;0;42;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 06:15:00;97;105;1;34;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 06:30:00;135;153;0;44;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 06:45:00;131;129;1;52;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 07:00:00;146;162;0;59;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 07:15:00;138;158;0;94;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 07:30:00;185;221;0;134;184;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 07:45:00;152;196;0;100;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 08:00:00;152;211;0;94;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 08:15:00;145;170;0;77;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 08:30:00;137;176;1;74;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 08:45:00;128;147;5;104;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 09:00:00;93;104;2;71;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 09:15:00;143;124;0;73;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 09:30:00;119;102;0;83;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 09:45:00;131;156;0;93;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 10:00:00;119;133;0;65;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 10:15:00;102;121;2;92;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 10:30:00;134;145;1;83;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 10:45:00;126;110;0;77;158;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 11:00:00;134;135;1;92;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 11:15:00;133;110;0;81;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 11:30:00;116;129;1;118;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 11:45:00;107;105;0;74;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 12:00:00;125;120;0;90;173;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 12:15:00;132;123;2;111;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 12:30:00;123;117;3;92;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 12:45:00;142;159;1;122;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 13:00:00;108;121;0;77;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 13:15:00;133;168;1;90;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 13:30:00;140;148;2;75;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 13:45:00;132;172;1;107;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 14:00:00;125;124;2;96;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 14:15:00;115;119;2;114;168;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 14:30:00;144;133;0;139;216;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 14:45:00;128;144;9;130;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 15:00:00;134;163;3;125;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 15:15:00;137;131;4;110;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 15:30:00;164;173;1;154;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 15:45:00;128;134;1;112;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 16:00:00;136;150;2;131;213;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 16:15:00;161;167;3;168;272;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 16:30:00;157;160;1;141;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 16:45:00;159;145;6;205;279;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 17:00:00;141;174;12;163;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-12 17:15:00;157;173;4;165;284;0;0;0;0;0;0;0;0;0;0;0;0;0;0
