DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2019-08-20 00:00:00;15;6;3;7;1;3
2019-08-20 00:15:00;13;9;4;9;1;4
2019-08-20 00:30:00;14;2;8;4;0;0
2019-08-20 00:45:00;14;5;2;6;0;3
2019-08-20 01:00:00;17;1;4;10;0;3
2019-08-20 01:15:00;9;1;6;10;0;3
2019-08-20 01:30:00;5;1;2;4;1;0
2019-08-20 01:45:00;4;3;0;4;0;0
2019-08-20 02:00:00;10;0;2;6;1;2
2019-08-20 02:15:00;10;3;2;4;1;2
2019-08-20 02:30:00;13;1;1;7;1;0
2019-08-20 02:45:00;4;1;3;3;0;2
2019-08-20 03:00:00;2;2;4;8;1;1
2019-08-20 03:15:00;8;2;2;4;0;0
2019-08-20 03:30:00;5;7;0;7;0;3
2019-08-20 03:45:00;9;1;3;2;0;1
2019-08-20 04:00:00;13;1;3;7;0;2
2019-08-20 04:15:00;7;5;3;7;0;4
2019-08-20 04:30:00;16;8;6;16;2;2
2019-08-20 04:45:00;18;5;6;13;0;2
2019-08-20 05:00:00;32;6;9;21;0;3
2019-08-20 05:15:00;52;40;11;23;1;5
2019-08-20 05:30:00;71;61;11;38;4;10
2019-08-20 05:45:00;84;74;22;48;2;14
2019-08-20 06:00:00;75;56;24;51;3;9
2019-08-20 06:15:00;95;85;33;61;5;16
2019-08-20 06:30:00;118;109;36;64;0;15
2019-08-20 06:45:00;114;112;31;82;8;22
2019-08-20 07:00:00;95;98;29;74;15;30
2019-08-20 07:15:00;114;122;41;89;13;31
2019-08-20 07:30:00;119;117;55;115;10;40
2019-08-20 07:45:00;116;131;58;96;8;33
2019-08-20 08:00:00;109;103;49;97;10;35
2019-08-20 08:15:00;99;102;55;87;11;32
2019-08-20 08:30:00;108;101;50;103;6;37
2019-08-20 08:45:00;94;101;53;91;8;35
2019-08-20 09:00:00;85;92;47;90;13;29
2019-08-20 09:15:00;106;77;55;103;9;24
2019-08-20 09:30:00;107;82;56;100;10;25
2019-08-20 09:45:00;125;93;83;130;10;35
2019-08-20 10:00:00;108;87;68;111;10;29
2019-08-20 10:15:00;117;82;67;111;10;25
2019-08-20 10:30:00;112;89;63;117;12;33
2019-08-20 10:45:00;125;103;91;123;15;34
2019-08-20 11:00:00;117;88;71;116;14;32
2019-08-20 11:15:00;117;86;72;120;12;33
2019-08-20 11:30:00;129;97;82;119;16;44
2019-08-20 11:45:00;130;82;68;131;13;46
2019-08-20 12:00:00;117;99;66;137;15;36
2019-08-20 12:15:00;109;66;67;129;14;27
2019-08-20 12:30:00;116;86;61;130;13;35
2019-08-20 12:45:00;119;99;76;137;18;32
2019-08-20 13:00:00;103;86;61;129;16;41
2019-08-20 13:15:00;134;102;66;132;20;32
2019-08-20 13:30:00;133;113;74;141;9;38
2019-08-20 13:45:00;120;104;80;131;8;31
2019-08-20 14:00:00;135;94;85;158;13;33
2019-08-20 14:15:00;121;83;83;142;14;36
2019-08-20 14:30:00;133;102;99;156;18;43
2019-08-20 14:45:00;117;104;98;160;16;39
2019-08-20 15:00:00;124;96;89;163;7;38
2019-08-20 15:15:00;132;84;79;158;16;27
2019-08-20 15:30:00;150;108;118;179;20;42
2019-08-20 15:45:00;152;100;123;199;17;36
2019-08-20 16:00:00;148;121;121;205;13;42
2019-08-20 16:15:00;137;109;112;196;13;34
2019-08-20 16:30:00;174;118;122;216;20;40
2019-08-20 16:45:00;145;115;133;211;26;44
2019-08-20 17:00:00;146;122;106;192;15;45
2019-08-20 17:15:00;143;122;108;192;23;42
2019-08-20 17:30:00;136;100;100;187;26;43
2019-08-20 17:45:00;123;102;103;152;19;56
2019-08-20 18:00:00;130;102;98;165;16;33
2019-08-20 18:15:00;116;82;83;135;22;42
2019-08-20 18:30:00;122;79;86;103;12;31
2019-08-20 18:45:00;100;77;67;108;15;40
2019-08-20 19:00:00;120;80;67;114;17;45
2019-08-20 19:15:00;92;53;61;100;11;23
2019-08-20 19:30:00;87;63;49;76;10;25
2019-08-20 19:45:00;91;52;44;73;12;36
2019-08-20 20:00:00;58;45;51;69;8;16
2019-08-20 20:15:00;65;37;43;66;1;10
2019-08-20 20:30:00;79;41;37;44;2;7
2019-08-20 20:45:00;69;27;31;75;7;15
2019-08-20 21:00:00;68;33;33;61;5;13
2019-08-20 21:15:00;48;26;29;39;6;10
2019-08-20 21:30:00;53;21;30;48;3;8
2019-08-20 21:45:00;48;23;38;35;2;5
2019-08-20 22:00:00;50;15;30;47;4;5
2019-08-20 22:15:00;37;12;15;45;4;10
2019-08-20 22:30:00;38;19;22;30;0;2
2019-08-20 22:45:00;34;13;10;16;3;6
2019-08-20 23:00:00;31;11;14;22;1;2
2019-08-20 23:15:00;19;14;15;22;2;1
2019-08-20 23:30:00;24;4;16;16;0;5
2019-08-20 23:45:00;19;7;9;17;0;1
