DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2019-11-19 00:00:00;7;4;7;5;0;0
2019-11-19 00:15:00;9;1;10;7;1;2
2019-11-19 00:30:00;15;3;6;8;0;0
2019-11-19 00:45:00;8;0;2;4;1;1
2019-11-19 01:00:00;6;0;2;5;0;1
2019-11-19 01:15:00;2;1;8;4;1;1
2019-11-19 01:30:00;17;1;5;4;0;0
2019-11-19 01:45:00;8;0;5;4;1;0
2019-11-19 02:00:00;4;1;1;5;0;2
2019-11-19 02:15:00;10;1;4;5;0;1
2019-11-19 02:30:00;9;2;5;9;0;0
2019-11-19 02:45:00;7;1;1;5;0;0
2019-11-19 03:00:00;9;1;4;8;0;1
2019-11-19 03:15:00;6;1;2;4;2;0
2019-11-19 03:30:00;4;2;2;2;0;0
2019-11-19 03:45:00;8;2;6;5;1;1
2019-11-19 04:00:00;7;1;3;8;1;1
2019-11-19 04:15:00;17;6;6;10;0;2
2019-11-19 04:30:00;19;8;6;14;0;8
2019-11-19 04:45:00;34;17;7;16;0;5
2019-11-19 05:00:00;62;46;16;21;2;9
2019-11-19 05:15:00;96;71;12;28;3;14
2019-11-19 05:30:00;98;91;24;75;3;17
2019-11-19 05:45:00;100;94;39;104;5;11
2019-11-19 06:00:00;98;85;52;107;4;7
2019-11-19 06:15:00;123;113;51;118;6;14
2019-11-19 06:30:00;138;150;61;123;8;8
2019-11-19 06:45:00;133;148;59;120;6;25
2019-11-19 07:00:00;151;177;50;109;8;30
2019-11-19 07:15:00;174;198;80;133;12;37
2019-11-19 07:30:00;152;157;83;127;9;40
2019-11-19 07:45:00;
2019-11-19 08:00:00;
2019-11-19 08:15:00;
2019-11-19 08:30:00;
2019-11-19 08:45:00;
2019-11-19 09:00:00;
2019-11-19 09:15:00;43;40;29;39;4;14
2019-11-19 09:30:00;134;103;79;140;11;32
2019-11-19 09:45:00;154;130;91;122;16;28
2019-11-19 10:00:00;126;107;74;108;10;27
2019-11-19 10:15:00;133;99;84;117;13;31
2019-11-19 10:30:00;129;96;86;127;9;44
2019-11-19 10:45:00;152;112;70;143;18;43
2019-11-19 11:00:00;117;113;89;141;25;36
2019-11-19 11:15:00;132;97;82;137;24;44
2019-11-19 11:30:00;133;114;77;148;22;40
2019-11-19 11:45:00;129;104;90;123;13;43
2019-11-19 12:00:00;125;105;93;147;27;37
2019-11-19 12:15:00;129;106;86;122;12;54
2019-11-19 12:30:00;127;106;90;152;14;47
2019-11-19 12:45:00;136;107;92;162;19;41
2019-11-19 13:00:00;134;119;86;147;12;45
2019-11-19 13:15:00;145;134;88;166;10;35
2019-11-19 13:30:00;155;148;81;163;13;38
2019-11-19 13:45:00;143;139;101;154;15;38
2019-11-19 14:00:00;154;120;102;179;17;43
2019-11-19 14:15:00;134;91;92;178;17;36
2019-11-19 14:30:00;141;123;123;199;18;36
2019-11-19 14:45:00;142;118;118;197;20;37
2019-11-19 15:00:00;121;109;104;197;16;30
2019-11-19 15:15:00;153;121;136;204;15;48
2019-11-19 15:30:00;157;134;137;228;16;49
2019-11-19 15:45:00;154;125;158;236;22;53
2019-11-19 16:00:00;155;148;157;227;22;42
2019-11-19 16:15:00;166;155;166;248;21;39
2019-11-19 16:30:00;174;157;163;240;28;51
2019-11-19 16:45:00;161;145;200;240;28;53
2019-11-19 17:00:00;161;163;150;232;23;54
2019-11-19 17:15:00;175;168;154;235;25;52
2019-11-19 17:30:00;155;145;160;229;20;44
2019-11-19 17:45:00;149;116;137;218;36;56
2019-11-19 18:00:00;122;112;118;185;20;38
2019-11-19 18:15:00;154;128;104;187;22;52
2019-11-19 18:30:00;149;130;105;186;22;43
2019-11-19 18:45:00;129;97;99;168;14;38
2019-11-19 19:00:00;132;95;93;137;22;37
2019-11-19 19:15:00;119;82;86;157;23;34
2019-11-19 19:30:00;120;81;87;105;15;36
2019-11-19 19:45:00;107;67;52;77;8;36
2019-11-19 20:00:00;106;78;51;80;13;26
2019-11-19 20:15:00;75;60;58;87;9;16
2019-11-19 20:30:00;73;35;55;69;11;11
2019-11-19 20:45:00;72;52;44;60;6;13
2019-11-19 21:00:00;109;72;45;73;7;14
2019-11-19 21:15:00;84;60;56;52;4;12
2019-11-19 21:30:00;76;54;44;53;9;8
2019-11-19 21:45:00;58;41;71;96;3;4
2019-11-19 22:00:00;61;35;80;121;13;7
2019-11-19 22:15:00;48;37;71;109;11;12
2019-11-19 22:30:00;57;32;25;45;4;6
2019-11-19 22:45:00;49;14;15;36;5;4
2019-11-19 23:00:00;32;8;15;26;4;5
2019-11-19 23:15:00;33;18;13;24;4;5
2019-11-19 23:30:00;26;9;13;25;2;2
2019-11-19 23:45:00;25;6;11;15;1;3
