DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2020-12-03 00:00:00;3;6;8;3;0;2
2020-12-03 00:15:00;5;5;5;10;1;2
2020-12-03 00:30:00;8;3;4;6;1;0
2020-12-03 00:45:00;6;3;4;5;0;2
2020-12-03 01:00:00;5;1;0;3;1;0
2020-12-03 01:15:00;10;1;6;6;0;1
2020-12-03 01:30:00;7;3;3;2;0;0
2020-12-03 01:45:00;7;1;2;1;1;0
2020-12-03 02:00:00;6;0;2;2;0;1
2020-12-03 02:15:00;9;2;2;2;0;0
2020-12-03 02:30:00;3;0;3;1;0;2
2020-12-03 02:45:00;5;1;2;8;0;1
2020-12-03 03:00:00;6;1;3;1;0;0
2020-12-03 03:15:00;3;2;0;4;0;0
2020-12-03 03:30:00;7;2;2;5;0;1
2020-12-03 03:45:00;3;0;1;6;1;0
2020-12-03 04:00:00;9;1;2;6;1;2
2020-12-03 04:15:00;12;5;4;11;0;2
2020-12-03 04:30:00;19;10;2;14;0;8
2020-12-03 04:45:00;33;9;9;20;1;4
2020-12-03 05:00:00;73;59;11;23;0;10
2020-12-03 05:15:00;69;62;9;32;1;11
2020-12-03 05:30:00;83;84;29;46;4;9
2020-12-03 05:45:00;80;72;34;70;2;8
2020-12-03 06:00:00;58;56;44;103;5;8
2020-12-03 06:15:00;95;86;36;91;10;17
2020-12-03 06:30:00;118;95;36;81;14;27
2020-12-03 06:45:00;111;124;51;93;20;21
2020-12-03 07:00:00;127;120;44;89;14;33
2020-12-03 07:15:00;155;135;72;119;6;40
2020-12-03 07:30:00;153;164;101;153;17;56
2020-12-03 07:45:00;178;182;94;148;12;37
2020-12-03 08:00:00;159;149;55;115;17;35
2020-12-03 08:15:00;112;82;59;97;10;45
2020-12-03 08:30:00;119;97;70;128;19;34
2020-12-03 08:45:00;119;112;60;89;8;37
2020-12-03 09:00:00;88;72;61;97;5;27
2020-12-03 09:15:00;112;74;63;99;14;25
2020-12-03 09:30:00;125;93;75;111;11;31
2020-12-03 09:45:00;126;100;69;133;16;39
2020-12-03 10:00:00;107;86;54;116;13;35
2020-12-03 10:15:00;113;99;74;109;10;30
2020-12-03 10:30:00;140;100;56;115;10;32
2020-12-03 10:45:00;123;111;78;123;10;45
2020-12-03 11:00:00;121;104;76;119;16;39
2020-12-03 11:15:00;124;113;70;138;10;41
2020-12-03 11:30:00;142;122;77;127;14;50
2020-12-03 11:45:00;123;108;81;128;13;28
2020-12-03 12:00:00;101;103;94;142;18;39
2020-12-03 12:15:00;128;113;78;135;23;50
2020-12-03 12:30:00;133;83;67;134;13;44
2020-12-03 12:45:00;133;101;88;154;19;45
2020-12-03 13:00:00;140;135;79;145;14;35
2020-12-03 13:15:00;149;153;101;164;16;41
2020-12-03 13:30:00;136;147;92;155;12;42
2020-12-03 13:45:00;153;141;82;150;17;54
2020-12-03 14:00:00;142;124;99;168;21;40
2020-12-03 14:15:00;147;118;130;207;15;45
2020-12-03 14:30:00;150;116;117;211;19;49
2020-12-03 14:45:00;125;109;134;214;16;49
2020-12-03 15:00:00;126;106;121;197;25;57
2020-12-03 15:15:00;151;124;130;203;20;50
2020-12-03 15:30:00;138;120;142;214;20;51
2020-12-03 15:45:00;144;132;130;227;20;57
2020-12-03 16:00:00;153;125;133;199;11;54
2020-12-03 16:15:00;170;137;124;255;35;46
2020-12-03 16:30:00;147;142;132;225;17;49
2020-12-03 16:45:00;152;131;130;198;19;54
2020-12-03 17:00:00;155;142;115;205;24;44
2020-12-03 17:15:00;145;115;120;209;22;42
2020-12-03 17:30:00;130;107;105;212;19;54
2020-12-03 17:45:00;118;109;83;162;26;46
2020-12-03 18:00:00;130;104;68;150;18;43
2020-12-03 18:15:00;129;89;67;132;20;42
2020-12-03 18:30:00;108;83;71;134;24;41
2020-12-03 18:45:00;96;68;63;118;14;34
2020-12-03 19:00:00;96;62;46;101;15;26
2020-12-03 19:15:00;91;70;44;89;17;45
2020-12-03 19:30:00;75;56;51;79;13;31
2020-12-03 19:45:00;60;38;36;61;8;33
2020-12-03 20:00:00;73;44;46;56;6;14
2020-12-03 20:15:00;60;32;40;55;4;8
2020-12-03 20:30:00;59;38;38;59;6;13
2020-12-03 20:45:00;63;43;34;43;5;14
2020-12-03 21:00:00;79;54;28;30;3;10
2020-12-03 21:15:00;66;48;16;30;9;11
2020-12-03 21:30:00;46;35;27;45;2;8
2020-12-03 21:45:00;36;22;52;69;4;5
2020-12-03 22:00:00;36;16;37;88;2;6
2020-12-03 22:15:00;33;16;32;66;3;3
2020-12-03 22:30:00;32;20;17;27;0;7
2020-12-03 22:45:00;34;13;14;23;1;2
2020-12-03 23:00:00;27;12;3;11;3;4
2020-12-03 23:15:00;18;8;6;17;0;1
2020-12-03 23:30:00;17;7;4;10;1;3
2020-12-03 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
