DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2020-01-20 00:00:00;15;3;4;14;3;2
2020-01-20 00:15:00;17;2;5;12;2;3
2020-01-20 00:30:00;13;4;4;4;0;0
2020-01-20 00:45:00;11;3;5;5;0;2
2020-01-20 01:00:00;10;0;4;8;1;0
2020-01-20 01:15:00;12;2;3;2;0;1
2020-01-20 01:30:00;4;2;3;6;0;2
2020-01-20 01:45:00;8;2;4;4;1;3
2020-01-20 02:00:00;3;0;2;4;0;0
2020-01-20 02:15:00;7;0;1;5;0;2
2020-01-20 02:30:00;7;1;3;1;0;0
2020-01-20 02:45:00;11;1;5;1;0;2
2020-01-20 03:00:00;6;2;4;8;0;0
2020-01-20 03:15:00;11;3;4;7;1;2
2020-01-20 03:30:00;8;4;2;6;1;0
2020-01-20 03:45:00;5;2;4;8;0;0
2020-01-20 04:00:00;6;4;3;5;0;4
2020-01-20 04:15:00;14;2;4;11;0;2
2020-01-20 04:30:00;27;11;6;17;0;6
2020-01-20 04:45:00;40;18;6;19;1;5
2020-01-20 05:00:00;62;46;5;20;0;7
2020-01-20 05:15:00;90;80;13;30;1;10
2020-01-20 05:30:00;106;99;18;51;5;13
2020-01-20 05:45:00;105;93;27;60;3;17
2020-01-20 06:00:00;96;91;33;60;3;8
2020-01-20 06:15:00;113;97;27;88;3;20
2020-01-20 06:30:00;142;152;51;89;3;24
2020-01-20 06:45:00;122;135;60;97;6;21
2020-01-20 07:00:00;140;138;45;78;4;36
2020-01-20 07:15:00;156;157;72;106;9;42
2020-01-20 07:30:00;184;184;94;136;12;61
2020-01-20 07:45:00;183;206;99;158;15;63
2020-01-20 08:00:00;162;193;69;132;20;42
2020-01-20 08:15:00;138;157;70;123;15;49
2020-01-20 08:30:00;135;124;75;115;10;44
2020-01-20 08:45:00;135;127;70;127;8;29
2020-01-20 09:00:00;118;91;51;103;9;25
2020-01-20 09:15:00;127;102;53;100;9;33
2020-01-20 09:30:00;117;110;72;120;7;36
2020-01-20 09:45:00;131;113;84;118;13;26
2020-01-20 10:00:00;121;91;66;120;8;14
2020-01-20 10:15:00;107;90;80;127;11;34
2020-01-20 10:30:00;134;107;80;126;10;28
2020-01-20 10:45:00;122;83;77;136;16;39
2020-01-20 11:00:00;123;84;65;114;11;39
2020-01-20 11:15:00;113;87;87;124;18;40
2020-01-20 11:30:00;122;105;100;142;15;37
2020-01-20 11:45:00;121;90;84;154;15;49
2020-01-20 12:00:00;129;96;78;126;17;45
2020-01-20 12:15:00;139;101;75;143;14;42
2020-01-20 12:30:00;128;101;71;133;12;40
2020-01-20 12:45:00;124;108;68;145;16;46
2020-01-20 13:00:00;122;105;67;137;13;40
2020-01-20 13:15:00;138;141;88;153;9;52
2020-01-20 13:30:00;129;122;78;119;13;31
2020-01-20 13:45:00;139;118;102;162;16;50
2020-01-20 14:00:00;132;105;88;157;15;37
2020-01-20 14:15:00;136;108;120;189;13;32
2020-01-20 14:30:00;117;99;110;209;16;39
2020-01-20 14:45:00;123;113;127;209;16;45
2020-01-20 15:00:00;142;132;120;172;18;47
2020-01-20 15:15:00;140;117;117;193;18;42
2020-01-20 15:30:00;128;118;132;206;12;40
2020-01-20 15:45:00;143;120;133;216;23;55
2020-01-20 16:00:00;156;135;140;232;25;36
2020-01-20 16:15:00;152;132;160;252;26;55
2020-01-20 16:30:00;169;143;153;241;22;53
2020-01-20 16:45:00;154;129;147;231;39;57
2020-01-20 17:00:00;163;150;146;218;15;66
2020-01-20 17:15:00;175;154;164;221;37;65
2020-01-20 17:30:00;171;157;119;206;18;75
2020-01-20 17:45:00;145;119;110;171;22;63
2020-01-20 18:00:00;120;102;98;164;24;47
2020-01-20 18:15:00;144;104;111;164;18;38
2020-01-20 18:30:00;126;101;86;159;26;61
2020-01-20 18:45:00;97;80;82;141;16;35
2020-01-20 19:00:00;117;81;65;100;10;38
2020-01-20 19:15:00;103;75;63;95;17;30
2020-01-20 19:30:00;85;39;54;88;12;26
2020-01-20 19:45:00;87;62;40;56;5;29
2020-01-20 20:00:00;78;54;45;66;8;13
2020-01-20 20:15:00;74;39;46;76;6;17
2020-01-20 20:30:00;76;45;47;68;6;18
2020-01-20 20:45:00;82;55;38;52;8;11
2020-01-20 21:00:00;82;64;24;37;5;16
2020-01-20 21:15:00;65;57;34;53;0;6
2020-01-20 21:30:00;63;40;32;48;5;10
2020-01-20 21:45:00;35;27;53;89;6;5
2020-01-20 22:00:00;38;19;43;85;8;8
2020-01-20 22:15:00;33;13;37;88;2;7
2020-01-20 22:30:00;49;23;20;42;0;8
2020-01-20 22:45:00;33;17;16;26;3;5
2020-01-20 23:00:00;28;9;12;25;1;3
2020-01-20 23:15:00;26;9;13;16;1;4
2020-01-20 23:30:00;13;2;10;15;1;1
2020-01-20 23:45:00;10;5;6;8;0;3
