DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2020-07-18 00:00:00;25;11;12;25;2;4
2020-07-18 00:15:00;28;12;18;20;3;6
2020-07-18 00:30:00;25;12;15;24;3;6
2020-07-18 00:45:00;28;10;18;16;1;1
2020-07-18 01:00:00;19;6;8;11;1;2
2020-07-18 01:15:00;19;8;8;11;2;2
2020-07-18 01:30:00;20;5;9;10;3;6
2020-07-18 01:45:00;23;5;4;10;1;0
2020-07-18 02:00:00;21;7;4;8;1;3
2020-07-18 02:15:00;14;2;7;11;2;3
2020-07-18 02:30:00;13;6;2;7;0;0
2020-07-18 02:45:00;10;6;4;8;3;4
2020-07-18 03:00:00;6;3;4;8;0;0
2020-07-18 03:15:00;14;3;2;1;0;2
2020-07-18 03:30:00;9;3;5;6;0;1
2020-07-18 03:45:00;6;0;6;10;0;0
2020-07-18 04:00:00;9;0;1;3;0;1
2020-07-18 04:15:00;7;4;3;3;1;1
2020-07-18 04:30:00;9;2;6;4;0;3
2020-07-18 04:45:00;12;4;6;5;0;1
2020-07-18 05:00:00;22;7;6;8;0;4
2020-07-18 05:15:00;28;12;7;23;1;0
2020-07-18 05:30:00;27;13;16;39;3;5
2020-07-18 05:45:00;24;10;25;42;1;2
2020-07-18 06:00:00;19;6;31;61;6;2
2020-07-18 06:15:00;29;8;18;34;5;3
2020-07-18 06:30:00;33;13;14;33;1;9
2020-07-18 06:45:00;39;15;23;31;6;4
2020-07-18 07:00:00;31;11;20;38;3;6
2020-07-18 07:15:00;42;17;23;25;1;8
2020-07-18 07:30:00;45;22;29;31;6;14
2020-07-18 07:45:00;63;34;30;28;4;16
2020-07-18 08:00:00;60;34;26;34;4;16
2020-07-18 08:15:00;49;30;39;51;8;22
2020-07-18 08:30:00;70;43;35;55;5;19
2020-07-18 08:45:00;80;49;45;69;10;19
2020-07-18 09:00:00;68;55;39;61;6;22
2020-07-18 09:15:00;76;54;52;71;6;31
2020-07-18 09:30:00;101;74;39;74;13;28
2020-07-18 09:45:00;131;95;66;121;20;37
2020-07-18 10:00:00;108;82;71;87;8;35
2020-07-18 10:15:00;118;88;75;104;10;45
2020-07-18 10:30:00;129;74;74;115;9;39
2020-07-18 10:45:00;133;101;93;141;11;37
2020-07-18 11:00:00;137;93;82;154;15;36
2020-07-18 11:15:00;133;116;87;133;15;42
2020-07-18 11:30:00;135;94;91;187;19;45
2020-07-18 11:45:00;134;108;112;207;25;59
2020-07-18 12:00:00;132;101;105;174;25;43
2020-07-18 12:15:00;140;108;103;156;13;54
2020-07-18 12:30:00;139;95;110;182;16;44
2020-07-18 12:45:00;132;110;128;227;17;50
2020-07-18 13:00:00;123;107;87;157;16;47
2020-07-18 13:15:00;130;92;81;167;21;48
2020-07-18 13:30:00;135;93;88;154;16;44
2020-07-18 13:45:00;150;98;71;153;19;35
2020-07-18 14:00:00;127;84;83;138;14;40
2020-07-18 14:15:00;129;94;94;141;16;41
2020-07-18 14:30:00;139;104;87;139;10;52
2020-07-18 14:45:00;156;101;94;159;15;41
2020-07-18 15:00:00;119;99;88;154;16;48
2020-07-18 15:15:00;121;80;94;146;12;33
2020-07-18 15:30:00;128;86;108;175;16;43
2020-07-18 15:45:00;132;92;104;148;15;30
2020-07-18 16:00:00;120;84;73;115;12;44
2020-07-18 16:15:00;132;83;82;112;12;39
2020-07-18 16:30:00;118;93;75;149;24;47
2020-07-18 16:45:00;137;85;83;127;20;48
2020-07-18 17:00:00;110;68;63;108;16;43
2020-07-18 17:15:00;124;87;66;109;14;27
2020-07-18 17:30:00;128;81;69;134;16;38
2020-07-18 17:45:00;126;89;73;111;8;52
2020-07-18 18:00:00;139;95;65;117;15;29
2020-07-18 18:15:00;131;108;68;94;10;35
2020-07-18 18:30:00;117;74;62;103;16;49
2020-07-18 18:45:00;112;70;68;112;11;43
2020-07-18 19:00:00;117;80;47;97;12;32
2020-07-18 19:15:00;87;56;57;74;15;41
2020-07-18 19:30:00;91;56;49;69;11;42
2020-07-18 19:45:00;82;54;49;77;7;32
2020-07-18 20:00:00;72;52;53;71;6;25
2020-07-18 20:15:00;78;56;48;77;6;13
2020-07-18 20:30:00;88;38;49;74;0;9
2020-07-18 20:45:00;62;43;37;52;3;17
2020-07-18 21:00:00;71;33;31;52;7;14
2020-07-18 21:15:00;54;30;30;43;0;7
2020-07-18 21:30:00;52;43;38;55;4;6
2020-07-18 21:45:00;64;37;36;50;4;8
2020-07-18 22:00:00;75;33;37;45;4;9
2020-07-18 22:15:00;51;32;26;55;3;6
2020-07-18 22:30:00;43;33;29;35;4;8
2020-07-18 22:45:00;54;24;32;36;2;9
2020-07-18 23:00:00;45;25;23;30;2;3
2020-07-18 23:15:00;41;18;23;27;0;7
2020-07-18 23:30:00;41;27;22;32;0;6
2020-07-18 23:45:00;38;18;18;34;3;8
