DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2020-11-13 00:00:00;8;2;3;1;0;0
2020-11-13 00:15:00;9;1;2;4;0;1
2020-11-13 00:30:00;7;3;6;5;0;1
2020-11-13 00:45:00;7;2;3;4;0;1
2020-11-13 01:00:00;10;4;1;9;2;2
2020-11-13 01:15:00;4;1;3;3;1;1
2020-11-13 01:30:00;3;0;1;4;0;0
2020-11-13 01:45:00;5;0;0;2;0;1
2020-11-13 02:00:00;3;0;1;4;0;1
2020-11-13 02:15:00;4;0;4;5;0;0
2020-11-13 02:30:00;7;0;2;8;0;0
2020-11-13 02:45:00;4;2;1;3;0;0
2020-11-13 03:00:00;4;0;2;4;0;2
2020-11-13 03:15:00;1;0;2;3;1;0
2020-11-13 03:30:00;7;6;3;3;0;3
2020-11-13 03:45:00;5;1;5;7;1;2
2020-11-13 04:00:00;5;2;2;6;0;0
2020-11-13 04:15:00;12;2;7;8;0;1
2020-11-13 04:30:00;18;6;6;17;1;5
2020-11-13 04:45:00;36;13;6;14;0;7
2020-11-13 05:00:00;61;49;17;22;1;6
2020-11-13 05:15:00;64;62;10;30;3;6
2020-11-13 05:30:00;82;88;26;47;4;13
2020-11-13 05:45:00;55;57;41;81;1;12
2020-11-13 06:00:00;56;36;27;93;11;9
2020-11-13 06:15:00;97;87;41;95;11;17
2020-11-13 06:30:00;122;106;39;70;6;20
2020-11-13 06:45:00;102;106;33;86;4;22
2020-11-13 07:00:00;114;119;38;69;9;19
2020-11-13 07:15:00;131;126;69;100;8;46
2020-11-13 07:30:00;136;141;94;132;18;68
2020-11-13 07:45:00;172;168;80;132;14;42
2020-11-13 08:00:00;120;115;59;109;12;44
2020-11-13 08:15:00;114;103;77;109;19;39
2020-11-13 08:30:00;117;112;55;111;16;32
2020-11-13 08:45:00;115;86;69;103;11;27
2020-11-13 09:00:00;92;76;54;90;9;26
2020-11-13 09:15:00;111;83;67;92;6;22
2020-11-13 09:30:00;126;75;51;96;10;24
2020-11-13 09:45:00;135;105;76;123;14;31
2020-11-13 10:00:00;132;88;71;106;11;27
2020-11-13 10:15:00;119;88;57;106;12;43
2020-11-13 10:30:00;123;116;87;115;9;38
2020-11-13 10:45:00;122;100;78;135;12;34
2020-11-13 11:00:00;129;90;85;133;18;37
2020-11-13 11:15:00;139;113;76;127;17;46
2020-11-13 11:30:00;144;106;81;131;14;50
2020-11-13 11:45:00;132;123;74;133;11;49
2020-11-13 12:00:00;133;112;111;156;16;50
2020-11-13 12:15:00;143;119;116;172;12;47
2020-11-13 12:30:00;148;104;101;152;9;48
2020-11-13 12:45:00;155;135;112;150;16;45
2020-11-13 13:00:00;146;128;97;146;18;49
2020-11-13 13:15:00;143;145;94;195;26;40
2020-11-13 13:30:00;150;164;98;174;20;68
2020-11-13 13:45:00;148;153;102;173;14;52
2020-11-13 14:00:00;142;131;108;159;14;44
2020-11-13 14:15:00;152;119;121;205;20;49
2020-11-13 14:30:00;159;129;141;200;13;39
2020-11-13 14:45:00;151;124;118;197;22;43
2020-11-13 15:00:00;134;135;104;166;21;51
2020-11-13 15:15:00;152;136;117;179;16;48
2020-11-13 15:30:00;147;122;103;184;15;48
2020-11-13 15:45:00;140;124;103;158;21;49
2020-11-13 16:00:00;139;104;85;169;16;49
2020-11-13 16:15:00;145;128;90;159;17;36
2020-11-13 16:30:00;130;117;90;158;16;55
2020-11-13 16:45:00;155;114;100;154;22;51
2020-11-13 17:00:00;129;97;91;147;17;65
2020-11-13 17:15:00;132;108;92;184;31;54
2020-11-13 17:30:00;127;91;81;128;15;52
2020-11-13 17:45:00;120;90;80;124;18;46
2020-11-13 18:00:00;129;93;74;123;14;32
2020-11-13 18:15:00;108;86;60;99;10;45
2020-11-13 18:30:00;108;63;57;116;7;49
2020-11-13 18:45:00;116;82;63;101;11;41
2020-11-13 19:00:00;97;83;49;93;15;38
2020-11-13 19:15:00;101;70;40;83;9;35
2020-11-13 19:30:00;67;45;50;80;15;30
2020-11-13 19:45:00;95;52;47;57;3;24
2020-11-13 20:00:00;72;46;48;64;9;21
2020-11-13 20:15:00;72;38;45;64;2;13
2020-11-13 20:30:00;71;47;42;70;5;20
2020-11-13 20:45:00;68;39;28;58;9;6
2020-11-13 21:00:00;86;68;30;33;4;6
2020-11-13 21:15:00;71;54;36;48;3;14
2020-11-13 21:30:00;58;29;24;45;2;7
2020-11-13 21:45:00;45;32;43;71;4;10
2020-11-13 22:00:00;41;22;47;100;3;10
2020-11-13 22:15:00;36;16;35;84;5;7
2020-11-13 22:30:00;47;19;14;25;2;7
2020-11-13 22:45:00;29;13;16;21;3;5
2020-11-13 23:00:00;35;12;10;22;2;5
2020-11-13 23:15:00;21;11;14;22;4;3
2020-11-13 23:30:00;18;10;8;22;4;5
2020-11-13 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
