DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2020-06-26 00:00:00;7;8;1;0;16;11;0;0;11;0;0
2020-06-26 00:15:00;6;8;0;0;17;14;0;0;12;0;0
2020-06-26 00:30:00;10;8;2;0;14;9;0;0;13;1;0
2020-06-26 00:45:00;5;4;0;0;10;8;0;0;6;0;0
2020-06-26 01:00:00;5;9;1;0;15;7;1;0;9;0;0
2020-06-26 01:15:00;6;3;0;0;4;6;0;0;6;0;0
2020-06-26 01:30:00;11;9;0;0;8;4;0;0;5;0;0
2020-06-26 01:45:00;12;9;0;0;8;2;1;0;2;0;0
2020-06-26 02:00:00;10;8;1;0;6;5;0;0;6;0;0
2020-06-26 02:15:00;10;5;0;0;2;6;0;0;5;0;0
2020-06-26 02:30:00;8;8;1;0;8;2;0;0;5;0;0
2020-06-26 02:45:00;5;4;0;0;5;5;1;0;6;0;0
2020-06-26 03:00:00;2;4;0;0;8;3;0;0;4;0;0
2020-06-26 03:15:00;5;2;1;1;8;3;0;0;4;0;0
2020-06-26 03:30:00;6;9;0;0;9;4;0;0;5;0;0
2020-06-26 03:45:00;6;11;1;0;10;3;0;0;5;0;0
2020-06-26 04:00:00;10;6;0;0;3;4;0;0;4;0;0
2020-06-26 04:15:00;14;11;2;0;6;6;1;0;9;0;0
2020-06-26 04:30:00;17;11;0;1;12;4;0;0;8;0;0
2020-06-26 04:45:00;17;13;2;1;12;6;1;0;9;0;0
2020-06-26 05:00:00;30;20;1;0;27;9;0;0;19;0;0
2020-06-26 05:15:00;21;32;3;2;23;17;0;0;15;0;0
2020-06-26 05:30:00;58;52;8;3;47;26;0;0;34;0;0
2020-06-26 05:45:00;69;76;12;1;61;27;1;0;34;0;0
2020-06-26 06:00:00;61;75;11;6;59;37;3;0;36;0;0
2020-06-26 06:15:00;64;75;28;13;87;50;3;0;57;0;0
2020-06-26 06:30:00;105;135;34;12;115;74;6;0;84;0;34
2020-06-26 06:45:00;73;105;15;0;106;71;5;0;72;2;17
2020-06-26 07:00:00;63;78;9;5;95;100;4;0;103;1;6
2020-06-26 07:15:00;68;92;11;6;109;120;3;0;129;2;1
2020-06-26 07:30:00;75;96;12;9;113;94;3;0;101;0;5
2020-06-26 07:45:00;93;94;5;6;105;91;5;0;105;1;1
2020-06-26 08:00:00;67;90;5;9;98;78;9;0;82;8;7
2020-06-26 08:15:00;84;106;11;13;103;89;4;0;103;2;0
2020-06-26 08:30:00;77;90;14;10;93;83;9;0;90;5;0
2020-06-26 08:45:00;84;101;8;14;99;82;9;0;94;6;2
2020-06-26 09:00:00;76;87;6;9;75;70;4;0;75;4;2
2020-06-26 09:15:00;85;88;9;6;105;88;9;0;96;9;6
2020-06-26 09:30:00;85;100;12;10;95;95;8;0;101;10;9
2020-06-26 09:45:00;102;109;11;10;105;74;8;0;77;11;3
2020-06-26 10:00:00;104;98;15;15;84;85;5;0;95;8;5
2020-06-26 10:15:00;99;96;6;16;93;87;10;0;89;7;9
2020-06-26 10:30:00;91;110;12;17;70;76;6;0;88;4;24
2020-06-26 10:45:00;88;116;14;39;96;107;11;0;99;10;15
2020-06-26 11:00:00;95;108;17;56;105;87;8;0;90;4;25
2020-06-26 11:15:00;100;130;17;29;77;93;4;0;108;5;73
2020-06-26 11:30:00;84;93;5;19;84;87;6;0;90;11;24
2020-06-26 11:45:00;88;102;9;41;89;76;8;0;91;6;21
2020-06-26 12:00:00;90;125;10;52;105;125;9;0;130;8;19
2020-06-26 12:15:00;92;124;13;25;97;100;3;0;95;6;32
2020-06-26 12:30:00;
2020-06-26 12:45:00;
2020-06-26 13:00:00;
2020-06-26 13:15:00;
2020-06-26 13:30:00;
2020-06-26 13:45:00;35;50;2;1;43;40;1;0;48;1;0
2020-06-26 14:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-26 14:15:00;101;133;11;4;116;130;7;0;130;3;9
2020-06-26 14:30:00;102;134;13;4;98;116;7;0;115;10;2
2020-06-26 14:45:00;111;142;12;4;106;101;7;0;108;7;5
2020-06-26 15:00:00;101;124;14;2;105;94;12;0;94;3;4
2020-06-26 15:15:00;99;130;16;2;99;108;8;0;107;12;37
2020-06-26 15:30:00;101;131;11;1;118;112;7;0;118;9;12
2020-06-26 15:45:00;77;115;11;2;98;112;9;0;116;14;5
2020-06-26 16:00:00;87;123;16;3;105;109;14;0;107;14;11
2020-06-26 16:15:00;86;126;13;3;112;109;9;0;112;6;1
2020-06-26 16:30:00;87;119;10;2;120;90;7;0;105;10;8
2020-06-26 16:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-26 17:00:00;81;107;8;4;120;126;7;0;125;13;0
2020-06-26 17:15:00;86;112;7;0;112;99;7;0;106;7;5
2020-06-26 17:30:00;77;110;9;1;101;92;3;0;93;2;10
2020-06-26 17:45:00;80;108;11;5;116;103;6;0;115;0;4
2020-06-26 18:00:00;82;85;6;4;94;99;3;0;96;1;12
2020-06-26 18:15:00;85;89;11;5;92;73;2;0;68;2;13
2020-06-26 18:30:00;69;95;3;1;88;82;4;0;87;1;10
2020-06-26 18:45:00;58;76;6;3;101;81;2;0;89;0;20
2020-06-26 19:00:00;60;60;4;2;83;75;1;0;79;0;20
2020-06-26 19:15:00;59;65;3;2;78;79;4;0;80;0;3
2020-06-26 19:30:00;47;72;6;2;74;74;3;0;76;0;36
2020-06-26 19:45:00;48;53;4;0;57;44;2;0;46;0;5
2020-06-26 20:00:00;38;39;3;3;63;54;2;0;54;0;1
2020-06-26 20:15:00;33;46;2;2;53;48;2;0;51;0;0
2020-06-26 20:30:00;28;52;4;0;56;45;1;0;44;0;0
2020-06-26 20:45:00;56;62;6;5;55;45;1;0;44;0;0
2020-06-26 21:00:00;59;54;6;5;46;41;3;0;40;0;0
2020-06-26 21:15:00;38;36;2;1;45;40;2;0;36;0;0
2020-06-26 21:30:00;34;42;4;0;37;38;0;0;41;0;0
2020-06-26 21:45:00;34;23;0;0;40;25;0;0;26;0;0
2020-06-26 22:00:00;34;34;1;0;48;36;0;0;36;0;0
2020-06-26 22:15:00;32;32;5;0;36;34;2;0;42;0;0
2020-06-26 22:30:00;38;34;0;0;35;28;1;0;28;0;0
2020-06-26 22:45:00;16;18;0;0;31;25;2;0;31;0;0
2020-06-26 23:00:00;20;25;0;0;36;21;0;0;25;0;0
2020-06-26 23:15:00;25;27;1;0;35;20;1;0;24;0;0
2020-06-26 23:30:00;15;24;3;0;24;21;0;0;22;0;0
2020-06-26 23:45:00;16;16;3;0;15;11;0;0;15;0;0
