DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2019-10-16 00:00:00;10;7;1;1;9;7;14;11
2019-10-16 00:15:00;6;9;3;1;3;14;13;5
2019-10-16 00:30:00;8;8;4;3;3;7;8;3
2019-10-16 00:45:00;7;15;5;2;0;4;16;8
2019-10-16 01:00:00;3;5;1;1;0;4;11;8
2019-10-16 01:15:00;7;3;1;1;1;3;11;3
2019-10-16 01:30:00;7;5;1;0;0;1;9;6
2019-10-16 01:45:00;8;5;0;1;1;3;9;6
2019-10-16 02:00:00;5;3;3;0;0;1;3;3
2019-10-16 02:15:00;8;6;0;1;3;1;5;3
2019-10-16 02:30:00;8;2;0;0;2;0;5;1
2019-10-16 02:45:00;9;3;1;0;1;3;10;6
2019-10-16 03:00:00;7;7;3;0;0;1;12;9
2019-10-16 03:15:00;14;10;1;0;2;1;8;5
2019-10-16 03:30:00;5;5;1;2;1;3;6;4
2019-10-16 03:45:00;8;3;0;0;1;4;12;7
2019-10-16 04:00:00;9;5;4;0;0;1;8;4
2019-10-16 04:15:00;16;9;2;2;2;3;8;5
2019-10-16 04:30:00;16;9;3;2;0;7;19;9
2019-10-16 04:45:00;31;17;4;3;3;6;22;11
2019-10-16 05:00:00;32;19;5;2;3;10;37;17
2019-10-16 05:15:00;32;25;14;4;7;20;53;30
2019-10-16 05:30:00;57;34;12;3;4;16;41;18
2019-10-16 05:45:00;97;70;19;7;16;48;71;39
2019-10-16 06:00:00;77;64;20;9;8;50;80;50
2019-10-16 06:15:00;94;63;25;2;11;61;76;64
2019-10-16 06:30:00;113;128;34;15;24;91;101;77
2019-10-16 06:45:00;140;164;27;33;47;158;101;82
2019-10-16 07:00:00;118;157;27;19;31;145;123;114
2019-10-16 07:15:00;164;155;46;18;29;188;121;124
2019-10-16 07:30:00;159;195;36;28;41;178;120;98
2019-10-16 07:45:00;172;206;46;29;57;164;115;77
2019-10-16 08:00:00;171;229;36;33;55;143;100;85
2019-10-16 08:15:00;156;200;47;25;42;123;96;76
2019-10-16 08:30:00;155;184;30;25;39;123;111;78
2019-10-16 08:45:00;135;181;27;24;46;125;102;68
