DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2020-08-01 00:00:00;16;11;0;0;2;8;25;14
2020-08-01 00:15:00;17;22;13;0;1;12;23;12
2020-08-01 00:30:00;14;16;8;2;0;11;18;12
2020-08-01 00:45:00;11;14;5;4;3;15;22;11
2020-08-01 01:00:00;14;12;5;2;3;9;19;11
2020-08-01 01:15:00;11;15;6;1;0;6;15;8
2020-08-01 01:30:00;8;4;1;2;4;12;10;7
2020-08-01 01:45:00;15;10;3;0;1;10;14;10
2020-08-01 02:00:00;7;6;3;1;0;5;11;9
2020-08-01 02:15:00;8;6;4;1;1;5;7;4
2020-08-01 02:30:00;9;10;2;0;0;3;9;2
2020-08-01 02:45:00;5;3;1;1;1;5;10;9
2020-08-01 03:00:00;5;2;1;1;1;4;16;8
2020-08-01 03:15:00;12;8;4;3;0;5;9;5
2020-08-01 03:30:00;5;7;4;0;1;3;9;3
2020-08-01 03:45:00;4;2;1;1;1;1;14;6
2020-08-01 04:00:00;2;1;2;0;0;2;4;1
2020-08-01 04:15:00;6;7;5;2;3;9;7;3
2020-08-01 04:30:00;5;7;5;0;0;2;11;7
2020-08-01 04:45:00;7;6;2;0;0;0;12;5
2020-08-01 05:00:00;10;10;6;1;1;4;10;2
2020-08-01 05:15:00;12;18;13;0;0;6;9;8
2020-08-01 05:30:00;18;18;5;0;2;6;14;6
2020-08-01 05:45:00;17;21;14;1;7;8;12;6
2020-08-01 06:00:00;19;20;9;2;37;9;18;9
2020-08-01 06:15:00;25;24;6;2;55;10;24;8
2020-08-01 06:30:00;21;18;12;2;16;10;18;2
2020-08-01 06:45:00;21;24;8;5;5;24;21;6
2020-08-01 07:00:00;22;21;12;4;1;14;33;14
2020-08-01 07:15:00;23;24;13;4;5;13;29;14
2020-08-01 07:30:00;42;32;22;4;2;20;34;12
2020-08-01 07:45:00;49;46;20;6;3;25;44;13
2020-08-01 08:00:00;48;38;18;3;5;23;52;31
2020-08-01 08:15:00;52;49;24;2;5;22;61;30
2020-08-01 08:30:00;69;55;33;2;5;29;57;26
2020-08-01 08:45:00;80;71;37;12;11;37;80;33
2020-08-01 09:00:00;79;76;25;9;7;32;70;30
2020-08-01 09:15:00;82;77;36;8;8;47;94;47
2020-08-01 09:30:00;80;86;33;9;13;59;97;48
2020-08-01 09:45:00;108;108;24;6;6;43;86;59
2020-08-01 10:00:00;102;106;48;11;14;48;113;66
2020-08-01 10:15:00;132;127;37;10;7;49;132;66
2020-08-01 10:30:00;134;122;36;13;10;45;108;59
2020-08-01 10:45:00;147;131;40;11;9;43;111;66
2020-08-01 11:00:00;135;132;34;8;13;49;123;79
2020-08-01 11:15:00;146;133;42;8;7;35;111;71
2020-08-01 11:30:00;161;169;35;11;12;48;133;75
2020-08-01 11:45:00;173;160;32;10;5;36;138;78
2020-08-01 12:00:00;157;147;33;11;9;47;143;87
