DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2020-12-19 00:00:00;4;5;3;0;0;0;4;1
2020-12-19 00:15:00;1;4;4;1;1;1;1;1
2020-12-19 00:30:00;4;5;1;0;0;1;3;1
2020-12-19 00:45:00;4;2;0;0;0;2;6;3
2020-12-19 01:00:00;1;3;0;0;0;1;3;0
2020-12-19 01:15:00;3;2;1;0;0;0;5;4
2020-12-19 01:30:00;2;2;1;1;1;1;1;0
2020-12-19 01:45:00;2;4;0;1;1;3;4;1
2020-12-19 02:00:00;1;0;0;0;0;1;4;1
2020-12-19 02:15:00;3;3;2;0;0;2;2;2
2020-12-19 02:30:00;1;1;1;0;0;0;2;1
2020-12-19 02:45:00;3;0;0;0;0;3;2;2
2020-12-19 03:00:00;4;4;0;0;0;0;3;1
2020-12-19 03:15:00;4;1;0;0;0;2;4;4
2020-12-19 03:30:00;2;4;3;0;0;0;2;1
2020-12-19 03:45:00;2;0;0;0;1;3;0;0
2020-12-19 04:00:00;4;6;1;0;0;1;3;1
2020-12-19 04:15:00;1;5;3;2;2;5;6;2
2020-12-19 04:30:00;5;3;0;0;0;2;1;2
2020-12-19 04:45:00;16;11;3;1;0;1;13;4
2020-12-19 05:00:00;9;5;4;1;2;6;8;3
2020-12-19 05:15:00;28;14;5;0;0;5;10;7
2020-12-19 05:30:00;14;18;7;1;0;4;29;10
2020-12-19 05:45:00;24;16;5;0;2;8;13;4
2020-12-19 06:00:00;20;10;4;2;0;5;13;9
2020-12-19 06:15:00;18;13;10;3;3;11;20;11
2020-12-19 06:30:00;10;12;3;0;0;7;11;5
2020-12-19 06:45:00;18;13;1;4;3;14;13;7
2020-12-19 07:00:00;18;18;8;1;2;11;18;10
2020-12-19 07:15:00;18;12;6;1;1;12;16;5
2020-12-19 07:30:00;22;21;7;2;2;15;23;17
2020-12-19 07:45:00;26;31;10;7;6;18;29;15
2020-12-19 08:00:00;25;26;16;4;3;20;22;11
2020-12-19 08:15:00;26;34;14;2;2;18;24;13
2020-12-19 08:30:00;34;24;10;0;4;19;30;21
2020-12-19 08:45:00;41;40;15;6;5;22;36;17
2020-12-19 09:00:00;41;31;21;3;4;25;45;25
2020-12-19 09:15:00;40;32;17;4;4;29;30;28
2020-12-19 09:30:00;49;42;19;6;5;30;43;23
2020-12-19 09:45:00;42;39;24;6;9;35;56;28
2020-12-19 10:00:00;48;55;20;7;6;35;45;28
2020-12-19 10:15:00;51;44;24;8;10;27;65;35
2020-12-19 10:30:00;59;47;22;6;8;33;53;29
