DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2020-07-27 00:00:00;5;5;2;1;1;10;8;0
2020-07-27 00:15:00;9;5;1;1;1;6;16;7
2020-07-27 00:30:00;6;6;5;3;2;9;11;3
2020-07-27 00:45:00;10;8;4;0;1;6;10;5
2020-07-27 01:00:00;5;1;0;1;1;4;11;5
2020-07-27 01:15:00;2;3;0;1;1;5;7;5
2020-07-27 01:30:00;6;1;0;2;2;4;7;4
2020-07-27 01:45:00;6;3;0;1;1;4;4;4
2020-07-27 02:00:00;7;1;0;0;0;1;5;1
2020-07-27 02:15:00;9;3;2;0;3;2;9;5
2020-07-27 02:30:00;8;7;1;0;4;3;4;2
2020-07-27 02:45:00;3;2;2;2;6;4;15;4
2020-07-27 03:00:00;2;3;1;1;20;4;9;6
2020-07-27 03:15:00;6;7;0;0;268;3;4;2
2020-07-27 03:30:00;7;4;5;1;248;2;8;5
2020-07-27 03:45:00;7;4;2;1;149;2;9;3
2020-07-27 04:00:00;6;6;2;1;256;2;10;5
2020-07-27 04:15:00;13;7;1;2;30;5;7;2
2020-07-27 04:30:00;21;9;3;0;1;4;14;9
2020-07-27 04:45:00;23;8;4;1;0;6;29;5
2020-07-27 05:00:00;25;16;9;0;1;7;46;23
2020-07-27 05:15:00;46;34;14;3;6;17;54;23
2020-07-27 05:30:00;54;43;21;5;4;26;62;22
2020-07-27 05:45:00;60;46;25;7;11;48;59;33
2020-07-27 06:00:00;57;55;24;4;4;40;53;27
2020-07-27 06:15:00;70;62;17;9;8;60;79;50
2020-07-27 06:30:00;93;105;40;12;15;80;75;50
2020-07-27 06:45:00;130;155;22;18;17;95;91;68
2020-07-27 07:00:00;109;116;26;15;17;76;93;70
2020-07-27 07:15:00;103;106;29;22;110;103;102;66
2020-07-27 07:30:00;128;136;26;18;77;106;92;53
2020-07-27 07:45:00;154;184;36;31;36;136;96;59
2020-07-27 08:00:00;141;154;27;16;27;87;107;61
2020-07-27 08:15:00;117;126;28;21;27;83;102;68
2020-07-27 08:30:00;139;139;29;21;22;92;89;67
2020-07-27 08:45:00;196;209;33;17;21;76;99;67
2020-07-27 09:00:00;198;206;26;17;20;67;103;58
2020-07-27 09:15:00;197;207;23;17;16;63;92;66
2020-07-27 09:30:00;213;213;23;12;13;57;98;77
2020-07-27 09:45:00;191;142;30;11;15;51;105;94
2020-07-27 10:00:00;175;179;21;17;19;69;111;74
2020-07-27 10:15:00;209;194;29;15;15;55;90;81
2020-07-27 10:30:00;172;155;25;21;18;71;136;88
2020-07-27 10:45:00;195;173;26;21;20;64;114;85
2020-07-27 11:00:00;158;147;32;14;19;54;112;69
2020-07-27 11:15:00;150;132;26;14;16;55;140;107
2020-07-27 11:30:00;160;156;34;17;17;47;134;93
2020-07-27 11:45:00;187;188;24;14;18;65;110;80
2020-07-27 12:00:00;192;160;25;9;14;57;136;105
2020-07-27 12:15:00;171;177;34;14;20;54;122;102
2020-07-27 12:30:00;150;117;27;14;15;52;140;98
2020-07-27 12:45:00;143;132;26;14;9;46;130;89
2020-07-27 13:00:00;137;126;25;16;19;64;163;110
2020-07-27 13:15:00;135;138;35;10;13;55;143;94
2020-07-27 13:30:00;132;123;36;15;9;49;126;96
2020-07-27 13:45:00;130;127;35;15;16;63;137;89
2020-07-27 14:00:00;121;114;39;19;14;77;128;88
2020-07-27 14:15:00;128;121;28;15;13;58;146;90
2020-07-27 14:30:00;149;139;32;13;10;67;131;95
2020-07-27 14:45:00;132;122;40;10;12;51;154;102
2020-07-27 15:00:00;135;134;33;11;13;52;147;112
2020-07-27 15:15:00;147;127;37;4;12;57;130;90
2020-07-27 15:30:00;148;92;47;12;12;68;164;112
2020-07-27 15:45:00;138;126;44;12;20;67;158;110
2020-07-27 16:00:00;145;128;56;20;15;69;152;111
2020-07-27 16:15:00;156;117;52;13;8;74;168;130
2020-07-27 16:30:00;157;131;73;15;18;63;173;130
2020-07-27 16:45:00;146;134;57;15;16;88;144;109
2020-07-27 17:00:00;132;126;74;13;13;88;172;110
2020-07-27 17:15:00;127;129;43;13;15;79;164;113
2020-07-27 17:30:00;108;99;46;11;11;78;157;119
2020-07-27 17:45:00;113;108;32;11;7;65;155;98
2020-07-27 18:00:00;114;93;46;16;12;76;148;85
2020-07-27 18:15:00;81;74;36;12;11;63;102;83
2020-07-27 18:30:00;85;83;38;11;13;69;117;72
2020-07-27 18:45:00;87;75;36;12;9;57;115;68
2020-07-27 19:00:00;63;64;19;8;7;47;111;72
2020-07-27 19:15:00;63;58;26;10;9;55;110;59
2020-07-27 19:30:00;60;41;14;7;7;37;93;50
2020-07-27 19:45:00;37;27;14;5;6;32;89;46
2020-07-27 20:00:00;36;39;15;9;4;40;77;52
2020-07-27 20:15:00;37;29;17;5;3;33;53;30
