DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2020-11-06 00:00:00;7;3;0;0;0;2;4;3
2020-11-06 00:15:00;7;5;3;2;0;2;3;3
2020-11-06 00:30:00;6;13;6;0;0;2;12;8
2020-11-06 00:45:00;6;7;2;1;1;3;9;6
2020-11-06 01:00:00;5;3;1;2;2;5;8;5
2020-11-06 01:15:00;4;5;1;0;1;9;7;4
2020-11-06 01:30:00;4;2;2;2;1;3;5;2
2020-11-06 01:45:00;8;4;0;0;0;1;7;4
2020-11-06 02:00:00;9;5;0;1;1;5;0;0
2020-11-06 02:15:00;6;4;1;1;1;1;7;4
2020-11-06 02:30:00;7;5;2;1;1;4;7;1
2020-11-06 02:45:00;8;2;0;0;0;1;5;3
2020-11-06 03:00:00;8;5;2;2;2;3;8;7
2020-11-06 03:15:00;6;3;1;2;1;5;3;2
2020-11-06 03:30:00;13;8;2;1;2;2;4;1
2020-11-06 03:45:00;8;1;0;0;0;3;10;6
2020-11-06 04:00:00;4;0;0;1;1;2;8;6
2020-11-06 04:15:00;18;8;2;3;3;5;4;3
2020-11-06 04:30:00;15;10;5;1;2;4;14;5
2020-11-06 04:45:00;22;10;8;2;0;8;23;5
2020-11-06 05:00:00;31;13;5;1;3;9;27;10
2020-11-06 05:15:00;52;36;7;1;3;18;56;24
2020-11-06 05:30:00;52;43;18;4;6;28;48;26
2020-11-06 05:45:00;55;52;26;3;5;31;41;34
2020-11-06 06:00:00;65;60;16;2;8;27;53;35
2020-11-06 06:15:00;81;71;21;8;9;53;66;53
2020-11-06 06:30:00;104;104;28;5;10;67;80;68
2020-11-06 06:45:00;145;159;18;13;17;88;86;55
2020-11-06 07:00:00;95;102;21;18;19;67;80;54
2020-11-06 07:15:00;110;98;30;16;13;80;78;66
2020-11-06 07:30:00;112;114;38;21;19;91;86;54
2020-11-06 07:45:00;149;140;40;24;23;88;95;49
2020-11-06 08:00:00;108;98;32;18;19;62;86;51
2020-11-06 08:15:00;111;99;25;11;10;52;81;59
2020-11-06 08:30:00;100;109;23;14;16;64;84;53
2020-11-06 08:45:00;96;97;32;13;17;64;92;63
2020-11-06 09:00:00;106;103;26;16;15;57;93;51
2020-11-06 09:15:00;107;108;23;19;15;63;95;52
2020-11-06 09:30:00;128;110;26;15;25;54;99;71
2020-11-06 09:45:00;134;139;34;16;19;64;125;74
2020-11-06 10:00:00;120;131;28;9;14;58;117;73
2020-11-06 10:15:00;124;127;30;16;10;47;138;86
2020-11-06 10:30:00;138;132;46;17;13;55;138;83
2020-11-06 10:45:00;154;117;46;11;13;50;147;102
2020-11-06 11:00:00;152;153;44;19;58;76;151;101
2020-11-06 11:15:00;149;136;48;15;21;72;151;106
2020-11-06 11:30:00;156;127;66;18;69;50;151;110
2020-11-06 11:45:00;173;139;53;13;64;64;142;89
2020-11-06 12:00:00;145;138;41;14;13;63;141;113
2020-11-06 12:15:00;134;121;27;15;21;63;149;119
2020-11-06 12:30:00;126;120;48;18;16;70;141;106
2020-11-06 12:45:00;136;125;38;16;22;76;164;110
2020-11-06 13:00:00;143;134;58;23;23;70;155;107
2020-11-06 13:15:00;160;151;56;15;19;61;153;115
2020-11-06 13:30:00;145;162;38;11;10;45;163;108
2020-11-06 13:45:00;154;168;50;21;16;68;154;105
2020-11-06 14:00:00;139;138;41;14;17;61;157;102
2020-11-06 14:15:00;150;161;42;20;26;72;166;111
2020-11-06 14:30:00;158;148;55;14;15;68;175;107
2020-11-06 14:45:00;175;160;48;13;23;66;164;109
2020-11-06 15:00:00;159;142;38;19;26;79;159;100
2020-11-06 15:15:00;167;147;47;14;18;82;174;131
2020-11-06 15:30:00;157;140;36;21;16;65;160;106
2020-11-06 15:45:00;147;142;45;22;18;78;169;112
2020-11-06 16:00:00;153;119;53;24;13;83;152;100
2020-11-06 16:15:00;138;140;41;15;44;66;175;108
