DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DB5);9(DB6);10(DB7);11(DC1);12(DC2);13(DD1);14(DD2);15(RES1);16(RES2);17(RES3)
2020-02-18 00:00:00;2;7;5;1;1;8;1;0;7;1;0;0;0;0;0;0;0
2020-02-18 00:15:00;0;3;4;0;0;7;0;0;8;1;0;0;0;0;0;0;0
2020-02-18 00:30:00;1;8;2;1;1;6;0;1;5;1;1;1;0;0;0;0;0
2020-02-18 00:45:00;2;11;2;0;0;8;0;0;7;0;0;0;0;0;0;0;0
2020-02-18 01:00:00;1;6;6;0;0;6;0;0;5;0;0;0;0;0;0;0;0
2020-02-18 01:15:00;0;6;5;0;0;4;0;0;4;2;0;0;0;0;0;0;0
2020-02-18 01:30:00;1;3;2;0;0;3;0;0;4;0;0;0;0;0;0;0;0
2020-02-18 01:45:00;0;1;0;0;0;4;0;0;4;0;0;1;0;0;0;0;0
2020-02-18 02:00:00;1;3;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0
2020-02-18 02:15:00;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-02-18 02:30:00;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-02-18 02:45:00;0;1;0;0;0;8;0;0;7;1;0;0;0;0;0;0;0
2020-02-18 03:00:00;0;8;0;1;0;4;1;0;5;1;0;1;0;0;0;0;0
2020-02-18 03:15:00;1;5;1;0;0;4;0;0;3;0;0;0;0;0;0;0;0
2020-02-18 03:30:00;0;2;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0
2020-02-18 03:45:00;0;5;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-02-18 04:00:00;1;7;1;0;0;5;0;0;5;1;1;1;0;0;0;0;0
2020-02-18 04:15:00;0;6;0;0;0;12;0;0;13;1;0;1;0;0;0;0;0
2020-02-18 04:30:00;0;6;2;0;0;15;0;0;14;1;0;1;0;0;0;0;0
2020-02-18 04:45:00;0;11;2;0;1;7;1;1;10;1;0;0;0;0;0;0;0
2020-02-18 05:00:00;3;14;3;1;1;10;1;1;12;1;0;1;0;0;0;0;0
2020-02-18 05:15:00;5;27;10;2;0;24;2;0;20;1;0;1;0;0;0;0;0
2020-02-18 05:30:00;4;41;22;3;4;20;6;4;25;4;0;5;0;0;0;0;0
2020-02-18 05:45:00;12;37;9;5;1;53;4;0;51;5;1;4;0;0;0;0;0
2020-02-18 06:00:00;17;35;15;2;2;45;3;0;47;2;1;4;0;0;0;0;0
