DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DB5);9(DB6);10(DB7);11(DC1);12(DC2);13(DD1);14(DD2);15(RES1);16(RES2);17(RES3)
2020-01-27 00:00:00;0;5;3;0;0;4;0;0;6;0;1;0;0;0;0;0;0
2020-01-27 00:15:00;0;7;4;1;1;4;1;0;5;0;0;0;0;0;0;0;0
2020-01-27 00:30:00;3;5;1;0;0;4;0;0;3;0;0;0;0;0;0;0;0
2020-01-27 00:45:00;1;7;4;1;2;7;1;1;6;1;0;0;0;0;0;0;0
2020-01-27 01:00:00;1;6;6;0;0;2;0;0;1;0;1;0;0;0;0;0;0
2020-01-27 01:15:00;1;5;3;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-01-27 01:30:00;0;7;3;2;0;2;1;0;5;0;0;0;0;0;0;0;0
2020-01-27 01:45:00;0;0;0;1;0;3;1;0;3;0;0;1;0;0;0;0;0
2020-01-27 02:00:00;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-01-27 02:15:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-27 02:30:00;0;3;1;0;0;3;0;0;3;0;0;0;0;0;0;0;0
2020-01-27 02:45:00;0;3;1;0;0;4;0;0;4;0;1;1;0;0;0;0;0
2020-01-27 03:00:00;1;7;0;0;0;4;0;0;5;3;0;0;0;0;0;0;0
2020-01-27 03:15:00;0;2;0;0;0;5;0;0;6;0;0;0;0;0;0;0;0
2020-01-27 03:30:00;0;7;1;0;0;3;0;0;3;1;0;0;0;0;0;0;0
2020-01-27 03:45:00;0;1;2;0;0;4;0;0;4;1;0;0;0;0;0;0;0
2020-01-27 04:00:00;1;7;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-01-27 04:15:00;3;4;5;0;0;7;0;0;7;0;2;1;0;0;0;0;0
2020-01-27 04:30:00;2;9;2;0;0;8;0;0;8;0;0;1;0;0;0;0;0
2020-01-27 04:45:00;4;13;3;0;0;8;0;0;8;0;2;2;0;0;0;0;0
2020-01-27 05:00:00;1;15;6;0;1;10;0;1;10;1;2;1;0;0;0;0;0
2020-01-27 05:15:00;1;24;9;1;0;16;1;0;16;1;0;3;0;0;0;0;0
2020-01-27 05:30:00;3;36;17;2;1;29;2;1;30;5;0;5;0;0;0;0;0
2020-01-27 05:45:00;11;42;18;4;0;52;4;0;55;3;3;2;0;0;0;0;0
2020-01-27 06:00:00;10;41;14;3;2;58;3;0;56;4;4;5;0;0;0;0;0
2020-01-27 06:15:00;5;40;22;2;3;80;3;1;83;3;5;10;0;0;0;0;0
2020-01-27 06:30:00;7;71;31;5;4;139;6;1;139;7;2;3;0;0;0;0;0
2020-01-27 06:45:00;15;63;32;5;5;128;7;2;121;9;2;2;0;0;0;0;0
2020-01-27 07:00:00;6;69;39;9;8;169;10;5;165;13;4;7;0;0;0;0;0
2020-01-27 07:15:00;1;65;37;9;7;194;13;4;190;13;3;5;0;0;0;0;0
2020-01-27 07:30:00;13;80;58;13;6;147;12;2;152;16;5;5;0;0;0;0;0
2020-01-27 07:45:00;9;64;44;19;12;174;21;10;176;31;10;13;0;0;0;0;0
2020-01-27 08:00:00;7;69;52;8;2;138;9;2;138;9;9;5;0;0;0;0;0
2020-01-27 08:15:00;3;64;52;7;5;147;7;3;146;8;5;9;0;0;0;0;0
2020-01-27 08:30:00;8;56;38;2;3;130;4;4;134;5;3;2;1;0;0;0;0
2020-01-27 08:45:00;6;54;34;69;6;135;7;6;141;6;7;9;0;0;0;0;0
2020-01-27 09:00:00;8;53;26;3;2;116;3;1;112;3;5;6;0;0;0;0;0
2020-01-27 09:15:00;6;68;41;6;3;105;8;1;101;5;1;4;0;0;0;0;0
2020-01-27 09:30:00;3;63;41;3;1;93;3;0;93;1;2;7;0;0;0;0;0
2020-01-27 09:45:00;6;47;43;3;2;71;3;2;75;5;1;4;0;0;0;0;0
2020-01-27 10:00:00;6;68;34;5;3;65;5;1;68;5;6;6;0;0;0;0;0
2020-01-27 10:15:00;6;66;38;2;1;61;3;1;62;2;3;6;0;0;0;0;0
2020-01-27 10:30:00;8;74;42;2;1;73;7;1;73;2;4;9;0;0;0;0;0
2020-01-27 10:45:00;10;60;42;4;3;70;4;3;69;4;2;7;0;0;0;0;0
2020-01-27 11:00:00;8;70;33;3;2;74;8;1;74;5;7;4;0;0;0;0;0
2020-01-27 11:15:00;6;69;37;5;4;62;9;4;66;8;6;9;0;0;0;0;0
2020-01-27 11:30:00;8;76;14;4;2;63;5;2;62;5;8;9;0;0;0;0;0
2020-01-27 11:45:00;8;94;47;1;0;65;2;0;61;2;3;4;0;0;0;0;0
2020-01-27 12:00:00;7;70;50;3;3;58;5;3;56;5;8;13;0;0;0;0;0
2020-01-27 12:15:00;8;86;52;5;2;60;8;0;68;5;4;4;0;0;0;0;0
2020-01-27 12:30:00;7;67;55;9;2;42;4;1;48;2;5;5;1;0;0;0;0
2020-01-27 12:45:00;11;81;39;9;1;81;8;1;82;7;5;7;0;0;0;0;0
2020-01-27 13:00:00;14;89;41;8;4;62;10;3;68;3;4;8;3;0;0;0;0
2020-01-27 13:15:00;10;111;51;5;2;70;6;0;74;3;8;9;1;0;0;0;0
2020-01-27 13:30:00;8;97;56;5;3;53;8;0;57;2;1;9;0;0;0;0;0
2020-01-27 13:45:00;7;82;48;2;3;49;8;2;53;1;7;8;0;0;0;0;0
2020-01-27 14:00:00;6;79;47;3;3;73;9;5;70;3;3;10;0;0;0;0;0
2020-01-27 14:15:00;12;84;58;2;0;54;3;0;54;1;5;8;0;0;0;0;0
2020-01-27 14:30:00;10;73;56;4;2;79;3;1;77;6;9;9;0;0;0;0;0
2020-01-27 14:45:00;10;88;62;37;10;57;9;4;63;4;5;8;0;0;0;0;0
2020-01-27 15:00:00;9;90;65;1;1;71;2;0;73;1;6;10;0;0;0;0;0
2020-01-27 15:15:00;9;81;51;5;1;79;5;0;80;4;9;9;1;0;0;0;0
2020-01-27 15:30:00;13;117;62;4;4;72;5;1;70;3;23;9;0;0;0;0;0
2020-01-27 15:45:00;9;112;78;4;5;86;6;1;86;7;23;11;0;0;0;0;0
2020-01-27 16:00:00;14;145;83;3;4;79;4;2;83;4;21;20;0;0;0;0;0
